交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,2.24,2.24,2.12,2.12,31858710,68934737.15
2021/7/20,2.05,2.17,2.04,2.17,28248626,60791100.24
2021/7/19,2.1,2.1,2.03,2.07,23738867,49045726.1
2021/7/16,2.13,2.16,2.08,2.11,41925036,88372641.78
2021/7/15,2.18,2.23,2.05,2.19,78222327,169647569.4
2021/7/14,2.12,2.12,2.12,2.12,3342811,7086759.32
2021/7/13,2.02,2.02,2.02,2.02,8647835,17468626.7
2021/7/12,2,2,1.91,1.92,21415301,41680880.31
2021/7/9,1.97,2.05,1.94,1.99,25783901,51245948.96
2021/7/8,1.9,2,1.88,1.99,35665295,69686751.79
2021/7/7,1.87,1.92,1.85,1.9,11649233,22012218.04
2021/7/6,1.89,1.91,1.86,1.88,10849701,20422140.87
2021/7/5,1.84,1.92,1.82,1.9,11452331,21486233.56
2021/7/2,1.83,1.86,1.81,1.85,6258070,11502898.8
2021/7/1,1.87,1.88,1.83,1.83,9009006,16657043.1
2021/6/30,1.89,1.91,1.86,1.88,5903200,11091696.38
2021/6/29,1.85,1.92,1.83,1.89,9795876,18327073.98
2021/6/28,1.95,1.95,1.85,1.86,14374205,27199548.71
2021/6/25,1.92,1.96,1.9,1.94,13803762,26582525.3
2021/6/24,1.88,1.96,1.87,1.92,18015149,34805281.56
2021/6/23,1.88,1.91,1.86,1.88,9029128,17051815.04
2021/6/22,1.82,1.9,1.81,1.88,10585485,19678667.73
2021/6/21,1.81,1.84,1.81,1.83,6749943,12287173.29
2021/6/18,1.84,1.84,1.8,1.82,7489956,13641685.76
2021/6/17,1.83,1.85,1.82,1.84,4886598,8972447.2
2021/6/16,1.82,1.84,1.79,1.84,5561326,10143698.5
2021/6/15,1.86,1.86,1.81,1.82,6497526,11864924.46
2021/6/11,1.87,1.89,1.84,1.86,7259151,13546913.38
2021/6/10,1.95,1.95,1.86,1.87,14970905,28401760.44
2021/6/9,1.91,1.96,1.89,1.95,13612178,26322846.26
2021/6/8,1.9,1.93,1.88,1.9,10721555,20323659.34
2021/6/7,1.83,1.92,1.81,1.9,17973576,33831971.73
2021/6/4,1.84,1.87,1.82,1.83,8242759,15186147.34
2021/6/3,1.8,1.85,1.79,1.84,10596162,19342334.98
2021/6/2,1.8,1.83,1.77,1.8,8238869,14812102.97
2021/6/1,1.75,1.82,1.73,1.79,9397482,16756998.68
2021/5/31,1.78,1.79,1.72,1.75,12096784,21132961.31
2021/5/28,1.82,1.85,1.76,1.79,10032497,18151736.17
2021/5/27,1.76,1.85,1.74,1.83,12384237,22503895.43
2021/5/26,1.74,1.77,1.72,1.76,6782181,11890297.44
2021/5/25,1.73,1.75,1.72,1.74,5267359,9151951.91
2021/5/24,1.7,1.74,1.69,1.73,5967525,10286149.75
2021/5/21,1.74,1.75,1.68,1.71,10286359,17505448.53
2021/5/20,1.82,1.82,1.73,1.73,17493000,30512159
2021/5/19,1.81,1.85,1.81,1.82,7686443,14031886.69
2021/5/18,1.79,1.84,1.79,1.82,17809970,32092794.18
2021/5/17,1.88,1.88,1.88,1.88,3133400,5890792
2021/5/14,2.01,2.07,1.97,1.98,25083510,50673546.63
2021/5/13,1.87,1.97,1.86,1.97,14006786,27185396.57
2021/5/12,1.86,1.88,1.84,1.88,15688428,29200944.51
2021/5/11,1.81,1.9,1.81,1.89,35317052,65261357.25
2021/5/10,1.9,1.9,1.9,1.9,1767700,3358630
2021/5/7,2,2,2,2,1189800,2379600
2021/5/6,2.11,2.11,2.11,2.11,689500,1454845
2021/4/30,2.22,0,0,0,0,0
2021/4/29,2.22,2.24,2.21,2.22,4703743,10469510.46
2021/4/28,2.25,2.27,2.22,2.24,6363967,14251899.41
2021/4/27,2.29,2.3,2.25,2.27,7052188,15983522
2021/4/26,2.28,2.33,2.26,2.31,8379391,19225613.18
2021/4/23,2.33,2.33,2.27,2.29,5999413,13736471.64
2021/4/22,2.3,2.31,2.29,2.3,4364188,10028636.52
2021/4/21,2.3,2.3,2.28,2.3,6170010,14126178.9
2021/4/20,2.33,2.34,2.3,2.31,6541974,15170042.94
2021/4/19,2.34,2.36,2.32,2.33,9873668,23138456.44
2021/4/16,2.3,2.35,2.29,2.34,10480950,24396803.01
2021/4/15,2.29,2.33,2.25,2.3,13120186,30143010.94
2021/4/14,2.24,2.29,2.21,2.28,8480439,19044819.78
2021/4/13,2.3,2.3,2.25,2.25,9435801,21357833.25
2021/4/12,2.28,2.32,2.28,2.3,10930059,25086903.12
2021/4/9,2.34,2.34,2.27,2.28,14637058,33655482.66
2021/4/8,2.33,2.36,2.3,2.32,18313466,42575631.8
2021/4/7,2.33,2.38,2.31,2.36,15189521,35708294.43
2021/4/6,2.31,2.34,2.28,2.34,13180532,30590273.62
2021/4/2,2.36,2.36,2.3,2.31,14496301,33722984.33
2021/4/1,2.4,2.41,2.31,2.35,26578028,62309236.44
2021/3/31,2.37,2.46,2.37,2.42,25586350,61969610.22
2021/3/30,2.55,2.56,2.4,2.42,42025960,102645190.4
2021/3/29,2.67,2.69,2.51,2.55,67407212,175110101.6
2021/3/26,2.86,2.92,2.65,2.75,104167654,287313951
2021/3/25,2.82,2.82,2.82,2.82,13717471,38683268.22
2021/3/24,2.32,2.56,2.31,2.56,31452733,79637302.44
2021/3/23,2.42,2.44,2.32,2.33,12518196,29597151.64
2021/3/22,2.29,2.4,2.29,2.39,17802073,42125845.45
2021/3/19,2.28,2.31,2.24,2.28,6913204,15789583.16
2021/3/18,2.31,2.31,2.25,2.26,7586500,17291617
2021/3/17,2.34,2.36,2.27,2.31,14840501,34181103.31
2021/3/16,2.27,2.34,2.25,2.34,17468812,40303914.29
2021/3/15,2.22,2.29,2.19,2.27,12423769,28015705.71
2021/3/12,2.17,2.23,2.14,2.2,7682786,16853791.34
2021/3/11,2.12,2.18,2.1,2.17,7274270,15646435.34
2021/3/10,2.2,2.21,2.1,2.12,7588553,16309024.83
2021/3/9,2.25,2.27,2.14,2.2,9645042,21192479.35
2021/3/8,2.31,2.34,2.24,2.25,12019095,27459036.53
2021/3/5,2.26,2.35,2.26,2.33,12569503,29140305.9
2021/3/4,2.23,2.27,2.22,2.26,7764204,17491994.02
2021/3/3,2.21,2.24,2.2,2.24,6351862,14130566.67
2021/3/2,2.21,2.27,2.2,2.22,7964232,17752904.72
2021/3/1,2.15,2.28,2.15,2.23,11290215,25005477.6
2021/2/26,2.11,2.15,2.09,2.14,6060695,12889087.45
2021/2/25,2.17,2.17,2.12,2.13,6478900,13887607
2021/2/24,2.12,2.16,2.1,2.14,7891800,16848700
2021/2/23,2.14,2.17,2.09,2.1,8298846,17594757.79
2021/2/22,2.06,2.21,2.06,2.14,17131791,36893414.06
2021/2/19,1.99,2.06,1.97,2.05,7373368,14983974.18
2021/2/18,1.91,1.99,1.91,1.99,6438861,12594725.94
2021/2/10,1.89,1.91,1.87,1.9,4179950,7934657.5
2021/2/9,1.83,1.91,1.82,1.87,6458071,12025240.96
2021/2/8,1.83,1.85,1.81,1.82,4539620,8300353.6
2021/2/5,1.83,1.89,1.82,1.82,6889700,12740153
2021/2/4,1.94,1.95,1.76,1.82,14670196,27013033.3
2021/2/3,1.97,1.97,1.93,1.94,5100735,9919029.24
2021/2/2,1.91,1.97,1.9,1.95,7157429,13902480.84
2021/2/1,2.08,2.09,1.93,1.94,19355012,37880377.03
2021/1/29,2.19,2.21,2.11,2.14,8235326,17719010.87
2021/1/28,2.18,2.23,2.18,2.2,4207052,9276131.88
2021/1/27,2.17,2.21,2.17,2.2,3748474,8208341.37
2021/1/26,2.2,2.23,2.17,2.18,4205958,9248362.77
2021/1/25,2.25,2.26,2.2,2.21,5312709,11785054.16
2021/1/22,2.31,2.32,2.26,2.26,5118258,11661872.08
2021/1/21,2.31,2.34,2.29,2.32,4837929,11208505.68
2021/1/20,2.32,2.39,2.31,2.32,6649519,15539032.27
2021/1/19,2.28,2.36,2.26,2.32,9108878,21126646.96
2021/1/18,2.25,2.3,2.25,2.28,4430300,10116812
2021/1/15,2.2,2.28,2.2,2.26,7163222,16170167.5
2021/1/14,2.19,2.23,2.15,2.2,7534616,16486665.57
2021/1/13,2.31,2.31,2.17,2.2,10056825,22320272.66
2021/1/12,2.3,2.32,2.29,2.3,4525071,10430486.42
2021/1/11,2.37,2.37,2.29,2.29,7859512,18235373.8
2021/1/8,2.36,2.38,2.32,2.37,6593996,15511865.82
2021/1/7,2.4,2.43,2.36,2.38,9987378,23914193.4
2021/1/6,2.47,2.48,2.39,2.4,14822400,35875845.6
2021/1/5,2.52,2.52,2.46,2.47,10317710,25648528.9
2021/1/4,2.53,2.53,2.51,2.52,4896339,12316349.89
