交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,23,23.16,22.65,22.73,69051128,1573728266
2021/7/20,23.3,23.37,22.9,23.09,55247795,1275982242
2021/7/19,23.88,23.89,23.27,23.48,57864557,1355079894
2021/7/16,23.4,24.05,23.35,23.95,64315372,1534958953
2021/7/15,23.21,23.73,23.01,23.52,63981243,1498254942
2021/7/14,23.81,23.88,23.2,23.21,74848233,1753035681
2021/7/13,23.84,24.14,23.73,23.84,42941308,1026027219
2021/7/12,24.29,24.29,23.78,23.82,64578882,1547277246
2021/7/9,23.83,24.29,23.82,24.06,49590781,1192140718
2021/7/8,24.15,24.25,23.71,24.05,58915523,1411774652
2021/7/7,24.2,24.48,23.97,24.04,59854074,1442986990
2021/7/6,23.9,24.75,23.76,24.48,84413479,2058328662
2021/7/5,24.06,24.09,23.55,23.82,60599153,1437710035
2021/7/2,24.78,24.78,24.04,24.05,88729038,2155246013
2021/7/1,23.89,25.35,23.85,24.98,131538353,3255497222
2021/6/30,23.82,23.92,23.5,23.81,49888263,1183027397
2021/6/29,24.1,24.22,23.72,23.8,66440465,1588927547
2021/6/28,24.63,24.66,24.05,24.08,56301894,1364565709
2021/6/25,24.4,24.55,24.3,24.51,47820696,1168852241
2021/6/24,24.56,24.62,24.23,24.33,60145502,1470290943
2021/6/23,24.25,24.56,24.12,24.5,74396048,1809991560
2021/6/22,24.3,24.47,24,24.23,72475025,1754346053
2021/6/21,24.5,24.53,24.05,24.2,62470530,1513602454
2021/6/18,24.95,24.95,24.45,24.57,70094229,1722492946
2021/6/17,24.96,25.12,24.77,25,44017536,1098897074
2021/6/16,24.75,25.4,24.72,24.96,67606805,1693490877
2021/6/15,25.2,25.23,24.6,24.76,89915501,2228846013
2021/6/11,25.58,25.65,25.17,25.29,75853738,1918663076
2021/6/10,25.86,26.04,25.6,25.65,53800776,1387584803
2021/6/9,26.06,26.15,25.86,25.91,38991824,1012531051
2021/6/8,25.99,26.19,25.9,26.06,44676494,1164306328
2021/6/7,26.12,26.18,25.78,25.94,64745280,1676861165
2021/6/4,26.56,26.7,26.18,26.33,71422364,1885479323
2021/6/3,26.85,26.97,26.56,26.67,50594187,1353546854
2021/6/2,26.5,27.18,26.31,26.76,85354506,2287264276
2021/6/1,26.88,26.97,26.47,26.6,60990961,1622419892
2021/5/31,26.95,27.03,26.53,26.7,56625076,1511447035
2021/5/28,27.16,27.43,26.8,26.95,60260467,1627551100
2021/5/27,27.19,27.36,26.98,27.16,54203468,1472407803
2021/5/26,26.75,27.48,26.71,27.18,81702930,2219956238
2021/5/25,26.22,26.84,26.15,26.76,72105809,1914396826
2021/5/24,26.48,26.48,26.11,26.19,72921236,1911692454
2021/5/21,26.96,26.99,26.5,26.57,49577012,1323749769
2021/5/20,26.66,27,26.42,26.97,45749855,1226541384
2021/5/19,27.3,27.35,26.7,26.77,51506774,1386373303
2021/5/18,27.18,27.37,26.97,27.29,43748593,1188090535
2021/5/17,27.03,27.4,26.82,27.12,58204840,1579929565
2021/5/14,26.88,27.11,26.62,27.07,62463017,1679203378
2021/5/13,26.8,26.97,26.69,26.88,55027701,1475343363
2021/5/12,27.4,27.4,26.88,27.03,81036366,2192214695
2021/5/11,27.31,27.73,27.1,27.62,36885546,1011671789
2021/5/10,27.99,28,27.28,27.54,58966732,1620092500
2021/5/7,27.91,28.35,27.88,28,49128928,1382769020
2021/5/6,27.87,28.15,27.73,27.92,48997550,1368795688
2021/4/30,28.19,28.47,27.93,28.17,77713354,2193592780
2021/4/29,27.78,27.89,27.5,27.89,62386245,1730411465
2021/4/28,27.94,27.98,27.58,27.68,47612048,1318472547
2021/4/27,27.64,27.95,27.5,27.93,51107923,1419534468
2021/4/26,28,28.2,27.6,27.7,85945040,2389022461
2021/4/23,28.5,28.55,27.92,28.09,129256862,3642929927
2021/4/22,28.82,29.08,28.64,29.02,56002606,1619545180
2021/4/21,28.58,28.72,28.17,28.65,55173425,1570191364
2021/4/20,28.8,28.92,28.68,28.73,52977442,1524136940
2021/4/19,28.83,29.07,28.45,29,61989379,1786257528
2021/4/16,28.79,28.87,28.51,28.87,39575323,1137450228
2021/4/15,28.65,28.89,28.29,28.63,50352728,1436503927
2021/4/14,28.4,28.85,28.31,28.76,54416459,1559705231
2021/4/13,28.7,28.8,28.13,28.29,66969480,1899238929
2021/4/12,29.01,29.09,28.5,28.59,63522777,1826857601
2021/4/9,29.3,29.32,28.73,28.86,52859580,1527734334
2021/4/8,29.4,29.48,28.98,29.17,63040064,1836528786
2021/4/7,29.5,29.72,29.27,29.7,48844053,1441764754
2021/4/6,30,30,29.22,29.43,58384570,1724509734
2021/4/2,30,30.08,29.65,30,38134962,1140366058
2021/4/1,30,30.15,29.57,29.83,52511818,1565413902
2021/3/31,30.97,30.97,29.73,30,116841303,3512092086
2021/3/30,30.99,31.69,30.8,31.37,47909950,1496309175
2021/3/29,30.68,31.33,30.32,31,51928828,1608545547
2021/3/26,30.6,30.96,30.52,30.72,42877115,1317279830
2021/3/25,30.77,30.95,30.4,30.55,36169451,1107320164
2021/3/24,31.42,31.5,30.4,30.76,55912271,1720137543
2021/3/23,31.61,31.66,31.14,31.42,42266007,1324354574
2021/3/22,30.86,31.74,30.85,31.63,52195000,1638045602
2021/3/19,32.5,32.5,30.85,31.2,98992204,3114965956
2021/3/18,32.6,33.28,32.48,32.7,48213522,1580726128
2021/3/17,32.65,33.43,32.36,32.71,71897072,2355350649
2021/3/16,31.49,33.16,31.3,32.9,120542317,3904735922
