交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,3.1,3.15,3.01,3.03,53955257,164357616
2021/7/20,2.9,3.18,2.88,3.05,84155999,257032225.3
2021/7/19,2.96,3,2.87,2.9,58942955,172170527.3
2021/7/16,2.76,3.03,2.75,2.9,100140273,294943203.3
2021/7/15,2.79,2.79,2.69,2.75,39093435,107250639
2021/7/14,2.92,2.95,2.85,2.87,29986438,86489378.37
2021/7/13,2.85,2.95,2.82,2.92,41646697,121058088
2021/7/12,2.91,2.95,2.84,2.86,37784001,108885957.9
2021/7/9,2.81,2.92,2.79,2.9,49657186,142646488
2021/7/8,2.76,2.89,2.75,2.82,47114337,132959531.8
2021/7/7,2.77,2.8,2.74,2.77,25115899,69620381.97
2021/7/6,2.74,2.8,2.72,2.77,22642461,62420415.31
2021/7/5,2.73,2.79,2.72,2.76,19807837,54354364.96
2021/7/2,2.71,2.76,2.69,2.73,24571932,66966445.38
2021/7/1,2.8,2.81,2.71,2.72,35454679,97379595.78
2021/6/30,2.8,2.85,2.78,2.81,32752671,92102664.3
2021/6/29,2.86,2.87,2.77,2.79,50609096,142180330.4
2021/6/28,2.82,2.97,2.82,2.9,67750735,196691895
2021/6/25,2.91,3,2.82,2.86,122103268,356744587.6
2021/6/24,2.68,2.89,2.68,2.89,79751437,226723980
2021/6/23,2.61,2.67,2.61,2.63,18540625,48903006.45
2021/6/22,2.59,2.63,2.58,2.62,17227192,44934716.64
2021/6/21,2.58,2.65,2.57,2.59,14146045,36738159.1
2021/6/18,2.54,2.62,2.52,2.61,20242247,52100064.12
2021/6/17,2.56,2.58,2.51,2.52,13209851,33478094.25
2021/6/16,2.55,2.59,2.55,2.56,11389270,29196135.88
2021/6/15,2.68,2.68,2.55,2.55,23619606,61427228.42
2021/6/11,2.66,2.7,2.65,2.66,19039504,50951690.72
2021/6/10,2.68,2.68,2.65,2.66,13945800,37150489
2021/6/9,2.67,2.69,2.65,2.68,14230952,38042151.92
2021/6/8,2.67,2.68,2.65,2.68,11653508,31070427.24
2021/6/7,2.66,2.69,2.64,2.66,12919570,34388414.2
2021/6/4,2.68,2.71,2.65,2.66,19602147,52496617.92
2021/6/3,2.69,2.72,2.65,2.67,22834108,61240545.16
2021/6/2,2.62,2.75,2.61,2.7,34023366,91616310.9
2021/6/1,2.61,2.63,2.59,2.63,11360132,29644046.87
2021/5/31,2.61,2.63,2.59,2.61,10803096,28161753.6
2021/5/28,2.64,2.66,2.61,2.62,12090786,31828259.46
2021/5/27,2.64,2.66,2.62,2.64,14563228,38455042.36
2021/5/26,2.65,2.69,2.63,2.66,12294284,32680006.28
2021/5/25,2.67,2.67,2.64,2.65,12450742,33035993.46
2021/5/24,2.68,2.72,2.66,2.68,17324341,46604943.53
2021/5/21,2.56,2.68,2.55,2.66,22985426,60472110.54
2021/5/20,2.6,2.6,2.55,2.57,14945956,38367539.92
2021/5/19,2.62,2.64,2.6,2.61,10934770,28629617.6
2021/5/18,2.63,2.64,2.59,2.62,11346032,29598115.9
2021/5/17,2.7,2.7,2.61,2.62,15759617,41756660.54
2021/5/14,2.69,2.71,2.67,2.7,15067068,40649202.36
2021/5/13,2.68,2.7,2.65,2.66,12172818,32623357.9
2021/5/12,2.69,2.7,2.65,2.68,13443220,36002791.92
2021/5/11,2.67,2.75,2.67,2.7,20539066,55524687.48
2021/5/10,2.62,2.69,2.6,2.68,18255663,48646201.81
2021/5/7,2.58,2.63,2.55,2.63,17152382,44537630.02
2021/5/6,2.54,2.6,2.53,2.58,13510714,34749493.49
2021/4/30,2.55,2.6,2.51,2.54,14532030,37001875.65
2021/4/29,2.6,2.6,2.55,2.56,12358124,31866265.44
2021/4/28,2.57,2.59,2.53,2.59,14333900,36717525
2021/4/27,2.6,2.6,2.53,2.57,14463410,36931013.12
2021/4/26,2.62,2.65,2.6,2.61,13444233,35312642.22
2021/4/23,2.67,2.67,2.58,2.61,19432585,50843584.3
2021/4/22,2.7,2.74,2.66,2.67,15109685,40609947.5
2021/4/21,2.74,2.75,2.66,2.69,16427370,44210253.6
2021/4/20,2.79,2.79,2.73,2.73,18933452,52188818.02
2021/4/19,2.71,2.82,2.7,2.79,26741670,74437074.14
2021/4/16,2.63,2.75,2.63,2.71,31432864,84807544.92
2021/4/15,2.69,2.71,2.61,2.65,37317661,98848203.37
2021/4/14,2.72,2.76,2.68,2.75,22805578,62001269.5
2021/4/13,2.82,2.83,2.69,2.71,37450640,102457554.8
2021/4/12,2.81,2.88,2.78,2.83,28277773,80141867.89
2021/4/9,2.85,2.9,2.83,2.83,25322249,72347809.16
2021/4/8,2.95,2.96,2.86,2.87,45482111,131745454.4
2021/4/7,2.99,3.05,2.94,2.98,36698117,110031225.5
2021/4/6,2.95,3,2.92,2.98,30422351,90129980.23
2021/4/2,3.05,3.07,2.9,2.93,53966582,159850413.8
2021/4/1,3.1,3.12,3.04,3.05,46549321,142750617.1
2021/3/31,3.04,3.2,3,3.15,69972292,217668515.6
2021/3/30,3.08,3.15,3.01,3.1,86926760,266698830.9
2021/3/29,3.17,3.4,3.1,3.19,163686333,529614753.7
2021/3/26,2.88,3.16,2.85,3.16,121582562,377855984.8
2021/3/25,2.97,2.97,2.85,2.87,60090889,174190768.6
2021/3/24,2.78,3.08,2.78,3.06,111789613,337032319.5
2021/3/23,2.91,2.92,2.79,2.8,40639607,115436245.1
2021/3/22,2.86,2.94,2.81,2.93,51345602,148734169.6
2021/3/19,2.77,2.93,2.74,2.86,43906178,125511766.5
2021/3/18,2.82,2.86,2.77,2.81,26726738,75120381.12
2021/3/17,2.86,2.9,2.79,2.84,38174896,108128386.4
2021/3/16,2.9,2.93,2.85,2.89,42419855,122213895
2021/3/15,2.79,2.94,2.78,2.93,61552118,175525263.7
2021/3/12,2.98,2.98,2.81,2.84,89979179,260255573.7
2021/3/11,2.55,2.83,2.54,2.83,26480860,72762076.52
2021/3/10,2.73,2.74,2.56,2.57,34093929,89415635.12
2021/3/9,2.66,2.9,2.51,2.72,46922292,126718107.2
2021/3/8,2.7,2.75,2.66,2.66,17647290,47662672.06
2021/3/5,2.63,2.72,2.61,2.7,21218920,56946782.8
2021/3/4,2.6,2.66,2.58,2.64,20314484,53509934.08
2021/3/3,2.57,2.62,2.56,2.61,13139728,34034967.52
2021/3/2,2.6,2.67,2.56,2.58,21630900,56382691
2021/3/1,2.54,2.59,2.54,2.58,13743985,35329725.77
2021/2/26,2.51,2.56,2.49,2.54,13612384,34478604.52
2021/2/25,2.58,2.59,2.52,2.54,20477168,52141962.68
2021/2/24,2.55,2.61,2.53,2.56,17714154,45544198.86
2021/2/23,2.61,2.65,2.53,2.54,23455211,60568482.59
2021/2/22,2.58,2.7,2.56,2.6,33687433,88356233.18
2021/2/19,2.47,2.55,2.43,2.55,21708848,54304634.8
2021/2/18,2.35,2.45,2.34,2.45,22549483,54355760.17
2021/2/10,2.31,2.39,2.29,2.33,18993645,44482678.61
2021/2/9,2.25,2.33,2.24,2.31,18078093,41330529.04
2021/2/8,2.29,2.32,2.23,2.24,21771500,49341402
2021/2/5,2.25,2.41,2.25,2.28,40978254,95155466.05
2021/2/4,2.32,2.34,2.18,2.24,39986004,89944152.28
2021/2/3,2.44,2.44,2.32,2.33,24743423,58865335.33
2021/2/2,2.48,2.53,2.38,2.42,41442613,101397345.2
2021/2/1,2.55,2.62,2.52,2.52,41843781,106250098.4
2021/1/29,2.9,2.92,2.78,2.8,23293041,66265220.17
2021/1/28,2.9,2.96,2.88,2.9,14984124,43622176.05
2021/1/27,2.98,2.98,2.91,2.93,17975378,52961461.46
2021/1/26,3.04,3.04,2.96,2.97,22330800,66828637.7
2021/1/25,3.02,3.09,3,3.04,20239811,61435578.93
2021/1/22,3.11,3.11,3.03,3.04,23736168,72472938.34
2021/1/21,3.12,3.14,3.09,3.11,19242623,59902043.19
2021/1/20,3.15,3.17,3.1,3.12,18976492,59171713.28
2021/1/19,3.12,3.19,3.1,3.16,25116636,78972420.9
2021/1/18,3.12,3.15,3.11,3.12,21329743,66739047.17
2021/1/15,3.1,3.14,3.08,3.12,25791499,80142415.91
2021/1/14,3.03,3.17,3.03,3.12,35533731,110952340.7
2021/1/13,3.09,3.1,3.03,3.05,23950875,73172625.22
2021/1/12,3.07,3.13,3.06,3.09,25118489,77645777.91
2021/1/11,3.06,3.14,3.02,3.1,37429313,115149237.5
2021/1/8,3.07,3.13,2.99,3.07,41828229,128254654
2021/1/7,3.32,3.32,3.05,3.08,77357103,243443888.9
2021/1/6,3.43,3.46,3.28,3.31,54746802,182685454.6
2021/1/5,3.53,3.57,3.41,3.45,62088399,215413917.3
2021/1/4,3.45,3.69,3.4,3.58,82696483,294665420.6
2020/12/31,3.49,3.58,3.43,3.49,59627058,208248209.1
2020/12/30,3.4,3.63,3.39,3.48,74119827,258386370.4
2020/12/29,3.45,3.56,3.4,3.4,84282187,291920172.9
2020/12/28,3.45,3.61,3.36,3.47,129701309,448431152.3
2020/12/25,3.1,3.43,3.07,3.43,117209870,394438220.6
2020/12/24,3.17,3.2,3.09,3.12,25706448,80920952.14
2020/12/23,3.04,3.18,3.03,3.16,27178500,85162715.22
2020/12/22,3.12,3.16,3.04,3.05,25665039,79442523.73
2020/12/21,3.15,3.22,3.12,3.14,20773800,65860706.34
2020/12/18,3.07,3.23,3.07,3.16,31623029,100133320.4
2020/12/17,3.01,3.09,2.96,3.08,28934392,87568391.39
2020/12/16,3.18,3.18,3.02,3.02,37840901,117127896.1
2020/12/15,3.2,3.21,3.15,3.19,16088106,51079799.56
2020/12/14,3.16,3.21,3.14,3.19,17517700,55735699.98
2020/12/11,3.31,3.32,3.17,3.18,35741306,115285420
2020/12/10,3.31,3.37,3.27,3.32,21765454,72175401.75
2020/12/9,3.35,3.44,3.32,3.32,27774757,93827824.91
