交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,4.48,4.5,4.46,4.46,5205200,23300014
2021/7/20,4.43,4.47,4.4,4.46,3730187,16532905.23
2021/7/19,4.5,4.5,4.4,4.44,4753795,21042121.25
2021/7/16,4.47,4.51,4.45,4.49,4500620,20174041.6
2021/7/15,4.51,4.51,4.43,4.46,6150000,27412757
2021/7/14,4.56,4.62,4.51,4.52,6958392,31720726.28
2021/7/13,4.52,4.57,4.49,4.57,6256458,28400339.34
2021/7/12,4.55,4.61,4.5,4.52,7232600,32884844.77
2021/7/9,4.48,4.59,4.46,4.55,6733346,30591449.68
2021/7/8,4.5,4.55,4.46,4.48,4598846,20615840.62
2021/7/7,4.53,4.58,4.46,4.47,5490402,24689237.92
2021/7/6,4.55,4.59,4.51,4.54,5123600,23242394
2021/7/5,4.47,4.57,4.47,4.54,6540460,29593898.08
2021/7/2,4.45,4.51,4.38,4.45,6375500,28302643
2021/7/1,4.58,4.58,4.45,4.46,5957651,26784138.92
2021/6/30,4.55,4.62,4.53,4.56,4075625,18582712.5
2021/6/29,4.68,4.68,4.55,4.55,7255698,33226704.88
2021/6/28,4.75,4.75,4.63,4.65,8358280,39126506.4
2021/6/25,4.79,4.82,4.7,4.75,6968400,33068321
2021/6/24,4.8,4.84,4.72,4.77,10349698,49425363.94
2021/6/23,4.83,4.89,4.75,4.78,11133598,53457485.48
2021/6/22,4.74,4.94,4.63,4.86,23452213,113189619.4
2021/6/21,4.66,4.98,4.66,4.74,20143228,96336401.44
2021/6/18,4.33,4.7,4.3,4.63,22978606,105011665.7
2021/6/17,4.39,4.42,4.3,4.33,9278682,40322901.24
2021/6/16,4.46,4.47,4.4,4.41,7084510,31376911.6
2021/6/15,4.47,4.47,4.34,4.46,11261404,49543641.31
2021/6/11,4.49,4.56,4.43,4.44,15283209,68599899.67
2021/6/10,4.55,4.58,4.43,4.49,14958346,67137045.03
2021/6/9,4.52,4.59,4.46,4.55,13058139,58939762.83
2021/6/8,4.65,4.67,4.45,4.52,27610815,124770877.5
2021/6/7,5.03,5.19,4.62,4.71,61762145,304632678.2
2021/6/4,4.95,5.05,4.9,5.02,18164710,90617905.36
2021/6/3,4.9,5.03,4.87,4.94,16087218,79861007.22
2021/6/2,4.96,4.97,4.81,4.82,8437600,41016014
2021/6/1,4.76,4.99,4.74,4.93,14013441,68370439.29
2021/5/31,4.86,4.87,4.72,4.78,12767714,60905694.62
2021/5/28,4.8,4.89,4.75,4.87,9911546,47829507.64
2021/5/27,4.89,4.91,4.79,4.8,10014062,48242526.57
2021/5/26,4.75,4.96,4.72,4.88,17930385,87608741.02
2021/5/25,4.75,4.77,4.68,4.75,11114354,52633565.9
2021/5/24,4.65,4.74,4.62,4.73,13159826,61618719.12
2021/5/21,4.54,4.67,4.51,4.61,7793959,35762941.55
2021/5/20,4.54,4.55,4.5,4.53,6556886,29642941
2021/5/19,4.57,4.62,4.52,4.55,5659065,25795910.49
2021/5/18,4.49,4.59,4.45,4.58,8609709,38952338.41
2021/5/17,4.61,4.61,4.5,4.51,9055446,41048342.78
2021/5/14,4.61,4.67,4.55,4.57,10022839,46171064.61
2021/5/13,4.55,4.56,4.5,4.52,5838158,26402594.58
2021/5/12,4.59,4.6,4.49,4.55,9201878,41768158.24
2021/5/11,4.47,4.62,4.43,4.61,15017275,68355434.84
2021/5/10,4.43,4.5,4.4,4.47,8178957,36387789.83
2021/5/7,4.44,4.54,4.41,4.43,9089812,40509586.75
2021/5/6,4.24,4.58,4.22,4.45,18099714,80648766.55
2021/4/30,4.26,4.28,4.17,4.17,6196750,26038856
2021/4/29,4.22,4.35,4.18,4.3,7809600,33492803
2021/4/28,4.2,4.23,4.17,4.2,3590737,15076104.91
2021/4/27,4.24,4.24,4.14,4.2,4986400,20814203
2021/4/26,4.26,4.26,4.22,4.24,4711842,19965092.22
2021/4/23,4.34,4.36,4.16,4.26,9375550,39770152.23
2021/4/22,4.38,4.41,4.33,4.34,4740400,20646920.73
2021/4/21,4.48,4.48,4.36,4.38,4313177,18903531.49
2021/4/20,4.44,4.48,4.41,4.43,5545533,24661080
2021/4/19,4.43,4.48,4.4,4.44,4736811,21056224.01
2021/4/16,4.34,4.42,4.33,4.41,5984286,26302533.4
2021/4/15,4.4,4.4,4.32,4.33,5040827,21942020.45
2021/4/14,4.37,4.4,4.37,4.39,3699075,16208770.5
2021/4/13,4.46,4.48,4.34,4.37,8605653,37879360.55
2021/4/12,4.5,4.55,4.45,4.46,6609994,29727127.58
2021/4/9,4.46,4.49,4.42,4.48,5630984,25114004.11
2021/4/8,4.56,4.6,4.44,4.45,11641786,52089263.32
2021/4/7,4.5,4.6,4.48,4.56,11130466,50722158.46
2021/4/6,4.45,4.55,4.43,4.49,9822851,44120260.95
2021/4/2,4.52,4.53,4.42,4.45,8558482,38169283.9
2021/4/1,4.57,4.64,4.45,4.5,11317090,50939925.03
2021/3/31,4.48,4.68,4.43,4.6,22071100,101360589.5
2021/3/30,4.53,4.54,4.33,4.47,17626315,77955270.55
2021/3/29,4.68,4.77,4.52,4.55,16612386,76645160.79
2021/3/26,4.66,4.76,4.63,4.68,18367802,86105815.16
2021/3/25,4.87,4.87,4.62,4.68,27386223,129071959.2
2021/3/24,4.8,5.03,4.79,4.89,28065060,137988529
2021/3/23,4.9,4.94,4.81,4.86,25048643,121794304.5
2021/3/22,4.58,5.04,4.55,4.96,50167633,242013829.9
2021/3/19,4.54,4.61,4.53,4.58,9899699,45166748.45
2021/3/18,4.6,4.68,4.58,4.6,11049677,51132944.01
