交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,21.5,22.66,21.23,22.38,109355228,2426595779
2021/7/20,20.68,21.5,20.4,21.3,74840692,1585028073
2021/7/19,21.92,22.35,20.37,20.67,116947274,2469776537
2021/7/16,21.91,22.63,21.64,21.95,75034395,1652756589
2021/7/15,21.7,22.67,21.5,22.18,84396936,1864142056
2021/7/14,22.98,23.04,21.66,22.05,103672777,2303000548
2021/7/13,23,23.55,22,22.8,123434324,2811262251
2021/7/12,22.6,24.04,22.1,23.9,148523822,3427826029
2021/7/9,20.38,22.12,20.27,21.98,162201405,3448529929
2021/7/8,19,20.38,19,20.38,129957526,2637117824
2021/7/7,17.81,18.81,17.59,18.53,118291751,2173091786
2021/7/6,18.43,18.85,17.72,18.16,142718898,2613406733
2021/7/5,17.46,18,17.01,17.78,101374768,1792890691
2021/7/2,17.39,18.13,17.28,17.38,82562414,1457483203
2021/7/1,18.53,18.64,17,17.35,115612398,2047201981
2021/6/30,18,18.85,17.38,18.27,84692297,1539324619
2021/6/29,18.11,18.61,17.66,18.39,121949020,2210365176
2021/6/28,16.71,18.05,16.71,18.05,125644412,2230971768
2021/6/25,15.8,16.7,15.8,16.41,119126509,1948754556
2021/6/24,16.2,16.54,15.74,15.89,96243927,1550115613
2021/6/23,15.75,16.15,15.48,15.8,87051444,1384374155
2021/6/22,16.26,16.4,15.41,15.9,111028527,1768539164
2021/6/21,15.94,17.38,15.75,16.26,178055056,2932077007
2021/6/18,15.16,16.15,14.81,16.02,160655532,2495535101
2021/6/17,14.52,15.09,14.06,15.02,164177999,2412076927
2021/6/16,14.66,14.99,13.82,13.97,229679514,3302853062
2021/6/15,14.9,15.51,14.11,15.31,258901469,3845577336
2021/6/11,14.5,14.61,13.81,14.13,256380688,3652106172
2021/6/10,12.85,14.12,12.71,14.12,240043076,3321872217
2021/6/9,12.19,13.31,12.11,12.84,349325500,4484051316
2021/6/8,11.7,12.33,11.65,12.19,349749112,4268794261
2021/6/7,10.38,11.21,10.38,11.21,142862991,1595745713
