交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,16.68,16.89,16.64,16.85,17153839,287713930.1
2021/7/20,16.66,16.77,16,16.76,26784032,441334658.4
2021/7/19,17.01,17.32,16.75,16.95,24277927,412133395
2021/7/16,17.09,17.39,16.81,16.99,31103743,533057085.4
2021/7/15,17.18,17.5,16.86,17.09,42999586,738382686.5
2021/7/14,17.4,17.43,16.6,16.92,23787400,401612281
2021/7/13,16.93,17.38,16.7,17.32,24522655,421677872.6
2021/7/12,17.1,17.3,16.84,16.89,24110421,410045641.3
2021/7/9,17.11,17.46,16.85,16.96,23509180,401175893.2
2021/7/8,18.3,18.3,17.23,17.32,37471109,658555152.2
2021/7/7,18.1,18.47,17.88,18.3,21103578,384283679.5
2021/7/6,18.8,18.91,17.9,18.41,35261668,645312902.9
2021/7/5,19.05,19.52,18.62,18.77,37085137,702344225.5
2021/7/2,17.59,19.28,17.5,19.08,59930559,1112332790
2021/7/1,18.19,18.64,17.6,17.7,23421927,424306171.3
2021/6/30,18.08,18.5,17.7,18.18,22481352,407992711.4
2021/6/29,18.27,18.32,17.8,18.07,20793641,374385659.7
2021/6/28,18.21,18.31,17.6,18.22,25617495,460369660.5
2021/6/25,17.94,18.33,17.68,18.17,25909910,469531893
2021/6/24,17.8,18.28,17.53,17.87,24730562,442035585.3
2021/6/23,17.46,18.09,17.38,17.78,35336921,629729547.2
2021/6/22,17.06,18.14,16.9,17.67,39817086,701983290
2021/6/21,16.27,17.05,16.06,16.99,32602949,545513014.4
2021/6/18,16.41,16.5,16.18,16.39,18828734,307346717.9
2021/6/17,15.72,16.64,15.67,16.41,31095664,508644016.6
2021/6/16,15.97,16.09,15.58,15.67,17503719,276736886.6
2021/6/15,16.13,16.49,15.85,15.88,24135213,389462977.3
2021/6/11,16.55,16.63,15.86,16.14,32098028,517625492.2
2021/6/10,16.16,16.8,16.04,16.6,39533871,651093257.6
2021/6/9,16.3,16.39,15.73,16,17826787,284380979.3
2021/6/8,15.8,16.5,15.74,16.12,31160082,504770318.6
2021/6/7,15.33,16.01,15.32,15.9,37396146,590670735.5
2021/6/4,15.28,15.34,14.91,15.04,12680967,190360065.8
2021/6/3,15.22,15.45,15.05,15.22,17394273,265521012.4
2021/6/2,14.99,15.38,14.92,15.04,19305243,292054954.1
2021/6/1,15.34,15.38,14.86,14.93,22759090,340981046.9
2021/5/31,15.8,15.81,15.31,15.34,16785612,259027388.1
2021/5/28,15.53,15.8,15.5,15.71,17274911,270029457
2021/5/27,15.6,15.7,15.34,15.5,19170787,296520421.6
2021/5/26,15.83,15.99,15.6,15.67,14305921,225428091.4
2021/5/25,15.81,16.06,15.2,15.88,21311173,333966825.9
2021/5/24,16.36,16.49,15.75,15.79,22484583,356974894.6
2021/5/21,15.95,16.49,15.86,16.34,20673556,335251658.1
2021/5/20,16.06,16.24,15.75,15.89,13561148,216037787.5
2021/5/19,16.35,16.36,16.06,16.12,9199958,148758384.8
2021/5/18,16.22,16.38,15.83,16.23,12672230,204236773.6
2021/5/17,16.02,16.57,15.95,16.18,20590433,334354320.6
2021/5/14,16.05,16.17,15.68,16,17301231,275488116.1
2021/5/13,16.44,16.54,16.03,16.04,16855489,273974510.8
2021/5/12,16.45,16.83,16.45,16.61,14921265,248214974.7
2021/5/11,17.05,17.09,16.3,16.7,22629790,376848396.9
2021/5/10,16.67,17.1,16.23,17.03,30413108,512842653.3
2021/5/7,16.19,16.94,16.11,16.47,30951159,512220652.2
2021/5/6,16.31,16.61,15.94,16.23,19113497,311145733.4
2021/4/30,16.12,16.38,16.05,16.16,18663382,302697207.2
2021/4/29,15.6,16.18,15.6,16.05,18988995,303778835.4
2021/4/28,16,16.02,15.42,15.61,16029447,250538574.9
2021/4/27,15.65,15.95,15.45,15.86,15914583,249709986.5
2021/4/26,15.81,16.16,15.74,15.81,15787386,251548149.7
2021/4/23,15.88,15.93,15.56,15.76,13607998,214305509.1
2021/4/22,16.03,16.4,15.93,15.96,15462594,249236166.7
2021/4/21,15.9,16.14,15.83,15.98,13109043,209597112.7
2021/4/20,16.27,16.31,15.94,15.96,17525554,282216574.8
2021/4/19,16.5,16.56,16.16,16.23,16867931,274646105.7
2021/4/16,16.5,16.75,16.12,16.42,20084334,328827501.7
2021/4/15,16.4,16.6,15.82,16.52,23110133,376778356.9
2021/4/14,16.7,17.08,16.58,16.93,18857395,317394904.4
2021/4/13,16.51,17.23,16.21,16.79,28265688,475493449
2021/4/12,17.18,17.22,16.36,16.57,35916256,599315732.9
2021/4/9,16.1,17.27,16.01,17.25,52515973,882601235.4
2021/4/8,16.35,16.35,15.7,16.18,30687869,495233256.1
2021/4/7,16.44,16.97,16.21,16.41,58841793,975561132.9
2021/4/6,15.7,15.82,15.22,15.49,19882208,305909461.7
2021/4/2,16.53,16.6,15.51,15.64,30515570,482453134.2
2021/4/1,16.2,17.17,15.97,16.2,48887177,803288533.6
2021/3/31,14.7,16.07,14.69,15.99,54110317,850518594.2
2021/3/30,14.88,14.9,14.11,14.61,17562357,254809621.8
2021/3/29,14.83,14.94,14.71,14.85,13288020,196737681.6
2021/3/26,14.65,14.9,14.56,14.73,16979462,250984716
2021/3/25,14.52,14.73,14.38,14.51,7552199,109893316.6
2021/3/24,14.49,14.78,14.4,14.59,11601179,169330841.1
2021/3/23,14.7,14.8,14.32,14.56,12620035,182889872.2
2021/3/22,14.31,14.9,14.31,14.63,12217208,179427085.1
2021/3/19,14.55,14.62,14.26,14.34,12842270,184787900.8
2021/3/18,14.54,14.77,14.36,14.73,14397767,210334170.2
2021/3/17,14.31,14.87,14.06,14.62,15221674,222372794.9
2021/3/16,14.45,14.51,14.21,14.35,9023409,129460604.1
2021/3/15,13.98,14.55,13.91,14.45,14886721,213082621.9
2021/3/12,14.1,14.24,13.92,14.11,9304582,130711036.1
