交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,4.48,4.55,4.42,4.48,15604802,69658641.66
2021/7/20,4.36,4.59,4.36,4.5,19218947,86351622.34
2021/7/19,4.32,4.58,4.32,4.39,16800429,74325563.79
2021/7/16,4.33,4.45,4.25,4.36,21637050,94189680.91
2021/7/15,4.5,4.53,4.27,4.33,32864596,143916072
2021/7/14,4.61,4.83,4.43,4.5,34914604,161293418.5
2021/7/13,4.83,4.87,4.76,4.77,16748127,80290784.93
2021/7/12,4.78,4.94,4.67,4.83,26889818,129300383.9
2021/7/9,4.66,4.78,4.6,4.76,16802526,78952726.8
2021/7/8,4.8,4.81,4.59,4.65,28815731,135597345.5
2021/7/7,4.84,4.88,4.71,4.75,21688410,103243502.2
2021/7/6,4.9,4.98,4.73,4.9,30783993,149428382.6
2021/7/5,4.73,4.99,4.73,4.86,38883650,189203093
2021/7/2,4.51,4.78,4.45,4.71,44538124,206498448.2
2021/7/1,4.52,4.88,4.51,4.66,63233333,296201528.3
2021/6/30,4.7,5.07,4.61,4.66,110470274,536450863.8
2021/6/29,4.4,4.61,4.3,4.61,68631282,312887592
2021/6/28,3.82,4.19,3.82,4.19,35027442,144608874.3
2021/6/25,3.75,3.82,3.73,3.81,5596790,21196454.36
2021/6/24,3.76,3.8,3.73,3.75,5270781,19861379.05
2021/6/23,3.7,3.76,3.66,3.75,6566987,24470801.78
2021/6/22,3.6,3.7,3.6,3.69,4760429,17374026.66
2021/6/21,3.62,3.62,3.59,3.61,2641663,9515617.95
2021/6/18,3.63,3.64,3.61,3.63,2383350,8631056.8
2021/6/17,3.62,3.64,3.6,3.63,2432600,8810446.3
2021/6/16,3.62,3.63,3.6,3.62,2970734,10744610.64
2021/6/15,3.65,3.66,3.61,3.61,4847030,17634270.03
2021/6/11,3.66,3.68,3.64,3.65,5184408,18995846.38
2021/6/10,3.65,3.67,3.64,3.66,3756273,13729457.19
2021/6/9,3.65,3.67,3.63,3.65,3789367,13828588.29
2021/6/8,3.68,3.68,3.64,3.65,4245860,15527351.3
2021/6/7,3.68,3.69,3.66,3.68,3244599,11907272.23
2021/6/4,3.69,3.7,3.66,3.68,4419071,16276134.83
2021/6/3,3.68,3.72,3.68,3.69,3577130,13238397.78
2021/6/2,3.69,3.7,3.68,3.69,3788399,13977330.82
2021/6/1,3.69,3.71,3.68,3.7,3765646,13898937.64
2021/5/31,3.7,3.7,3.67,3.68,3601980,13283697.4
