交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,11.72,11.76,11.3,11.6,66786448,766999002.4
2021/7/20,11.36,11.63,11.21,11.5,57084503,653504682.6
2021/7/19,11.91,12.2,11.75,11.8,70355588,840406045.3
2021/7/16,11.94,12.17,11.49,11.71,79850320,943599549.4
2021/7/15,11.73,12.18,11.45,11.95,92589377,1096703122
2021/7/14,12.12,12.47,11.44,11.51,162697523,1952730457
2021/7/13,11.03,11.86,11.03,11.86,149909531,1727242633
2021/7/12,10,10.78,9.96,10.78,136912190,1446044473
2021/7/9,9.76,9.88,9.53,9.8,49808565,483836177.3
2021/7/8,10.65,10.65,9.68,9.83,81294952,809870930.9
2021/7/7,10.51,10.6,10.24,10.37,54759654,569574254
2021/7/6,10.57,10.94,10.18,10.32,67117635,703161299.6
2021/7/5,10.43,10.96,10.3,10.58,56199438,598999111
2021/7/2,10.07,10.72,10.01,10.48,62496775,653095220.3
2021/7/1,10.23,10.3,9.92,10.07,29662515,300202187.3
2021/6/30,10.3,10.33,9.98,10.24,31202442,317008855.7
2021/6/29,10.46,10.49,10.12,10.19,31261253,320250333.9
2021/6/28,10.54,10.68,10.34,10.42,39588350,415583281.3
2021/6/25,10.5,10.6,10.33,10.41,40293562,422327596.4
2021/6/24,10.66,10.72,10.19,10.37,56255882,584499067.5
2021/6/23,9.69,10.32,9.68,10.22,61443831,616049827.7
2021/6/22,9.58,9.64,9.32,9.49,23845148,225443043.6
2021/6/21,9.94,9.96,9.47,9.49,36312883,347641809.2
2021/6/18,9.72,10.11,9.59,9.93,23130622,228607585.1
2021/6/17,9.84,9.91,9.55,9.72,24208671,236001884.6
2021/6/16,10.11,10.14,9.81,9.84,28738276,286240308.9
2021/6/15,10.09,10.44,10.02,10.17,32375730,332198478.3
2021/6/11,10.3,10.51,10,10.02,39605177,405529456
2021/6/10,9.91,10.27,9.75,10.24,42005353,424855751.2
2021/6/9,9.9,10,9.63,9.84,27850855,272615132.5
2021/6/8,10,10.22,9.86,9.9,24319990,243494075.9
2021/6/7,10.08,10.25,9.79,9.94,34074044,339415148.2
2021/6/4,10.19,10.3,10.04,10.2,26256126,266624802.9
2021/6/3,10.04,10.48,10.04,10.23,42301422,436379959.9
2021/6/2,10.17,10.23,9.96,10.06,31435274,316870262.3
2021/6/1,10.04,10.22,10.01,10.04,37878614,381402845.9
2021/5/31,10.4,10.44,10.14,10.28,30996680,318273442.7
2021/5/28,10.11,10.4,9.98,10.24,51945036,530785207.3
2021/5/27,9.79,10.22,9.54,10.09,51177404,514052446
2021/5/26,9.08,9.8,9.06,9.69,61581870,593758118.2
2021/5/25,8.95,9.14,8.78,9.06,44806396,402174488.6
2021/5/24,8.5,9.07,8.39,8.83,62523141,552836875.6
2021/5/21,8.7,8.72,8.33,8.54,77711419,662455348.8
2021/5/20,9.77,9.81,8.92,8.92,128004312,1168826324
2021/5/19,8.98,9.91,8.93,9.91,89780391,870917470
2021/5/18,8.9,9.12,8.82,9.01,20282714,181592696.8
2021/5/17,8.92,9.23,8.86,9.01,33988183,307583539.1
2021/5/14,9.05,9.08,8.81,8.91,34836386,310334703.4
2021/5/13,8.99,9.28,8.9,8.95,38582071,348403222
2021/5/12,9,9.43,8.97,9.16,43475280,397971741.4
2021/5/11,9.04,9.14,8.66,9.07,53424412,476579039.2
2021/5/10,8.94,9.14,8.88,9.04,43689496,394555136.4
2021/5/7,9.22,9.24,8.78,8.9,58947590,525243395.5
2021/5/6,9.12,9.2,8.9,9.08,40262415,363790716.1
2021/4/30,8.91,9.1,8.84,8.96,42542407,380704312.5
2021/4/29,8.92,9.1,8.78,9.02,42616019,382267041.8
2021/4/28,8.51,9.04,8.5,8.97,59163725,525084187
2021/4/27,8.51,8.64,8.45,8.59,47061087,402193620.9
2021/4/26,8.29,8.67,8.12,8.53,87011129,740830804.1
2021/4/23,8.26,8.31,8.08,8.17,49377597,403922279.2
2021/4/22,7.91,8.45,7.91,8.35,87664313,720860867
2021/4/21,7.79,7.98,7.71,7.88,50354449,396116146
2021/4/20,7.85,7.96,7.71,7.8,60156679,471283339.5
2021/4/19,7.6,7.98,7.6,7.79,86862480,677879874.4
2021/4/16,7.22,7.72,7.18,7.58,75842102,571125666.5
2021/4/15,7.2,7.38,7.09,7.2,70934128,513708655
2021/4/14,6.97,7.05,6.85,6.98,36479881,253691017.1
2021/4/13,7.08,7.11,6.94,6.98,28499094,200262343.4
2021/4/12,7.21,7.27,6.98,7.04,50924951,361106848.2
2021/4/9,7.23,7.4,7.17,7.23,44074046,319820457
2021/4/8,7.36,7.46,7.19,7.23,82051992,600458013.1
2021/4/7,6.96,7.55,6.96,7.55,111706215,811990524
2021/4/6,6.46,7,6.46,6.91,60896555,413254625.6
2021/4/2,6.43,6.51,6.35,6.45,18517723,119221349
2021/4/1,6.25,6.49,6.23,6.45,30533508,195449280.5
2021/3/31,6.28,6.35,6.16,6.29,18413279,115297493.4
2021/3/30,6.18,6.3,6.17,6.29,18277108,114057138.9
2021/3/29,6.22,6.23,6.14,6.19,16768579,103751695.9
2021/3/26,6.12,6.24,6.11,6.23,18924892,117028384.2
2021/3/25,6.08,6.14,6.06,6.1,10674706,65042354.79
2021/3/24,6.18,6.22,6.07,6.09,19931908,121964231.9
2021/3/23,6.33,6.37,6.2,6.23,17435982,109156148.2
2021/3/22,6.12,6.32,6.09,6.31,24882962,155073080.9
2021/3/19,6.2,6.24,6.08,6.08,27196673,167300596.8
2021/3/18,6.31,6.32,6.21,6.3,18195325,113975018
2021/3/17,6.23,6.35,6.17,6.29,19176909,120151909.1
2021/3/16,6.33,6.37,6.17,6.26,27455787,171768997.6
2021/3/15,6.5,6.61,6.25,6.34,34953346,224281890.3
2021/3/12,6.25,6.52,6.17,6.5,38027598,240576611.7
2021/3/11,6.18,6.27,6.12,6.26,21146502,131497700.6
2021/3/10,6.6,6.62,6.17,6.2,32106222,202276111.3
2021/3/9,6.47,6.69,6.32,6.46,35917151,234456446.8
2021/3/8,6.68,6.78,6.44,6.46,27389870,180303705.1
2021/3/5,6.67,6.75,6.58,6.65,20284492,135134111.1
2021/3/4,6.73,6.79,6.66,6.7,26156722,175824917.2
2021/3/3,6.61,6.89,6.59,6.84,42747387,290204948.9
2021/3/2,6.7,6.71,6.44,6.56,25399356,166217002.4
2021/3/1,6.6,6.72,6.58,6.68,21329347,141742262.4
2021/2/26,6.48,6.64,6.48,6.52,27999808,183536370.1
2021/2/25,6.78,6.84,6.56,6.72,37936246,253913522.9
2021/2/24,6.86,6.99,6.63,6.68,37957972,256624986.5
2021/2/23,6.95,7.05,6.81,6.95,46435967,321870268.3
2021/2/22,6.61,7.15,6.6,6.95,63929777,444452879.3
2021/2/19,6.43,6.61,6.37,6.6,31539389,204610147.7
2021/2/18,6.42,6.56,6.35,6.41,25525587,164186534.8
2021/2/10,6.32,6.36,6.23,6.29,24965790,157188638.5
2021/2/9,5.96,6.34,5.96,6.29,33773318,210032251.4
2021/2/8,5.79,6.02,5.74,5.95,21196268,125283285.1
2021/2/5,6.03,6.07,5.8,5.81,25084475,148469507.7
2021/2/4,6.05,6.14,5.93,6.01,23153513,139318406
2021/2/3,6.22,6.27,6.04,6.04,32826974,201528011.8
2021/2/2,6.28,6.35,6.16,6.29,26702255,166871453.7
2021/2/1,6.48,6.5,6.13,6.25,50658324,316894513
2021/1/29,6.55,6.69,6.43,6.6,30345380,198955358.3
2021/1/28,6.71,6.76,6.47,6.49,36751303,242684620.3
2021/1/27,6.78,6.85,6.6,6.82,32163380,216434229.2
2021/1/26,7.09,7.24,6.78,6.8,52498831,366082268
2021/1/25,7.16,7.28,6.87,7.12,73804113,521735566.9
2021/1/22,7.15,7.37,7.1,7.3,69585691,504951685.6
2021/1/21,6.9,7.33,6.84,7.18,77482582,547738501.6
2021/1/20,6.88,6.92,6.78,6.92,24403289,167064359.3
2021/1/19,7.02,7.03,6.82,6.88,29585491,204187448.4
2021/1/18,6.85,7.03,6.77,7.02,35379177,245643307.7
2021/1/15,6.76,6.91,6.7,6.89,33530720,228257402.5
2021/1/14,6.78,6.83,6.6,6.81,41051745,275805550.1
2021/1/13,6.87,7.04,6.72,6.79,50992807,350558315.8
2021/1/12,6.84,6.89,6.73,6.88,40172467,273840856.2
2021/1/11,7,7,6.76,6.8,42228409,290019915.3
2021/1/8,7.2,7.2,6.81,7,64627191,452083191.5
2021/1/7,7.22,7.38,7.1,7.26,58989610,425581208.1
2021/1/6,7.44,7.49,7.17,7.22,62850028,455669898.7
2021/1/5,7.6,7.62,7.38,7.52,70341988,527259789.2
2021/1/4,7.38,7.77,7.38,7.65,99099916,757568333.3
2020/12/31,7.48,7.63,7.34,7.38,65011991,484059161.7
2020/12/30,7.13,7.49,7.11,7.34,76693237,563227837.3
2020/12/29,7.55,7.55,7.04,7.07,85142144,614991422.3
2020/12/28,7.8,7.8,7.52,7.6,85300509,649999882.8
2020/12/25,7.56,7.93,7.43,7.86,107351629,825426517.5
2020/12/24,7.36,7.72,7.35,7.71,108971708,819593429.6
2020/12/23,7.11,7.52,7.11,7.39,85203587,628006116.5
2020/12/22,7.4,7.45,7.09,7.1,71643171,519801567.1
2020/12/21,7.35,7.47,7.24,7.39,97344748,716721578.1
2020/12/18,6.89,7.35,6.81,7.21,109424712,783760412.2
2020/12/17,6.9,6.96,6.62,6.84,80299851,544225544.2
2020/12/16,7.13,7.35,6.99,7,85851140,618195244.1
2020/12/15,7.14,7.18,6.95,7.16,66699637,469541592.4
2020/12/14,6.83,7.24,6.83,7.19,97792482,695903740
2020/12/11,6.99,7.03,6.65,6.89,81804600,559309992.1
2020/12/10,6.72,7.04,6.66,6.97,101135982,695483062.5
2020/12/9,6.77,6.85,6.64,6.65,47833228,321642691.2
2020/12/8,6.63,6.83,6.58,6.8,57592897,386430686.1
2020/12/7,6.89,7.03,6.63,6.67,84783279,575314527.3
2020/12/4,6.77,6.78,6.63,6.75,32115397,215578341.4
