交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,26.5,26.9,24.8,25.72,20173062,516306745.5
2021/7/20,24.5,28,24.37,25.97,25312044,664090560.9
2021/7/19,23.01,25.64,22.26,25.64,21759290,521028972.5
2021/7/16,22.3,23.95,21.77,23.31,16692102,379230944.1
2021/7/15,21.72,24,21.3,23.02,20439822,460676154.8
2021/7/14,22,24.9,21.56,22.8,26212533,595037642.5
2021/7/13,22.64,22.64,21.85,22.64,13098078,295688943.9
2021/7/12,18.88,20.58,18.88,20.58,7173715,143680279.5
2021/7/9,19.14,19.17,18.48,18.71,5708537,107160771
2021/7/8,18.4,19.45,18.26,19.44,9183635,173411768.8
2021/7/7,19.11,19.26,18.25,18.63,7233289,134529294.8
2021/7/6,20.79,20.79,19.01,19.28,12312007,245096869.7
2021/7/5,19.78,19.78,19.78,19.78,2693972,53286766.16
2021/7/2,17.63,18.25,17.6,17.98,3988100,71386074
2021/7/1,18.5,18.8,17.58,17.73,5497660,100402201.8
2021/6/30,18.44,18.83,18.31,18.56,4657399,86376273.6
2021/6/29,18.22,19.13,18.22,18.81,7159177,133984232.1
2021/6/28,17.99,18.75,17.88,18.44,6328461,116154995.4
2021/6/25,18.86,19.1,17.9,18.11,8539818,155967283
2021/6/24,20.1,20.2,18.82,18.86,7998500,155601055.5
2021/6/23,20.26,20.4,19.66,19.8,6598997,131306133.5
2021/6/22,20.3,20.94,20.01,20.18,7869340,159753688.5
2021/6/21,19.5,21.4,19.18,20.77,11321172,230498641.8
2021/6/18,20.2,20.68,19.55,19.78,10687551,214307108.4
2021/6/17,19.7,21.5,19.2,20.92,15926637,323463302.4
2021/6/16,20.3,21.3,19.43,20.15,16662240,334510477.7
2021/6/15,23.99,24.2,21.58,21.58,21093216,468316314.8
2021/6/11,23.98,23.98,23.68,23.98,5616145,134672952.1
2021/6/10,20.69,21.8,20.44,21.8,8370235,178825474.1
2021/6/9,18,19.82,17.7,19.82,13013070,246709411.2
2021/6/8,17.99,19.38,17.53,18.02,11882753,216944759.5
2021/6/7,16.29,17.89,15.76,17.89,8423939,145238631
2021/6/4,16.62,16.64,16.22,16.26,3281800,53704623
2021/6/3,16.71,17.97,16.66,16.9,5543127,95142131.69
2021/6/2,16.21,17.18,15.92,16.57,4712557,77192135.49
2021/6/1,16.07,16.19,15.82,15.98,2294709,36524364.82
2021/5/31,15.99,16.25,15.84,16.04,2833968,45365741.58
2021/5/28,15.82,15.92,15.68,15.78,1636400,25821489
2021/5/27,16.2,16.22,15.78,15.83,2344055,37202395.97
2021/5/26,15.7,16.3,15.56,16.02,3262475,52375950.17
2021/5/25,15.3,16.01,15.21,15.63,2570379,40192187.45
2021/5/24,15.09,15.29,14.99,15.26,1231100,18677557
2021/5/21,15.14,15.2,15.06,15.1,759950,11486859.5
2021/5/20,15.14,15.14,14.96,15.09,1038500,15635804
2021/5/19,15.22,15.23,15.07,15.14,1162100,17571460
2021/5/18,15.52,15.52,15.22,15.33,1424700,21819534
2021/5/17,15.39,15.88,15.2,15.52,2221250,34557549
2021/5/14,15.3,15.46,15.06,15.4,1984680,30241095.6
2021/5/13,15.07,15.36,14.91,15.08,2108067,31986546.41
2021/5/12,15.31,15.31,14.81,15.07,3818181,57244445.99
2021/5/11,15.72,16.2,15.55,15.97,1339402,21400283.84
2021/5/10,15.68,15.82,15.68,15.73,855968,13469417.58
2021/5/7,16.04,16.08,15.64,15.68,1475700,23266272
2021/5/6,15.94,16.13,15.91,16.03,1074900,17207951.67
2021/4/30,16.16,16.24,15.73,15.93,1628400,25936264
2021/4/29,16.08,16.35,15.52,16.26,1873907,30117608.78
2021/4/28,17.05,17.05,15.85,16.15,5071380,82452392.98
2021/4/27,18.05,18.27,17.18,17.52,2633781,46199476.01
2021/4/26,18.61,18.61,18.04,18.16,2637438,48243036.4
2021/4/23,18.39,18.88,18.01,18.64,2889011,53502992.85
2021/4/22,18.48,18.68,18.32,18.33,1933115,35632646.55
2021/4/21,18.69,18.83,18.36,18.49,2765324,51319477.29
2021/4/20,19.5,19.66,18.85,18.88,4444841,85434647.79
2021/4/19,18.7,19.6,18.38,19.38,5757501,109524966
2021/4/16,18.5,19.16,18.45,18.78,4734693,89007780.42
2021/4/15,18.7,18.79,18.3,18.59,4396076,81248460.77
2021/4/14,19.46,20.4,18.6,18.98,10954614,211397794.8
2021/4/13,17.09,18.8,16.88,18.8,4204183,77264100
2021/4/12,17.37,17.48,17.06,17.09,1092307,18889615.41
2021/4/9,17.38,17.56,17.21,17.4,1018201,17707833.34
2021/4/8,17.6,17.62,17.32,17.32,1017001,17801675.47
2021/4/7,17.54,17.74,17.4,17.59,1252400,21962901
2021/4/6,17.3,17.55,17.24,17.54,1250387,21828167.31
2021/4/2,17.3,17.42,17.12,17.29,1120700,19337827
2021/4/1,17.1,17.39,16.93,17.3,1287701,22058262.29
2021/3/31,17.34,17.34,16.97,17.09,1122600,19187864
