交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,36.94,36.94,36.51,36.6,1489690,54603696.99
2021/7/20,36.56,37.09,36.5,36.83,1694113,62433244.77
2021/7/19,36.22,36.76,36.1,36.72,1799212,65709599.68
2021/7/16,36.36,36.55,36.16,36.43,1441148,52392477.35
2021/7/15,36.46,36.46,36.12,36.36,1429739,51833347.5
2021/7/14,36.69,36.72,36.33,36.55,1901664,69412468.51
2021/7/13,36.28,36.77,36.12,36.74,2171508,79281323.08
2021/7/12,36.54,36.62,36.05,36.2,2768541,100660395.3
2021/7/9,36.05,36.4,36,36.39,1432081,51817767.79
2021/7/8,36.84,36.88,36.1,36.24,2431829,88471776.16
2021/7/7,36.67,36.97,36.58,36.89,1345074,49461655.92
2021/7/6,36.72,36.78,36.41,36.66,1472238,53855978.92
2021/7/5,37.29,37.29,36.28,36.71,2729450,100080283.4
2021/7/2,38.15,38.34,37.34,37.4,3002010,113370998.9
2021/7/1,37.94,38.59,37.8,38.29,3065200,117515953
2021/6/30,37.72,38,37.61,37.84,1269532,48046585.12
2021/6/29,38.06,38.13,37.75,37.85,1390698,52695727.41
2021/6/28,37.81,38.06,37.6,38.04,1896091,71835528.97
2021/6/25,37.57,37.79,37.43,37.76,1464253,55134414.63
2021/6/24,37.63,37.63,37.38,37.53,1128745,42328055.52
2021/6/23,37.49,37.84,37.45,37.64,1452020,54656343.74
2021/6/22,37.43,37.95,37.4,37.56,1564398,58804035.83
2021/6/21,37.66,37.68,37.1,37.42,2256731,84253226.13
2021/6/18,38.54,38.69,38.28,38.39,2818060,108153684.6
2021/6/17,38.82,39.08,38.45,38.59,2308622,89332910.65
2021/6/16,39.06,39.25,38.79,38.93,1621409,63226573.34
2021/6/15,38.98,39.2,38.22,39.16,2698753,104408498.7
2021/6/11,38.9,39.09,38.8,38.88,2209389,86038186.14
2021/6/10,38.85,38.99,38.7,38.93,1826596,70967170.63
2021/6/9,38.97,39.09,38.72,38.85,2319653,90080185.82
2021/6/8,39.08,39.27,38.91,38.97,1528875,59757894.84
2021/6/7,39.28,39.3,38.82,39.07,2064908,80444829.36
2021/6/4,39.22,39.33,39.1,39.23,1807177,70836322.45
2021/6/3,39.27,39.6,39.12,39.21,2272985,89385492.47
2021/6/2,39.99,39.99,39.12,39.26,3446126,135794644.4
2021/6/1,39.85,40.12,39.43,40,2416431,96098169.03
2021/5/31,39.45,39.93,39.36,39.84,2403188,95535467.23
2021/5/28,40.37,40.64,39.09,39.37,5543749,220375509.3
2021/5/27,40.93,40.97,40.3,40.3,4706962,191066530.3
2021/5/26,40.82,41.08,40.41,40.78,3392648,138240046.1
2021/5/25,40.41,40.85,40.3,40.79,2955338,120076079.4
2021/5/24,39.82,40.77,39.82,40.49,2569638,103657506.9
2021/5/21,40.82,40.98,39.99,40.06,2429368,97810780.73
2021/5/20,40.65,41,40.45,40.82,2281797,92993015.04
2021/5/19,40.71,41.11,40.3,40.56,2434470,99209871.87
2021/5/18,40.78,40.82,40.28,40.7,1954646,79297779.54
2021/5/17,40.57,41.05,40.5,40.82,3010832,122867391.2
2021/5/14,40.32,41.08,40.01,40.57,3224214,130987394.1
2021/5/13,39.84,40.7,39.76,40.32,3026105,122038301.7
2021/5/12,39.91,40.24,39.62,40.1,1979506,79163094.7
2021/5/11,40.3,40.5,39.53,40.12,2754295,109970063.9
2021/5/10,40.9,41.97,40.3,40.6,5119128,210337500.2
2021/5/7,40.91,41,39.6,39.66,3074081,123430638.2
2021/5/6,41.6,41.78,40.82,40.91,2433902,100371966.7
2021/4/30,41.11,42.15,40.91,41.8,2904264,120704300.8
2021/4/29,41.3,41.66,41.01,41.12,2077550,85673628.23
2021/4/28,40.64,41.76,40.4,41.4,3391259,139870882.3
2021/4/27,42.25,42.36,40.3,40.64,4507689,184411026.7
2021/4/26,43.8,43.8,42.11,42.24,6357098,271372897
2021/4/23,43.87,44.05,43.3,43.85,2348854,102752081.3
2021/4/22,43.8,44.08,43.28,43.87,3149343,137568037.1
2021/4/21,42.49,43.88,42.31,43.62,3710949,160845074.8
2021/4/20,42.7,43.14,42.63,42.81,1904234,81509387.1
2021/4/19,43.22,43.24,42.69,42.98,2542501,109234952.5
2021/4/16,42.44,43.3,42.25,43.23,2744331,117790688.6
2021/4/15,41.92,42.68,41.7,42.6,2909245,123261330.4
2021/4/14,41.55,42.16,41.48,42.02,1863398,78094493.34
2021/4/13,41.73,42.18,41.38,41.75,2076467,86985264.02
2021/4/12,41.99,42.36,41.58,42.08,2463942,103495173.8
2021/4/9,42.4,42.43,41.75,41.83,1997803,83888947.33
2021/4/8,41.56,42.44,41.44,42.4,3842925,161964809.5
2021/4/7,41.8,42.06,41.3,41.52,2392930,99634141.45
2021/4/6,42.03,42.14,41.72,41.79,2138736,89560570.1
2021/4/2,41.97,42.32,41.64,42.17,3338823,140167143.9
2021/4/1,42.24,42.33,41.62,42.16,2245224,94414546.42
2021/3/31,41.35,42.27,41.29,42.1,3067977,128567413.5
2021/3/30,41.08,41.48,40.97,41.4,2184607,90169987.4
2021/3/29,41.5,41.5,40.88,41.06,2961806,121685840.4
2021/3/26,41.54,41.72,41.25,41.58,2168002,90091176.62
2021/3/25,41.18,41.8,40.87,41.45,2251916,93430272.18
2021/3/24,41.35,41.71,40.93,41.25,2041883,84603369.21
2021/3/23,41.42,41.78,41.1,41.58,2296300,95144943.02
2021/3/22,40.89,41.49,40.75,41.38,2068584,85424171.75
2021/3/19,41.38,41.61,40.7,40.9,2406699,98975409.84
2021/3/18,41.19,42.14,41.08,41.69,3070395,128317014.8
2021/3/17,41,42.31,41,41.28,3811874,158057806.8
2021/3/16,40.46,41.53,39.91,41.45,7357737,300642302.5
2021/3/15,39.25,39.43,38.7,38.99,1796938,70079212.93
2021/3/12,39.48,39.56,39.01,39.56,1705210,66867040.65
2021/3/11,39.26,39.52,38.9,39.49,1664906,65388578.4
2021/3/10,39.99,40.29,39.03,39.28,1961601,77263170.54
2021/3/9,40.61,40.67,39.01,39.6,2944776,117282971.4
2021/3/8,40.54,41.29,40.39,40.61,2893362,118010635.1
2021/3/5,40.1,40.8,39.91,40.54,1951431,78904047.2
2021/3/4,40.5,40.5,39.88,40.12,2352607,94349665.41
2021/3/3,39.86,40.91,39.64,40.65,3274218,132688882.2
2021/3/2,39.88,39.94,39.35,39.86,2887631,114512372.9
2021/3/1,39,39.81,38.9,39.78,3030125,119544236.3
2021/2/26,38.68,39.42,38.62,38.87,2691996,105109983.9
2021/2/25,39.21,39.43,38.85,39.13,2202650,86213572.79
2021/2/24,39.15,39.48,38.81,39.1,2904413,113695707.8
2021/2/23,39.93,40.14,38.89,38.95,5060606,198919440.8
2021/2/22,40.2,40.68,39.78,40.15,4305153,173526238.3
2021/2/19,38.71,40.3,38.6,40.11,4207459,166635238.1
2021/2/18,39.05,39.3,38.55,38.74,3362197,130417926.6
2021/2/10,38,39.1,37.68,38.73,3821273,146845284.1
2021/2/9,37.45,38.02,37.2,37.95,2922850,110078743.3
2021/2/8,37.17,37.56,36.67,37.35,2149082,79962516.7
2021/2/5,37.49,37.97,36.96,36.96,4141452,154814652.3
2021/2/4,38.43,38.44,37.1,37.51,3537077,133467696.2
2021/2/3,38.88,39.17,38.5,38.6,2415009,93638885.71
2021/2/2,39,39.37,38.66,39.01,2253876,87969656.28
2021/2/1,38.4,39.22,38.28,39.07,2541384,98754673.13
2021/1/29,38.87,39.16,38.12,38.4,2991631,115366158.3
2021/1/28,39.63,39.63,38.55,38.72,4023443,157196295.4
2021/1/27,39.22,40.38,39.1,40.35,4857629,192598471.4
2021/1/26,40.5,40.5,38.95,39.05,6056589,239117179.7
2021/1/25,41.97,42.19,40.49,40.56,5114989,209582936.1
2021/1/22,42.65,42.75,41.6,41.98,4863911,204329142.3
2021/1/21,42.87,43.15,42.41,42.73,3283000,140250444.3
2021/1/20,43.16,43.3,42.7,42.87,2448589,105034295.7
2021/1/19,42.69,43.23,42.34,43.13,3213842,137955100.8
2021/1/18,42.32,42.94,42.16,42.74,2798643,119237878.2
2021/1/15,42.76,43.15,42.11,42.32,4442281,188823838.3
2021/1/14,43,43.14,42.58,42.76,2973117,127287622.1
2021/1/13,42.62,43.49,42,43.29,4940228,211300058
2021/1/12,42.09,42.87,42.06,42.62,2702205,115000461.5
2021/1/11,43.05,43.15,42.08,42.09,3969164,168804999.9
2021/1/8,42.5,43.32,42.44,43.03,4074946,174810370.4
2021/1/7,44.54,44.67,42.51,42.77,7170258,311264434.7
2021/1/6,44.34,44.57,43.82,44.16,4717814,208127951.5
2021/1/5,44.97,45.04,43.75,44.5,6892955,305622111.1
2021/1/4,45.82,45.98,44.69,45.05,4455447,200590204.4
2020/12/31,45,47.01,44.68,45.8,5944305,273215646.3
2020/12/30,44.54,45.7,44.48,44.9,2739855,123233160.5
2020/12/29,46,46,44.77,44.79,4028842,181547010.1
2020/12/28,46.92,47.25,46,46.01,3362839,155778931.7
2020/12/25,47.01,47.5,46.6,46.88,4311056,202475715.2
2020/12/24,46.2,49,45.43,47.84,9227224,437771610.3
2020/12/23,46.12,47.12,45.41,46.42,3878476,178991941.4
2020/12/22,46.72,47.43,46.06,46.14,4431558,207305150.9
2020/12/21,47.01,47.03,46.15,46.73,3844218,179035548.2
2020/12/18,47.2,47.3,46.73,47.11,3744420,175737644.8
2020/12/17,47.11,47.68,46.79,47.19,3890653,183744519.2
2020/12/16,47.6,47.98,46.96,47,4494968,212538360.9
2020/12/15,47,48.48,46.21,47.63,6276132,297197943.2
2020/12/14,51,51,47.79,47.85,11728085,571422214.2
2020/12/11,52.77,54.54,51.5,53.1,15008157,798266239.9
2020/12/10,50.93,53,50.3,52.8,13683288,710834972.2
2020/12/9,50.73,52.27,49.56,51.8,10097712,514889289.6
2020/12/8,51.79,52.25,50.29,50.32,5207310,265758315
2020/12/7,51.47,52.56,51.26,51.91,5163600,268943939.1
2020/12/4,50.78,52.68,50.56,51.73,5521025,284740017.1
2020/12/3,50.17,51.25,50.17,50.75,3892320,197886724.8
2020/12/2,49.74,51.18,49,50.58,4642372,232848379.6
2020/12/1,49.36,49.79,49.3,49.72,2892100,143574550.3
2020/11/30,49.1,49.62,48.82,49.48,3167650,155869656.5
2020/11/27,49.78,49.78,48.68,49.23,3729395,183045665.1
2020/11/26,51.5,51.5,49.61,50,7378265,371619267.7
2020/11/25,49.58,53.4,49.08,51.88,11065526,571445908.5
2020/11/24,50.35,50.45,49.39,49.58,2244574,111730298.7
2020/11/23,50.7,51.35,50,50.35,2807350,141708352
2020/11/20,50.47,51.2,50.07,50.7,2597460,131251857.5
2020/11/19,49.8,50.57,49.51,50.49,2132561,106807030.1
2020/11/18,50.5,50.78,49.49,50.14,2702441,135002579.9
2020/11/17,51.3,51.3,50.01,50.25,3101666,156184871.8
2020/11/16,51.07,52.38,50.77,51.3,4702324,241902440
2020/11/13,49.66,51.88,48.88,50.94,6261232,316675543.7
2020/11/12,48.65,49.63,48.61,49.49,3998870,197293970
2020/11/11,48.75,48.9,47.86,48.28,2514596,121265161.1
2020/11/10,50.01,50.98,48.63,48.92,3948721,195873704.1
2020/11/9,48.35,49.35,48.35,48.93,3404788,166828368.7
2020/11/6,49.49,49.49,47.6,47.95,3464394,167287843.1
2020/11/5,49.2,49.47,48.67,49.28,2181034,107195429.8
2020/11/4,49.4,49.59,48.63,48.85,2126851,104129813.7
2020/11/3,49.03,49.58,48.5,49.38,2514414,123604200.2
2020/11/2,49.93,50.4,48.34,48.82,3481100,170893294.1
2020/10/30,51,51.35,49.45,49.63,3752444,188196829
2020/10/29,49.8,51.98,49.56,51.2,4999344,256077397
2020/10/28,49.09,50.97,48.44,50.49,4538457,226397443.6
2020/10/27,48.39,49.43,48.28,48.99,2441284,119734602.1
2020/10/26,47.44,48.72,47.1,48.6,2510275,120680105.7
2020/10/23,48.01,48.79,47.21,47.26,2247500,107579040.3
2020/10/22,48.94,48.94,48,48.13,3063557,147992471
2020/10/21,49.25,49.96,48.75,49.13,3347518,164946564
2020/10/20,48.53,48.96,48.1,48.82,1972683,95996063.11
2020/10/19,49.1,49.65,48.53,48.92,2833225,138842397.8
2020/10/16,48.99,49.67,48.52,49.47,2663275,130893378.8
2020/10/15,49.3,49.58,48.5,48.93,2850908,139749283.6
2020/10/14,49.47,50.69,48.88,49.5,4306000,214209042.7
2020/10/13,49.94,52.13,49.59,49.91,5609534,283279271.7
2020/10/12,47.78,49.39,47.58,49.06,4136028,201507402.8
2020/10/9,46.75,47.6,46.7,47.37,2929907,138331250.5
2020/9/30,46.38,47.22,45.7,46.2,2537761,118064271
2020/9/29,46.22,46.7,45.2,46.37,2679880,123596859.3
2020/9/28,47.89,48.11,46.06,46.08,2983605,139442187.5
2020/9/25,48.06,48.87,47.56,47.83,4153769,200499050.6
2020/9/24,47,48.25,46.5,47.82,3904677,185158733.8
2020/9/23,47,47.98,46.57,47.55,3496256,165767209.5
2020/9/22,47,48.12,46.75,46.77,3664680,173856050.8
2020/9/21,47.07,47.88,46.75,47.27,3240604,153277371.3
2020/9/18,46.4,47.07,46.11,47.06,3175606,147933863.4
2020/9/17,46.65,46.96,46,46.38,2512094,116492379.6
2020/9/16,47.7,47.8,46.61,46.69,3240540,152313763
2020/9/15,47.41,48.65,46.72,47.92,4666884,221649803.5
2020/9/14,49.11,49.2,47.13,47.69,4556652,217331056.6
2020/9/11,47.33,49.51,47.1,49.1,4645369,223181854.9
2020/9/10,47.38,47.87,46.53,47.04,3391184,160309239.2
2020/9/9,48.5,48.61,46.52,46.88,4620833,218939914.7
2020/9/8,49.68,50,48.1,49.25,5429610,265461892.3
2020/9/7,52.39,53.8,49.6,49.74,6847322,349916039.3
2020/9/4,52.03,52.4,51.3,51.76,3816007,197149586.3
2020/9/3,52.83,54.16,52.4,53.3,3795610,202892716.5
2020/9/2,53.88,54.08,52.56,52.87,3717796,197164493.5
2020/9/1,54.18,54.79,53.14,53.7,3508674,188010564.8
2020/8/31,54.91,56.33,54.19,54.24,5488668,302155026.6
