交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,3.52,3.55,3.5,3.53,6284948,22116851.73
2021/7/20,3.53,3.54,3.5,3.52,3885544,13657708.87
2021/7/19,3.54,3.55,3.52,3.53,5518700,19481583.23
2021/7/16,3.54,3.58,3.52,3.57,5504653,19529589.09
2021/7/15,3.58,3.58,3.53,3.55,6248034,22126013.02
2021/7/14,3.6,3.61,3.56,3.57,5239728,18733577.68
2021/7/13,3.6,3.62,3.57,3.6,5913923,21265356.36
2021/7/12,3.63,3.65,3.59,3.59,6980958,25240559.21
2021/7/9,3.57,3.6,3.55,3.59,6408460,22899673.23
2021/7/8,3.63,3.63,3.57,3.59,5397853,19377593.27
2021/7/7,3.66,3.68,3.6,3.61,5770113,20901522.05
2021/7/6,3.64,3.69,3.61,3.67,6874821,25091353.14
2021/7/5,3.58,3.67,3.57,3.64,7169063,26026336.09
2021/7/2,3.64,3.7,3.56,3.58,8277115,29961964.1
2021/7/1,3.63,3.67,3.6,3.64,6254500,22729112
2021/6/30,3.63,3.65,3.58,3.6,7218492,26049970.12
2021/6/29,3.67,3.68,3.61,3.63,6595291,24057584.8
2021/6/28,3.7,3.72,3.65,3.67,6683899,24593067.34
2021/6/25,3.74,3.74,3.68,3.71,4784000,17728469
2021/6/24,3.69,3.75,3.69,3.73,5381810,20054373.12
2021/6/23,3.7,3.73,3.66,3.73,4373130,16158093.4
2021/6/22,3.67,3.71,3.67,3.7,3740121,13804314.21
2021/6/21,3.74,3.76,3.65,3.66,8430726,31162296.68
2021/6/18,3.76,3.78,3.72,3.78,5242235,19624081.8
2021/6/17,3.81,3.85,3.76,3.76,3897745,14759065.9
2021/6/16,3.77,3.83,3.75,3.82,4595819,17470812.95
2021/6/15,3.8,3.83,3.75,3.77,4879330,18465406.93
2021/6/11,3.85,3.87,3.8,3.81,5066001,19396838.54
2021/6/10,3.87,3.88,3.83,3.86,5533445,21330956.11
2021/6/9,3.84,3.87,3.82,3.86,4668424,17980069.96
2021/6/8,3.85,3.87,3.82,3.83,5757916,22117553.44
2021/6/7,3.86,3.89,3.83,3.85,5047151,19441895.84
2021/6/4,3.96,3.97,3.86,3.87,8685600,33873632.99
2021/6/3,3.89,4.02,3.87,3.96,9475268,37485121.06
2021/6/2,3.9,3.94,3.87,3.9,5487250,21423271.35
2021/6/1,3.95,3.95,3.88,3.92,5383496,20999502.43
2021/5/31,3.92,3.94,3.85,3.91,7603110,29691367.1
2021/5/28,3.91,3.95,3.9,3.91,6400850,25113653.92
2021/5/27,3.9,3.92,3.88,3.91,4956256,19330723.92
2021/5/26,3.87,3.92,3.86,3.9,5680589,22115056.52
2021/5/25,3.87,3.91,3.83,3.88,5464500,21176663
2021/5/24,3.84,3.92,3.83,3.86,6728432,26108309.89
2021/5/21,3.79,3.87,3.78,3.87,7171430,27518650.98
2021/5/20,3.84,3.85,3.77,3.77,5059600,19195680
2021/5/19,3.88,3.9,3.83,3.84,4263885,16445950.7
2021/5/18,3.85,3.93,3.83,3.88,4982209,19367710.83
2021/5/17,3.92,3.94,3.8,3.87,5794813,22534428.87
2021/5/14,3.81,3.92,3.8,3.92,7003977,27287092.03
2021/5/13,3.85,3.91,3.84,3.85,6869358,26620899.46
2021/5/12,3.81,3.88,3.78,3.87,6904545,26508909.43
2021/5/11,3.73,3.83,3.71,3.81,8865110,33492844.54
2021/5/10,3.71,3.76,3.7,3.71,6493200,24180772
2021/5/7,3.66,3.74,3.65,3.7,6515497,24118993.21
2021/5/6,3.65,3.72,3.63,3.67,5756581,21217097.45
2021/4/30,3.68,3.72,3.61,3.65,8142880,29754784.19
2021/4/29,3.61,3.77,3.61,3.7,10029423,37127476.81
2021/4/28,3.56,3.62,3.52,3.61,6542819,23404197.64
2021/4/27,3.8,3.81,3.54,3.56,26642867,96000367.38
2021/4/26,3.81,3.84,3.78,3.8,3381800,12880751
2021/4/23,3.87,3.87,3.8,3.82,4847702,18497320.6
2021/4/22,3.89,3.91,3.85,3.85,4176823,16175978.71
2021/4/21,3.88,3.9,3.84,3.88,3301512,12790832.52
2021/4/20,3.92,3.94,3.86,3.87,5471814,21319324.45
2021/4/19,3.94,3.96,3.91,3.92,6018273,23636324.02
2021/4/16,3.88,3.96,3.88,3.94,6119324,24050122.25
2021/4/15,3.89,3.91,3.86,3.89,3138579,12177755.17
2021/4/14,3.9,3.93,3.86,3.9,3979399,15516993.12
2021/4/13,3.91,3.96,3.88,3.9,7708135,30193158
2021/4/12,3.87,3.92,3.85,3.92,5415652,21069017.52
2021/4/9,3.87,3.9,3.84,3.87,3407508,13154481.51
2021/4/8,3.92,3.96,3.88,3.89,5128101,20058395.9
2021/4/7,3.92,3.95,3.89,3.94,5398509,21136359.44
2021/4/6,3.95,3.97,3.9,3.92,3407213,13397518.55
2021/4/2,3.94,3.96,3.88,3.95,4565404,17855728.61
2021/4/1,3.89,3.97,3.87,3.95,6668489,26224839.63
2021/3/31,3.88,3.91,3.8,3.86,6093552,23469896.81
2021/3/30,3.96,3.96,3.87,3.88,4782941,18610373.83
2021/3/29,3.98,4,3.91,3.92,7080742,27888449.48
2021/3/26,3.96,4.03,3.96,3.98,4726110,18890394.66
2021/3/25,3.98,4.02,3.94,3.96,5004985,19878567.97
2021/3/24,4,4.03,3.96,3.98,4877419,19496338.87
2021/3/23,4.06,4.06,3.99,4.02,4706301,18850113.99
2021/3/22,4,4.06,3.97,4.04,4131816,16677384.08
2021/3/19,4.04,4.07,3.99,4,4914790,19738274.3
2021/3/18,4.09,4.12,4.04,4.04,4618800,18812374
2021/3/17,4.1,4.17,4.06,4.09,6338524,26011977.56
2021/3/16,4.02,4.13,3.97,4.1,8335706,33959372.97
2021/3/15,3.95,4.05,3.92,4.02,7159622,28605904.45
2021/3/12,4,4.02,3.91,3.95,12786165,50508311.5
2021/3/11,4.03,4.07,3.98,4.01,8428541,33775496.48
2021/3/10,4.09,4.12,4,4.01,5019236,20276673.97
2021/3/9,4.11,4.17,4.05,4.08,8867700,36433394.18
2021/3/8,4.15,4.19,4.1,4.12,5200492,21578596.44
2021/3/5,4.16,4.22,4.11,4.17,5253907,21844780.84
2021/3/4,4.17,4.22,4.14,4.18,5236900,21852173
2021/3/3,4.18,4.23,4.17,4.19,4460909,18722603.62
2021/3/2,4.18,4.26,4.15,4.17,7762401,32692909.63
2021/3/1,4.22,4.26,4.16,4.18,7840019,32899060.05
2021/2/26,4.31,4.34,4.2,4.22,8516668,36167988.8
2021/2/25,4.11,4.4,4.07,4.36,26701121,115247009.5
2021/2/24,4.04,4.14,4,4.12,11168228,45475320.22
2021/2/23,4.21,4.25,3.99,4.03,18925388,77159519.68
2021/2/22,3.98,4.27,3.95,4.22,24637762,102174739.9
2021/2/19,3.74,4,3.72,3.97,15066787,58398707.78
2021/2/18,3.65,3.76,3.62,3.73,10798629,40028134.28
2021/2/10,3.55,3.6,3.55,3.59,4702058,16831152.37
2021/2/9,3.64,3.64,3.56,3.56,5934902,21243554.07
2021/2/8,3.62,3.68,3.59,3.6,5957881,21661850.86
2021/2/5,3.53,3.64,3.53,3.61,6769411,24413997.71
2021/2/4,3.57,3.59,3.49,3.53,7417733,26199169.01
2021/2/3,3.62,3.64,3.54,3.59,9158606,32883952.89
2021/2/2,3.67,3.74,3.61,3.61,11996274,43966952.37
2021/2/1,3.79,3.89,3.63,3.68,24703463,92464806.15
2021/1/29,4.05,4.1,4.01,4.03,5811380,23586765.18
2021/1/28,4.08,4.08,4.03,4.06,4687149,18983642.66
2021/1/27,4.1,4.19,4.05,4.06,6113124,25141271.86
2021/1/26,4.04,4.13,4.02,4.08,6148771,25125007.83
2021/1/25,4.11,4.11,4.02,4.04,8430396,34214222.23
2021/1/22,4.23,4.24,4.12,4.13,9510953,39506824.82
2021/1/21,4.26,4.28,4.22,4.24,5012019,21314997.75
2021/1/20,4.36,4.36,4.25,4.25,8335177,35766215.22
2021/1/19,4.25,4.44,4.21,4.37,14174259,61591960.24
2021/1/18,4.22,4.29,4.22,4.25,6152958,26123367.17
2021/1/15,4.18,4.32,4.18,4.22,7419233,31561968.81
2021/1/14,4.1,4.25,4.1,4.2,9260121,38698505.41
2021/1/13,4.17,4.18,4.04,4.09,10835297,44452659.44
2021/1/12,4.18,4.26,4.15,4.17,5931976,24828697.13
2021/1/11,4.25,4.3,4.18,4.19,5998315,25275249.62
2021/1/8,4.13,4.29,4.11,4.26,9912513,41658548.02
2021/1/7,4.32,4.35,4.1,4.14,12764373,53634042.86
2021/1/6,4.32,4.34,4.3,4.34,5473582,23662134.24
2021/1/5,4.36,4.37,4.31,4.34,5245679,22708754.27
2021/1/4,4.39,4.42,4.33,4.35,7618634,33181805.35
2020/12/31,4.39,4.44,4.36,4.4,4887007,21523960.51
2020/12/30,4.39,4.42,4.36,4.38,3731656,16415053.87
2020/12/29,4.36,4.43,4.35,4.4,3255031,14334016.07
2020/12/28,4.4,4.41,4.33,4.36,5033362,21947780.31
2020/12/25,4.37,4.43,4.35,4.41,4893000,21492571.6
2020/12/24,4.48,4.49,4.32,4.34,8961224,39322725.32
2020/12/23,4.5,4.54,4.47,4.47,7186832,32251000.94
2020/12/22,4.58,4.6,4.5,4.53,7699564,34967247.48
2020/12/21,4.56,4.63,4.52,4.61,4370979,20023272.75
2020/12/18,4.62,4.66,4.59,4.59,4442066,20506099.94
