交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,6.04,6.12,6,6.09,4248774,25781313.86
2021/7/20,6.05,6.06,5.99,6.03,4365940,26275025.4
2021/7/19,6.16,6.17,6.01,6.07,4711767,28532655.74
2021/7/16,6.26,6.29,6.13,6.14,8204452,50870313.28
2021/7/15,6.35,6.45,6.2,6.25,12464287,78434791.6
2021/7/14,6.55,6.59,6.33,6.35,9178882,58924758.66
2021/7/13,6.6,6.68,6.51,6.57,7714114,50831901.39
2021/7/12,6.53,6.7,6.41,6.57,13751486,90353013.4
2021/7/9,6.18,6.55,6.1,6.5,13933533,89298089.45
2021/7/8,6.25,6.27,6.15,6.18,2827166,17511963.48
2021/7/7,6.2,6.27,6.19,6.24,1747614,10886191.22
2021/7/6,6.24,6.25,6.16,6.22,3002191,18575890.43
2021/7/5,6.23,6.3,6.22,6.27,2651300,16571954
2021/7/2,6.31,6.37,6.24,6.26,2956262,18519812.57
2021/7/1,6.37,6.39,6.32,6.33,2868460,18240508.37
2021/6/30,6.33,6.41,6.26,6.37,3968123,25103953.79
2021/6/29,6.42,6.48,6.34,6.35,2965906,18939778.1
2021/6/28,6.39,6.49,6.36,6.47,4679629,30026408.23
2021/6/25,6.58,6.61,6.36,6.41,8342772,53565117.82
2021/6/24,6.44,6.59,6.38,6.58,7733969,50503198.99
2021/6/23,6.43,6.55,6.36,6.44,6575200,42317164.49
2021/6/22,6.55,6.57,6.42,6.43,5019686,32509037.46
2021/6/21,6.52,6.64,6.45,6.52,6459243,42415597.16
2021/6/18,6.32,6.59,6.23,6.52,7110550,45917976.65
2021/6/17,6.38,6.4,6.23,6.32,4619600,29221559.02
2021/6/16,6.71,6.72,6.61,6.66,3218417,21425114.56
2021/6/15,6.81,6.85,6.67,6.71,3283191,22049955.02
2021/6/11,6.78,6.86,6.74,6.81,4171757,28453466.21
2021/6/10,6.73,6.79,6.67,6.79,6788851,45730888.15
2021/6/9,6.68,6.76,6.6,6.61,5963580,39706596.6
2021/6/8,6.6,6.69,6.57,6.68,4189632,27815526
2021/6/7,6.66,6.69,6.59,6.6,5292220,35098240.43
2021/6/4,6.76,6.76,6.62,6.66,6204613,41435420.1
2021/6/3,7,7,6.75,6.77,9127461,62439183.76
2021/6/2,6.89,7.08,6.85,6.98,9831262,68677368.75
2021/6/1,6.81,6.94,6.72,6.85,7802038,53429104.5
2021/5/31,6.79,6.81,6.71,6.81,3481625,23491014.35
2021/5/28,6.8,6.84,6.76,6.78,2390351,16257274.78
2021/5/27,6.78,6.79,6.73,6.77,2554583,17273568.99
2021/5/26,6.83,6.88,6.78,6.79,3017128,20558910.32
2021/5/25,6.85,6.86,6.79,6.85,3499107,23875690.75
2021/5/24,6.85,6.88,6.76,6.88,3444528,23475033.18
2021/5/21,6.76,6.89,6.75,6.83,4133640,28222401.4
2021/5/20,6.8,6.83,6.72,6.76,3887980,26296811.8
2021/5/19,6.74,6.82,6.67,6.8,4502248,30441719.12
2021/5/18,6.75,6.97,6.72,6.75,5682605,38630705.64
2021/5/17,6.83,6.83,6.73,6.74,4095077,27714906.58
2021/5/14,6.9,6.92,6.77,6.84,6521142,44476899.76
2021/5/13,6.96,6.99,6.82,6.86,4822992,33198695.56
2021/5/12,6.99,6.99,6.84,6.98,5233998,36278564.09
2021/5/11,7.21,7.3,6.82,7.1,9460644,66194409.55
2021/5/10,7.04,7.27,6.98,7.2,7846019,56021517.67
2021/5/7,7.12,7.19,7.01,7.05,5888075,41700688.11
2021/5/6,7.15,7.28,7.05,7.07,6904133,49174693.75
2021/4/30,7.13,7.34,7.06,7.2,7716455,55698342.75
2021/4/29,7.28,7.28,7.09,7.09,5526823,39659103.31
2021/4/28,7.1,7.25,7.02,7.18,4547989,32543808.48
2021/4/27,7.38,7.38,6.95,7.17,5597614,39782709.84
2021/4/26,7.48,7.51,7.22,7.27,5928064,43729704.68
2021/4/23,7.4,7.42,7.25,7.41,3612090,26457085
2021/4/22,7.4,7.49,7.33,7.34,3465800,25617557.4
2021/4/21,7.48,7.48,7.26,7.42,4081977,30138922.44
2021/4/20,7.5,7.79,7.42,7.51,10012248,75791529.07
2021/4/19,7.53,7.62,7.47,7.49,10540433,79118011.81
2021/4/16,7.48,7.68,7.41,7.49,6176271,46669756.76
2021/4/15,7.35,7.44,7.19,7.43,5230816,38177825.47
2021/4/14,7.56,7.57,7.18,7.39,9192693,67451239.68
2021/4/13,7.84,7.89,7.46,7.54,5368931,40778445.05
2021/4/12,7.92,7.96,7.7,7.85,5755939,44977264.88
2021/4/9,7.76,7.9,7.67,7.87,5437597,42417000.65
2021/4/8,8.02,8.03,7.72,7.77,6773285,53100734.05
2021/4/7,7.95,8.07,7.84,7.96,7539122,59786297.42
2021/4/6,7.5,8.02,7.48,7.95,13261958,104117345.1
2021/4/2,7.54,7.58,7.43,7.5,5244915,39383579.89
2021/4/1,7.45,7.59,7.38,7.45,4007157,29885978.51
2021/3/31,7.3,7.54,7.17,7.45,7334347,54618251.07
2021/3/30,7.62,7.63,7.12,7.23,6483350,47441347.96
2021/3/29,7.38,7.59,7.21,7.53,8593308,64166837.65
2021/3/26,7.34,7.45,7.2,7.28,3853421,28096051.16
2021/3/25,7.36,7.39,7.17,7.3,3445576,25096922.52
2021/3/24,7.47,7.52,7.26,7.36,5718841,42043250.62
2021/3/23,7.65,7.71,7.42,7.44,7667426,57819088.18
2021/3/22,7.53,7.7,7.48,7.63,4484507,34172949.88
2021/3/19,7.72,7.74,7.53,7.58,5894458,44866033.07
2021/3/18,7.89,8.02,7.72,7.84,7340451,57311370.4
2021/3/17,7.97,8.14,7.81,7.9,9104081,72690832.64
2021/3/16,7.65,8,7.47,7.89,13316094,104421770.2
2021/3/15,7.47,7.72,7.4,7.5,8861931,67174819.35
2021/3/12,7.54,7.6,7.35,7.42,5580545,41416333.64
2021/3/11,7.44,7.6,7.34,7.55,7286755,54721485.53
2021/3/10,7.28,7.62,7.25,7.55,10820070,80873064.43
2021/3/9,7.5,7.51,7.09,7.22,8501035,62080103.32
2021/3/8,7.46,7.62,7.39,7.5,11752475,88074632.65
2021/3/5,7.1,7.5,7.07,7.43,9515842,70056275.02
2021/3/4,7.24,7.33,7.11,7.18,6468519,46597058.49
2021/3/3,7.23,7.28,7.13,7.26,9340644,67475806.75
2021/3/2,6.88,7.55,6.88,7.25,18310736,133531174.2
2021/3/1,6.84,6.97,6.72,6.88,9747500,66841222.32
2021/2/26,7,7.16,6.84,6.84,9605659,66828554.12
2021/2/25,7.25,7.33,7.09,7.18,6156796,44295779.84
2021/2/24,7.27,7.41,7.15,7.25,8516040,61936662.02
2021/2/23,7.16,7.36,7.13,7.3,10418946,75645902.39
2021/2/22,7.22,7.36,7.16,7.24,11495022,83239648.65
2021/2/19,6.77,7.28,6.75,7.22,16957645,120971436.7
2021/2/18,6.69,6.81,6.58,6.8,10757660,72050012.26
2021/2/10,6.63,6.84,6.62,6.64,5856020,39320985.59
2021/2/9,6.23,6.72,6.18,6.63,11531920,75655515.4
2021/2/8,6.22,6.28,6.14,6.22,4564797,28304991.93
2021/2/5,6.29,6.32,6.15,6.22,3841570,23893662.95
2021/2/4,6.28,6.34,6.11,6.16,5187464,32024407.42
2021/2/3,6.48,6.53,6.32,6.33,3728580,23827078.6
2021/2/2,6.33,6.45,6.23,6.43,4551593,28886075.73
2021/2/1,6.41,6.43,6.14,6.31,5339908,33660685.54
2021/1/29,6.51,6.6,6.37,6.42,3709900,23898598
2021/1/28,6.7,6.7,6.38,6.58,9792179,63917134.37
2021/1/27,6.74,6.8,6.65,6.73,4375097,29402722.04
2021/1/26,6.72,6.79,6.65,6.72,6733251,45234617.79
2021/1/25,6.76,6.86,6.62,6.78,8821860,59471924.91
2021/1/22,6.72,6.87,6.67,6.82,13886375,94095798.5
2021/1/21,6.98,6.98,6.7,6.78,25224553,172039290.1
2021/1/20,6.49,7.08,6.47,7.08,34571264,238706991.5
2021/1/19,6.4,6.49,6.32,6.44,6736721,43139401.81
2021/1/18,6.43,6.49,6.4,6.43,6916778,44563930.86
2021/1/15,6.45,6.49,6.32,6.43,7738775,49531432.16
2021/1/14,6.55,6.62,6.43,6.44,8987835,58511159.09
2021/1/13,6.6,6.73,6.51,6.59,10032201,66240312.08
2021/1/12,6.63,6.73,6.52,6.59,7248895,47713139.5
2021/1/11,6.69,6.88,6.52,6.63,11083779,73906116.41
2021/1/8,6.74,6.84,6.54,6.69,10880446,72621029.91
2021/1/7,7.15,7.17,6.73,6.76,15741220,108574108.2
2021/1/6,7.46,7.6,7.13,7.17,17198160,125207841.5
2021/1/5,7.45,7.55,7.35,7.46,11229693,83646632.91
2021/1/4,7.34,7.63,7.33,7.5,16623893,124850233.5
2020/12/31,7.28,7.4,7.23,7.34,9174312,67084534.62
2020/12/30,7.3,7.57,7.21,7.35,10174926,74872914.06
2020/12/29,7.7,7.76,7.22,7.3,16560417,122844808.2
2020/12/28,7.43,7.73,7.29,7.73,15900192,120171604.4
2020/12/25,7.53,7.56,7.33,7.37,8528797,63097402
2020/12/24,7.73,7.73,7.47,7.53,9180264,69452697.5
2020/12/23,7.47,7.95,7.45,7.67,20269064,156280184.9
2020/12/22,7.4,7.62,7.35,7.49,19306544,144941972.3
2020/12/21,7.17,7.54,7.16,7.41,17161051,126768077.1
2020/12/18,7.04,7.28,7.02,7.16,13112155,94093688.3
2020/12/17,7.1,7.21,6.91,7.04,15533107,109880335.2
2020/12/16,7.12,7.12,6.99,7.04,5521000,38913302.8
