交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,20.58,20.8,20.2,20.45,75307652,1535327562
2021/7/20,21.1,21.2,20.47,20.6,80403433,1665315546
2021/7/19,21.36,21.43,20.78,21.21,52213595,1098434742
2021/7/16,21.41,21.82,21.3,21.34,57300261,1230180813
2021/7/15,20.72,21.72,20.63,21.62,95600305,2040266259
2021/7/14,21,21,20.41,20.76,84795055,1755810875
2021/7/13,21.15,21.34,20.54,21.12,65761395,1382029130
2021/7/12,21.5,21.5,20.89,21.16,87790102,1859059510
2021/7/9,21.3,21.63,21.02,21.27,76236474,1625461608
2021/7/8,22.78,22.78,21.2,21.51,145705947,3140657440
2021/7/7,22.68,23.05,22.5,22.55,46894487,1063910096
2021/7/6,22.08,23,21.85,22.78,79195726,1784792786
2021/7/5,21.69,22.15,21.09,22.06,85934129,1859394324
2021/7/2,22.72,22.74,21.76,21.81,107067756,2360189794
2021/7/1,22.81,23.5,22.52,23.2,66483330,1530548799
2021/6/30,22.36,22.93,22.35,22.62,40343546,913285187.1
2021/6/29,22.58,22.79,22,22.34,104974939,2341926371
2021/6/28,23.36,23.39,22.48,22.78,62625737,1425702202
2021/6/25,23.08,23.6,23.06,23.36,55997295,1310287390
2021/6/24,23.03,23.12,22.68,23.08,39028349,894502108.6
2021/6/23,22.85,23.41,22.72,23.14,44790778,1035835696
2021/6/22,22.38,23.09,22.25,22.97,75775141,1720058047
2021/6/21,22.6,22.67,22.01,22.16,71827274,1600119860
2021/6/18,23.13,23.28,22.39,22.65,69409930,1574437730
2021/6/17,23.02,23.69,23.02,23.1,45328209,1059121804
2021/6/16,23.22,23.4,23.01,23.26,37820804,878470834.1
2021/6/15,23.35,23.43,22.8,23.22,66062259,1524503478
2021/6/11,24.31,24.35,23.12,23.37,83466504,1965393116
2021/6/10,24.66,25.06,24.15,24.2,53021516,1294972567
2021/6/9,24.43,24.88,24.18,24.65,45383150,1116771375
2021/6/8,24.15,24.57,23.95,24.53,57007792,1384120301
2021/6/7,24.48,24.48,23.93,24.3,44791410,1081738833
2021/6/4,23.99,24.96,23.8,24.54,75673942,1851425838
2021/6/3,23.72,24.14,23.68,23.77,40090085,958876472.5
2021/6/2,23.89,23.92,23.38,23.89,49752702,1176608127
2021/6/1,24.2,24.25,23.5,23.92,62501796,1490476625
2021/5/31,24.33,24.53,23.91,24.2,51535081,1244209046
2021/5/28,24.68,24.71,24.16,24.5,49240073,1200523316
2021/5/27,24.91,25.16,24.52,24.79,50409136,1246712049
2021/5/26,24.64,25.12,24.5,25.01,91926378,2286540249
2021/5/25,23.54,24.73,23.45,24.6,97237462,2363145903
2021/5/24,23.48,23.6,23.19,23.48,34393563,806092207.2
2021/5/21,23.88,24.09,23.03,23.49,53933574,1263058115
2021/5/20,23.41,23.84,23.27,23.82,40578837,957478853.8
2021/5/19,23.82,24.13,23.52,23.6,42942033,1022553739
2021/5/18,23.85,24.11,23.4,23.9,39541498,939786732
2021/5/17,23.15,23.82,22.95,23.6,52756465,1241605192
2021/5/14,23.14,23.43,22.6,23.32,56378536,1300250944
2021/5/13,23.52,23.59,22.84,23.07,54965250,1271946299
2021/5/12,23.29,23.64,22.88,23.55,53326526,1245517717
2021/5/11,23.62,23.75,23.06,23.53,49722345,1161846399
2021/5/10,24,24.04,23.02,23.86,66143890,1566860764
2021/5/7,23.67,24.3,23.39,24.05,80221421,1929112374
2021/5/6,23.1,23.7,23.1,23.5,50029522,1174181608
2021/4/30,23.35,23.49,23.01,23.29,56198132,1308177203
2021/4/29,23.34,23.71,23.11,23.59,61483688,1439823965
2021/4/28,23.29,23.45,22.78,23.35,59383793,1375141410
2021/4/27,22.95,23.19,22.86,22.94,47043140,1083043579
2021/4/26,23.87,24.23,22.9,22.94,87241767,2037109597
2021/4/23,23.32,23.65,23.07,23.29,82323015,1920413502
2021/4/22,23.19,23.23,22.78,22.98,82969388,1905208912
2021/4/21,22.3,23.19,22.29,23.01,159709965,3644577541
2021/4/20,21.08,21.95,20.92,21.69,83477272,1798249024
2021/4/19,20.03,21.24,19.91,21.15,111228262,2304021478
2021/4/16,20.36,20.43,19.81,20.26,72999826,1466509057
2021/4/15,20.76,20.77,20.08,20.36,73586505,1494016041
2021/4/14,20.79,20.94,20.42,20.67,53743849,1113001542
2021/4/13,20.72,20.88,20.59,20.78,49990418,1036992693
2021/4/12,21.51,21.51,20.63,20.7,59474314,1240067320
2021/4/9,21.71,21.72,21.08,21.3,39896028,849870878
2021/4/8,21.46,21.73,21.33,21.56,38302950,825170841
2021/4/7,21.88,21.93,21.31,21.64,51760459,1116774452
2021/4/6,21.55,22.09,21.51,21.68,40110282,873387016.6
2021/4/2,21.7,21.73,21.36,21.5,58108352,1249405387
2021/4/1,22.08,22.11,21.5,21.78,54444898,1183868024
2021/3/31,21.77,22.07,21.6,22.01,77702807,1699922184
2021/3/30,21.38,21.93,21.21,21.93,73865481,1601238499
2021/3/29,21.28,21.65,21.2,21.49,78566668,1684397866
2021/3/26,20.84,21.4,20.76,21.14,82210806,1733412579
2021/3/25,20.58,20.83,20.4,20.75,49266574,1017166049
2021/3/24,21.21,21.28,20.45,20.53,85008507,1757688572
2021/3/23,21.57,21.65,20.96,21.23,68290338,1448043613
2021/3/22,20.55,21.55,20.53,21.55,145119008,3087549484
2021/3/19,21.53,21.65,20.37,20.47,152562227,3159181043
2021/3/18,21.3,21.73,21,21.73,69161019,1483801549
2021/3/17,21.45,21.55,20.9,21.2,82148865,1738185857
2021/3/16,21.6,22.11,21.27,21.66,93968432,2038470661
2021/3/15,21.4,22.12,21.11,21.6,95874870,2077984894
2021/3/12,21.37,21.7,21.2,21.48,69720060,1494219076
2021/3/11,20.58,21.38,20.56,21.27,104865939,2213107787
2021/3/10,20.84,20.91,20.28,20.4,114941657,2356185004
2021/3/9,21.68,21.92,20.58,20.85,136189533,2882931928
2021/3/8,22.44,22.69,21.48,21.6,99377397,2189190958
2021/3/5,22.7,22.98,21.86,22.34,88017141,1960439115
2021/3/4,22.77,23.49,22.65,22.92,121357937,2799747146
2021/3/3,21.58,23.08,21.46,23.01,191963527,4320024431
2021/3/2,21.62,22.15,21.26,21.65,147342505,3196536981
2021/3/1,21.54,21.68,21.18,21.45,112538653,2408050906
2021/2/26,21.6,21.96,21.21,21.38,112497730,2424653753
2021/2/25,22.4,22.56,21.68,22.09,159340347,3524600794
2021/2/24,22.27,22.28,21.56,22.16,142849985,3144209052
2021/2/23,22.38,22.68,21.82,21.93,187046013,4160776611
2021/2/22,23.8,23.8,22.26,22.38,195684248,4445818548
2021/2/19,23.96,24.19,23.57,23.85,92258314,2197558287
2021/2/18,24,24.55,23.48,24.3,150523081,3619387652
2021/2/10,24.6,24.96,23.38,23.82,191886710,4569741960
2021/2/9,24.79,24.84,24.17,24.58,94209355,2302978158
2021/2/8,24.9,24.9,24.1,24.8,108426467,2650948251
2021/2/5,24.6,25.31,24.27,24.93,101557559,2517804160
2021/2/4,24.18,25.24,24.04,24.6,125524750,3084553751
2021/2/3,23.48,25.18,23.38,24.95,192327159,4690176486
2021/2/2,23.38,24.1,22.91,23.28,241616877,5679179942
2021/2/1,23,24.99,22.7,24.55,147523930,3529556987
2021/1/29,22.81,23.54,22.71,23.09,124025841,2864101419
2021/1/28,22.78,23.18,22.45,22.81,85747696,1948881147
2021/1/27,22.31,23.47,22.31,23.08,129415272,2976800956
2021/1/26,22.3,23.32,22.3,22.37,112672055,2558575512
2021/1/25,21.72,22.6,21.43,22.49,102836527,2269032821
2021/1/22,22.23,22.23,21.51,22.03,92443442,2025834762
2021/1/21,22.5,22.8,22.15,22.23,94477860,2114252732
2021/1/20,22.15,22.97,22.12,22.47,128079316,2889249850
2021/1/19,22.51,22.84,22.05,22.34,124208834,2790056611
2021/1/18,21.2,22.78,21.2,22.7,215730178,4792909448
2021/1/15,21,21.95,20.82,21,248068898,5311218075
2021/1/14,20.68,20.89,19.95,20.17,113015562,2306404547
2021/1/13,21,21.01,20.4,20.7,104911973,2161849708
2021/1/12,20.39,21,20.18,21,128816550,2657687441
2021/1/11,20,20.64,20,20.38,179045714,3652546647
2021/1/8,19.9,20.1,19.31,19.85,119547322,2348316363
2021/1/7,19.52,19.98,19.23,19.9,158418530,3111274625
2021/1/6,18.08,19.56,18,19.56,193494512,3648521909
2021/1/5,18.4,18.48,17.8,18.17,182135210,3284606914
2021/1/4,19.1,19.1,18.44,18.6,155421643,2891682312
2020/12/31,19.21,19.58,19.02,19.34,92450343,1781736286
2020/12/30,19,19.2,18.72,19.2,97849778,1854082812
2020/12/29,18.87,19.3,18.7,19.17,96309223,1837947238
2020/12/28,18.02,18.86,17.96,18.85,127033706,2352947322
2020/12/25,18.26,18.26,17.8,18.04,57707733,1038128197
2020/12/24,18.15,18.49,18.05,18.26,63295012,1155767284
2020/12/23,17.96,18.07,17.79,18,75008273,1345650736
2020/12/22,18.36,18.65,17.88,17.9,102873751,1873638734
2020/12/21,18.3,18.64,18.03,18.28,90687811,1662649810
2020/12/18,19,19.1,18.23,18.36,105875636,1959764075
2020/12/17,18.91,19.07,18.6,18.95,68614069,1294658299
2020/12/16,18.8,19.1,18.58,19.01,68907042,1302133815
2020/12/15,18.8,18.85,18.15,18.74,78885794,1458268621
2020/12/14,18.6,19.06,18.5,18.88,83599174,1575396008
2020/12/11,18.71,18.8,18.22,18.52,88779387,1642392314
