交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,7.53,7.57,7.49,7.51,541100,4072885
2021/7/20,7.39,7.59,7.35,7.51,951200,7142728
2021/7/19,7.57,7.64,7.38,7.42,2470400,18392575.99
2021/7/16,7.68,7.68,7.61,7.61,1036300,7906197
2021/7/15,7.77,8,7.6,7.68,2357700,18255623
2021/7/14,7.69,7.96,7.6,7.82,3372700,26201512.5
2021/7/13,7.65,7.72,7.63,7.68,974901,7484133.67
2021/7/12,7.6,7.67,7.6,7.65,1190400,9101692
2021/7/9,7.57,7.63,7.55,7.59,1556700,11807306
2021/7/8,7.67,7.73,7.62,7.63,1022900,7830363
2021/7/7,7.67,7.77,7.6,7.69,1299886,10004018.62
2021/7/6,7.71,7.8,7.7,7.75,1018200,7881359
2021/7/5,7.68,7.76,7.63,7.7,1121901,8638087.67
2021/7/2,7.79,7.8,7.67,7.68,936600,7225485
2021/7/1,7.82,7.87,7.71,7.75,1480126,11532911.5
2021/6/30,7.81,7.82,7.7,7.75,839100,6517446
2021/6/29,7.81,7.85,7.78,7.78,1036177,8089221.03
2021/6/28,7.91,7.91,7.75,7.81,1036100,8096373
2021/6/25,7.87,7.92,7.74,7.85,1419826,11112987.32
2021/6/24,7.89,7.89,7.75,7.75,891001,6945105.81
2021/6/23,7.7,7.96,7.7,7.85,1809501,14163982.85
2021/6/22,7.8,7.8,7.71,7.76,895101,6939419.73
2021/6/21,7.8,7.85,7.74,7.76,851700,6618533
2021/6/18,7.71,7.84,7.64,7.8,1441400,11140554
2021/6/17,7.71,7.72,7.66,7.67,747801,5746401.68
2021/6/16,7.72,7.79,7.63,7.7,954900,7358603
2021/6/15,7.87,7.87,7.65,7.7,1648100,12722429
2021/6/11,7.94,7.99,7.88,7.88,1446100,11447317
2021/6/10,8,8.02,7.91,7.92,1197001,9512179.95
2021/6/9,7.93,8.02,7.91,8,1095600,8734487
2021/6/8,7.92,8.1,7.85,7.98,1703100,13631278
2021/6/7,7.9,7.97,7.87,7.92,1242601,9849872.91
2021/6/4,7.99,8.1,7.9,7.93,1638244,13035463.48
2021/6/3,7.9,8.15,7.9,8.05,2664918,21430931.72
2021/6/2,7.94,8.09,7.94,7.94,2318328,18581826.56
2021/6/1,7.97,8,7.9,7.99,1132001,9008769.98
2021/5/31,7.95,8.08,7.87,7.98,1556115,12355413.42
2021/5/28,7.84,8.05,7.84,7.97,2075400,16522057.29
2021/5/27,7.86,7.92,7.79,7.9,1504567,11833780.96
2021/5/26,7.84,7.88,7.77,7.84,1215910,9529622.24
2021/5/25,7.74,7.83,7.74,7.82,1449900,11287181
2021/5/24,7.75,7.83,7.69,7.78,817801,6346061.78
2021/5/21,7.7,7.73,7.64,7.72,650300,5007893
2021/5/20,7.74,7.74,7.63,7.67,1171084,8984774.67
2021/5/19,7.71,7.76,7.65,7.75,1270545,9786590.75
2021/5/18,7.76,7.84,7.63,7.75,1771407,13658945.83
2021/5/17,7.85,7.9,7.74,7.77,1419000,11049624
2021/5/14,7.9,7.97,7.84,7.95,2305902,18195398.78
2021/5/13,7.8,8,7.75,7.9,2058601,16202676.89
2021/5/12,7.81,7.85,7.72,7.81,1322900,10302814
2021/5/11,7.71,7.76,7.65,7.75,1637101,12634663.68
2021/5/10,7.72,7.73,7.64,7.67,949601,7286079.46
2021/5/7,7.65,7.73,7.54,7.72,1653301,12615092.64
2021/5/6,7.78,7.85,7.63,7.65,2020201,15581275.13
2021/4/30,7.78,7.83,7.61,7.65,2077700,15945336
2021/4/29,7.74,7.87,7.69,7.78,1377976,10710600.27
2021/4/28,7.86,7.96,7.6,7.77,5740976,44433385.97
2021/4/27,8.41,8.44,7.91,7.93,7779218,63177258.36
2021/4/26,8.41,8.74,8.34,8.44,6048502,51416760.83
2021/4/23,8.27,8.47,8.22,8.45,5333804,44624186.1
2021/4/22,8.26,8.32,8.17,8.25,2660000,21961800
2021/4/21,8.11,8.3,8.08,8.26,5291674,43583059.8
2021/4/20,8.01,8.15,7.97,8.12,2670600,21511898
2021/4/19,7.96,8.05,7.91,8,1850201,14775382.99
2021/4/16,7.86,7.98,7.82,7.98,1411800,11192290
2021/4/15,7.85,7.92,7.81,7.86,1104902,8683188.7
2021/4/14,7.8,7.87,7.75,7.86,746603,5836592.39
2021/4/13,7.9,7.9,7.81,7.84,1212000,9504563
2021/4/12,8.04,8.04,7.9,7.92,1107200,8799536
2021/4/9,8.01,8.06,7.97,7.98,1416401,11328356.97
2021/4/8,8.12,8.19,8.01,8.01,1444200,11669890
2021/4/7,8.07,8.27,8.01,8.16,2458801,20029802.16
2021/4/6,8.04,8.09,8,8.05,821000,6607922
2021/4/2,7.97,8.06,7.9,8.03,829000,6625448
2021/4/1,8.03,8.09,7.91,7.97,1352600,10790133
2021/3/31,8.07,8.1,7.98,8.07,878000,7056272.65
2021/3/30,8.14,8.16,8.02,8.07,1587580,12806023.64
2021/3/29,8.16,8.18,8.07,8.17,1540773,12505182.5
2021/3/26,8.15,8.2,8.1,8.16,1202100,9805756
2021/3/25,8.18,8.23,8.11,8.16,1326400,10852027
2021/3/24,8.3,8.3,8.14,8.17,1811200,14839406
2021/3/23,8.22,8.33,8.1,8.33,2761200,22668813
2021/3/22,8.09,8.25,8.07,8.23,2547201,20774073.1
2021/3/19,8.06,8.22,8.05,8.11,2064501,16768605.1
2021/3/18,8.2,8.33,8.13,8.14,3642100,29837435
2021/3/17,8.2,8.62,8.15,8.35,7108937,59946419.36
2021/3/16,8.08,8.31,8,8.28,4588720,37662728.19
2021/3/15,7.82,8.14,7.8,8.08,3621238,29089775.05
2021/3/12,7.86,8.05,7.71,7.86,1725600,13605768
2021/3/11,7.71,7.85,7.63,7.84,1046801,8144717.8
2021/3/10,7.96,7.96,7.71,7.73,1907700,14841622
2021/3/9,8.01,8.09,7.71,7.9,2657700,21025676
2021/3/8,8.08,8.23,8,8.01,3128883,25360871.09
2021/3/5,7.92,8.05,7.85,8.02,1864685,14892397.17
2021/3/4,7.94,8.02,7.9,7.93,1907900,15182192
2021/3/3,7.88,7.99,7.8,7.99,2078103,16445567.7
2021/3/2,8.08,8.11,7.86,7.92,2621600,20865919.09
2021/3/1,7.93,8.12,7.93,8.06,2289500,18410443
2021/2/26,8.2,8.2,7.94,8,5143542,41421089.77
2021/2/25,8.04,8.57,8.01,8.33,8672860,72691941.6
2021/2/24,7.9,8.18,7.88,8.09,4218818,33876178.32
2021/2/23,7.92,8.02,7.85,7.9,2591600,20472972.87
2021/2/22,7.99,8.22,7.95,7.95,3964802,32034005.17
2021/2/19,7.7,8.06,7.66,7.99,3161410,25066642.45
2021/2/18,7.6,7.81,7.6,7.74,2045766,15816072.18
2021/2/10,7.51,7.75,7.45,7.6,1505301,11414672.49
2021/2/9,7.48,7.57,7.42,7.51,1048194,7860390.28
2021/2/8,7.55,7.63,7.44,7.47,1202700,9048247
2021/2/5,7.32,7.75,7.32,7.55,2469201,18602891.35
2021/2/4,7.57,7.58,7.2,7.34,2185701,16099111.2
2021/2/3,7.65,7.67,7.52,7.61,1245001,9441158.54
2021/2/2,7.55,7.67,7.46,7.65,1698901,12843704.58
2021/2/1,7.39,7.65,7.39,7.53,1398744,10472130.01
2021/1/29,7.66,7.69,7.46,7.53,1967603,14860750.95
2021/1/28,7.67,7.76,7.59,7.61,1737003,13292240.98
2021/1/27,7.61,7.86,7.56,7.75,2502733,19328445.21
2021/1/26,7.59,7.78,7.56,7.64,2240400,17195310
2021/1/25,7.86,7.89,7.58,7.61,4520203,34741352.8
2021/1/22,8.3,8.3,7.99,8.05,4646289,37429946.88
