交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,4.64,4.64,4.35,4.53,31236597,139646843.6
2021/7/20,4.06,4.49,4,4.49,28718273,124245518.7
2021/7/19,4,4.13,3.95,4.08,15245400,62022180
2021/7/16,4.13,4.14,3.98,4,17336763,70144939.57
2021/7/15,4.08,4.21,4.02,4.15,21547750,88891479.5
2021/7/14,4.13,4.19,4.01,4.08,26853171,109503910.6
2021/7/13,4.26,4.51,4.16,4.26,46590037,199690868.6
2021/7/12,4.22,4.81,4.17,4.62,70609054,324128897.4
2021/7/9,4.19,4.37,4.11,4.37,24379281,105132276.4
2021/7/8,3.64,3.97,3.61,3.97,12983482,49575608.6
2021/7/7,3.57,3.63,3.55,3.61,5949895,21370753.04
2021/7/6,3.58,3.69,3.54,3.57,9665400,34721089
2021/7/5,3.41,3.62,3.41,3.57,12283439,43519835.42
2021/7/2,3.47,3.57,3.35,3.42,8856711,30532637.17
2021/7/1,3.58,3.61,3.49,3.5,9554097,33982397.18
2021/6/30,3.48,3.65,3.45,3.53,11728897,41612664.41
2021/6/29,3.4,3.67,3.35,3.48,14747920,51580622.58
2021/6/28,3.49,3.5,3.35,3.38,12352008,42080834.12
2021/6/25,3.52,3.68,3.47,3.51,14623899,51914928.68
2021/6/24,3.62,3.7,3.48,3.56,25711379,91902514.79
2021/6/23,4.28,4.28,3.72,3.77,44257403,180605870.6
2021/6/22,3.77,3.89,3.72,3.89,7965793,30314443.77
2021/6/21,3.54,0,0,0,0,0
2021/6/18,3.47,3.65,3.47,3.54,3842452,13645422.77
2021/6/17,3.45,3.52,3.4,3.5,4421531,15395496.19
2021/6/16,3.5,3.56,3.42,3.45,5747865,20035854.22
2021/6/15,3.64,3.67,3.53,3.53,5799953,20648802.08
2021/6/11,3.5,3.73,3.47,3.72,9320519,33746273.85
2021/6/10,3.6,3.66,3.46,3.55,14611057,51656406.81
2021/6/9,3.8,3.87,3.61,3.61,22407375,84346189.54
2021/6/8,3.57,3.69,3.52,3.69,7343250,26641156.86
2021/6/7,3.28,3.52,3.23,3.51,12457766,42459524.62
2021/6/4,3.23,3.38,3.23,3.35,9509546,31749915.07
2021/6/3,3.03,3.22,3.03,3.22,4426197,14040607.29
2021/6/2,3.14,3.15,3.04,3.07,4144558,12782980.8
2021/6/1,2.96,3.09,2.94,3.07,4310326,13080186.04
2021/5/31,3.01,3.01,2.94,2.96,3413133,10111168.25
2021/5/28,3.01,3.02,2.96,3.02,3096892,9273928.08
2021/5/27,2.9,3.04,2.9,3,4831850,14421631.02
2021/5/26,2.9,2.94,2.88,2.91,3857526,11233735.14
2021/5/25,2.92,2.96,2.91,2.95,3181167,9318350.98
2021/5/24,2.85,2.94,2.85,2.91,2938828,8546138.48
2021/5/21,2.8,2.87,2.77,2.86,2397012,6739678.6
2021/5/20,2.85,2.86,2.75,2.78,3273597,9148754.47
2021/5/19,2.92,2.95,2.83,2.84,7039684,20309934.36
2021/5/18,2.89,3,2.89,2.98,2456636,7247108.32
2021/5/17,2.95,2.95,2.89,2.89,3632300,10520871
2021/5/14,2.95,3.07,2.95,3.04,4391198,13312545.93
2021/5/13,2.89,2.96,2.87,2.93,3905980,11387981.56
2021/5/12,2.92,2.96,2.88,2.91,2885224,8435146.48
2021/5/11,2.95,3,2.91,2.96,2981436,8838582.23
2021/5/10,2.88,2.98,2.85,2.97,4587102,13419669.9
2021/5/7,2.83,2.89,2.81,2.88,3930412,11191813.44
2021/5/6,2.74,2.85,2.72,2.81,4196124,11767612.24
2021/4/30,2.72,2.73,2.63,2.72,2351000,6344054
2021/4/29,2.64,2.72,2.63,2.66,1787736,4766794.5
2021/4/28,2.64,2.65,2.6,2.64,1787300,4697563
2021/4/27,2.79,2.83,2.64,2.65,5121479,13710119.56
2021/4/26,2.84,2.87,2.78,2.78,2234400,6308653
2021/4/23,2.87,2.89,2.83,2.85,2050700,5845113
2021/4/22,2.89,2.93,2.83,2.88,1894803,5451593.35
2021/4/21,2.87,2.9,2.84,2.88,1549401,4449020.85
2021/4/20,2.9,2.93,2.86,2.86,2340400,6767413
2021/4/19,2.88,2.91,2.85,2.9,2229860,6432309.03
2021/4/16,2.84,2.89,2.82,2.88,1863210,5334148.08
2021/4/15,2.85,2.87,2.81,2.83,1895228,5368921.68
2021/4/14,2.8,2.87,2.79,2.87,1554197,4423892.48
2021/4/13,2.88,2.88,2.8,2.81,3126032,8863782.6
2021/4/12,2.87,2.94,2.85,2.87,3570065,10388326.99
2021/4/9,2.85,2.88,2.79,2.86,3083208,8718969.4
2021/4/8,2.87,2.9,2.83,2.83,2627400,7501116
2021/4/7,2.91,2.95,2.88,2.9,2673300,7782413
2021/4/6,2.89,2.97,2.85,2.92,3331400,9703045
2021/4/2,2.93,2.93,2.84,2.87,3521284,10085625.24
2021/4/1,2.9,3,2.88,2.94,3405100,10008686
2021/3/31,2.78,2.96,2.78,2.89,3814297,10897963.27
2021/3/30,2.9,2.9,2.77,2.84,4038200,11405676
2021/3/29,2.97,2.97,2.8,2.83,7084697,20285559.6
2021/3/26,2.97,3.01,2.89,2.95,6826084,20119591.6
2021/3/25,2.94,3.09,2.87,3.01,7272100,21644820
2021/3/24,3.1,3.1,2.94,2.98,9628960,28901483.32
2021/3/23,3.1,3.17,2.99,3.09,15904763,49300650.97
2021/3/22,2.91,3.02,2.85,3.02,9503619,28055390.32
2021/3/19,2.7,2.88,2.7,2.88,8904411,25199352.99
2021/3/18,2.72,2.76,2.68,2.74,5106006,13899383.2
2021/3/17,2.8,2.83,2.65,2.73,7957068,21798357.34
2021/3/16,2.6,2.75,2.59,2.75,10310805,28141162.87
2021/3/15,2.54,2.65,2.52,2.62,5162328,13514968.74
2021/3/12,2.51,2.55,2.49,2.52,3092800,7760484
2021/3/11,2.53,2.6,2.5,2.55,3781351,9648104.03
2021/3/10,2.61,2.65,2.52,2.53,7427724,19104419.48
2021/3/9,2.51,2.68,2.43,2.65,10294904,26774746.58
2021/3/8,2.7,2.74,2.53,2.55,11946314,31813813.5
2021/3/5,2.48,2.61,2.46,2.61,5665685,14614879
2021/3/4,2.45,2.57,2.43,2.49,3954100,9906993
2021/3/3,2.43,2.48,2.4,2.45,3104873,7609221.66
2021/3/2,2.44,2.44,2.38,2.41,1901800,4589167
2021/3/1,2.43,2.46,2.41,2.43,2205165,5367573.95
2021/2/26,2.44,2.45,2.38,2.41,2359672,5705780.24
2021/2/25,2.4,2.47,2.37,2.45,3322114,7991410.48
2021/2/24,2.37,2.4,2.36,2.39,1900022,4521832.38
2021/2/23,2.41,2.41,2.35,2.38,2335800,5552273.76
2021/2/22,2.35,2.42,2.35,2.4,4130111,9879455.04
2021/2/19,2.29,2.38,2.29,2.37,1989392,4655325.12
2021/2/18,2.27,2.32,2.27,2.3,2009032,4599109.36
2021/2/10,2.22,2.27,2.21,2.26,1800800,4039218
2021/2/9,2.2,2.23,2.17,2.22,1573239,3464924.58
2021/2/8,2.19,2.29,2.17,2.21,2770200,6158854
2021/2/5,2.19,2.26,2.19,2.2,1465800,3255075
2021/2/4,2.32,2.35,2.22,2.23,2514542,5651178.66
2021/2/3,2.33,2.4,2.3,2.34,2467442,5771529.1
2021/2/2,2.32,2.38,2.32,2.36,1156300,2722247
2021/2/1,2.4,2.41,2.33,2.33,3242507,7680007.73
2021/1/29,2.45,2.48,2.35,2.39,3099437,7456329.95
2021/1/28,2.43,2.46,2.35,2.41,2694455,6481342.72
2021/1/27,2.33,2.46,2.31,2.46,5028419,12142645.12
2021/1/26,2.33,2.37,2.32,2.34,1324497,3102635.98
2021/1/25,2.35,2.41,2.25,2.35,1174978,2743077.65
2021/1/22,2.36,2.39,2.32,2.35,2010773,4728337.74
2021/1/21,2.37,2.43,2.33,2.37,2727000,6517549
2021/1/20,2.39,2.39,2.31,2.36,2923700,6848208
2021/1/19,2.25,2.37,2.25,2.37,4244368,9954398.16
2021/1/18,2.29,2.31,2.21,2.26,2517000,5733585
2021/1/15,2.12,2.24,2.09,2.24,2733492,5973220.64
2021/1/14,2.12,2.14,2.08,2.13,1904416,4018394.12
2021/1/13,2.24,2.24,2.11,2.12,2494946,5328226.44
2021/1/12,2.23,2.25,2.2,2.22,1564500,3470046
2021/1/11,2.36,2.36,2.22,2.23,2940007,6610713.54
2021/1/8,2.38,2.38,2.32,2.34,2238993,5256852.63
2021/1/7,2.33,2.43,2.3,2.38,4053600,9687995
2021/1/6,2.42,2.42,2.3,2.33,3105701,7293832.38
2021/1/5,2.42,2.42,2.4,2.41,1797400,4331034.49
2021/1/4,2.4,2.45,2.39,2.42,3861566,9333640.4
2020/12/31,2.44,2.45,2.37,2.41,3663737,8812944.69
2020/12/30,2.41,2.44,2.41,2.42,1041300,2527866
2020/12/29,2.45,2.45,2.41,2.43,1385541,3363288.22
2020/12/28,2.43,2.46,2.41,2.43,1142400,2770702
2020/12/25,2.42,2.46,2.39,2.44,1828987,4440405.41
2020/12/24,2.54,2.54,2.39,2.42,3425830,8349075.7
2020/12/23,2.45,2.52,2.45,2.52,1979387,4919733.36
2020/12/22,2.52,2.53,2.42,2.44,2858847,7109090.56
2020/12/21,2.55,2.56,2.51,2.52,2028937,5122820.87
2020/12/18,2.56,2.57,2.53,2.54,1593500,4058918.6
2020/12/17,2.51,2.56,2.49,2.56,3048208,7680634.16
2020/12/16,2.55,2.6,2.52,2.54,3593676,9188877.08
2020/12/15,2.63,2.71,2.57,2.61,6275261,16510690.5
2020/12/14,2.5,2.63,2.5,2.63,5625331,14741948.23
2020/12/11,2.58,2.58,2.47,2.5,2301114,5760252.92
2020/12/10,2.58,2.59,2.55,2.56,1978300,5079754
2020/12/9,2.65,2.65,2.58,2.59,2601200,6782288
2020/12/8,2.6,2.64,2.58,2.64,2007164,5237649.68
2020/12/7,2.55,2.63,2.54,2.61,1972992,5112766.12
2020/12/4,2.63,2.65,2.52,2.57,4404600,11384095
2020/12/3,2.57,2.61,2.55,2.59,1956100,5051405.08
2020/12/2,2.53,2.6,2.51,2.58,3535100,9048464.96
2020/12/1,2.48,2.55,2.48,2.53,1519618,3837119.36
2020/11/30,2.5,2.54,2.42,2.51,4220317,10459501.09
2020/11/27,2.61,2.64,2.5,2.52,6351600,16200313
2020/11/26,2.66,2.66,2.6,2.62,3603200,9476059
2020/11/25,2.7,2.7,2.63,2.67,4034714,10714110.82
2020/11/24,2.65,2.72,2.65,2.69,4598154,12354621.64
