交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,10.44,10.8,10.23,10.28,4179262,43422004.12
2021/7/20,10.39,10.88,10.1,10.44,8291616,87233755.73
2021/7/19,9.52,10.66,9.42,10.57,7084156,72058032.56
2021/7/16,9.6,9.74,9.38,9.69,2810699,26668289.94
2021/7/15,9.85,10.03,9.34,9.8,5043950,48613389.75
2021/7/14,9.79,10,9.48,9.99,2340661,22618568.92
2021/7/13,9.8,9.81,9.63,9.79,653001,6353905.21
2021/7/12,9.59,9.84,9.53,9.79,1437201,13904273.68
2021/7/9,9.74,9.74,9.48,9.64,966711,9288016.12
2021/7/8,9.72,9.82,9.63,9.75,872400,8479538
2021/7/7,9.8,9.87,9.71,9.78,642411,6293858.73
2021/7/6,9.84,9.95,9.67,9.8,1064500,10461914
2021/7/5,9.6,9.81,9.6,9.76,881400,8574711.78
2021/7/2,9.41,9.74,9.33,9.6,1211351,11623099.13
2021/7/1,9.82,9.97,9.46,9.46,1169787,11320657.34
2021/6/30,9.71,9.88,9.7,9.81,960233,9410013.8
2021/6/29,9.89,9.97,9.63,9.69,911632,8929698.2
2021/6/28,9.86,9.97,9.74,9.82,1171773,11523299.4
2021/6/25,10.15,10.15,9.76,9.91,2176800,21564215
2021/6/24,10.02,10.21,9.92,10.15,1607454,16198865.08
2021/6/23,9.94,10.14,9.91,10.02,1474852,14769490.46
2021/6/22,10.04,10.19,9.88,9.94,2155705,21576508.9
2021/6/21,9.58,10.33,9.58,10.04,4150336,41854740.27
2021/6/18,9.45,9.68,9.36,9.58,1320115,12610089.45
2021/6/17,9.45,9.47,9.27,9.46,1015311,9512771.65
2021/6/16,9.63,9.63,9.4,9.45,1050751,9973989.04
2021/6/15,9.31,9.74,9.23,9.63,2073920,19796854.4
2021/6/11,9.36,9.46,9.27,9.3,623000,5820959
2021/6/10,9.49,9.49,9.36,9.41,638900,6011954
2021/6/9,9.42,9.5,9.36,9.47,631400,5971690
2021/6/8,9.44,9.57,9.42,9.44,995000,9442245
2021/6/7,9.27,9.65,9.27,9.52,1425410,13562504.8
2021/6/4,9.25,9.36,9.19,9.26,841100,7795524
2021/6/3,9.5,9.65,9.3,9.34,1643451,15459297.83
2021/6/2,9.17,9.79,9.08,9.45,3855676,36673810.97
2021/6/1,9.2,9.21,9.05,9.18,900112,8238825.74
2021/5/31,9.04,9.12,9.02,9.11,471901,4290202.11
2021/5/28,9.12,9.18,9.04,9.07,623500,5673833.98
2021/5/27,9.08,9.18,9.04,9.12,823434,7530563.44
2021/5/26,9.11,9.15,9.04,9.1,532632,4841359.26
2021/5/25,8.98,9.14,8.93,9.11,1171723,10626707.73
2021/5/24,8.85,9,8.8,8.93,518650,4635185.5
2021/5/21,8.98,8.99,8.85,8.89,524150,4668939
2021/5/20,8.95,8.99,8.82,8.89,640622,5692741.36
2021/5/19,9.06,9.12,8.98,9,686300,6191269
2021/5/18,9.07,9.14,8.96,9.07,453800,4100529
2021/5/17,9.08,9.12,9.03,9.04,653100,5921788
2021/5/14,9.11,9.15,9.03,9.12,691500,6301979
2021/5/13,9.12,9.18,8.96,9.11,558401,5087634.08
2021/5/12,9.1,9.15,9.03,9.12,641400,5834795
2021/5/11,9.03,9.1,8.97,9.09,474100,4294264.11
2021/5/10,8.94,9.18,8.74,9.04,1122678,10087309.54
2021/5/7,9.02,9.08,8.91,8.98,702111,6301866.74
2021/5/6,9.06,9.16,8.92,9,713300,6444775
