交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,8.19,8.3,8.19,8.24,2124500,17520282
2021/7/20,8.15,8.3,8.13,8.18,1929770,15818753
2021/7/19,8.23,8.3,8.1,8.23,3531624,28806020.68
2021/7/16,8.31,8.48,8.26,8.27,2837355,23660971.93
2021/7/15,8.54,8.54,8.21,8.3,3706200,30816609
2021/7/14,8.53,8.59,8.38,8.47,5116900,43338456
2021/7/13,8.31,8.63,8.22,8.53,7389670,62544893.8
2021/7/12,8.45,8.52,8.4,8.44,3967407,33491125.4
2021/7/9,8.3,8.49,8.22,8.46,4878720,40965006.48
2021/7/8,8.29,8.35,8.18,8.3,2978720,24623212.2
2021/7/7,8.33,8.36,8.2,8.25,2574100,21213276
2021/7/6,8.2,8.39,8.18,8.33,2798584,23226748.52
2021/7/5,8.14,8.29,8.1,8.23,1987600,16314925
2021/7/2,8.15,8.24,8.11,8.2,2255564,18432063.96
2021/7/1,8.5,8.5,8.19,8.19,4084738,33905841.22
2021/6/30,8.44,8.54,8.42,8.48,2663000,22548051
2021/6/29,8.43,8.64,8.39,8.43,3617000,30706890
2021/6/28,8.49,8.65,8.42,8.5,4701300,39987121
2021/6/25,8.35,8.36,8.21,8.32,3422800,28302507.3
2021/6/24,8.5,8.55,8.32,8.33,3894610,32671648.1
2021/6/23,8.48,8.62,8.41,8.49,4011000,34140221
2021/6/22,8.59,8.64,8.38,8.47,4646584,39350492.8
2021/6/21,8.23,8.59,8.17,8.58,6003654,50753545.28
2021/6/18,8.26,8.28,8.12,8.23,3248400,26633637
2021/6/17,8.19,8.31,8.17,8.22,2782890,22856782.2
2021/6/16,8.37,8.4,8.13,8.16,4326500,35549796
2021/6/15,8.66,8.7,8.28,8.37,6723000,56539621
2021/6/11,8.5,8.87,8.46,8.7,8881300,77685767
2021/6/10,8.62,8.69,8.5,8.51,4758200,40893426
2021/6/9,8.6,8.7,8.41,8.65,5481900,47061869
2021/6/8,8.69,8.72,8.55,8.59,5591076,48162021.76
