交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,9.13,9.21,9.01,9.1,55679240,506030661.3
2021/7/20,8.95,9.28,8.87,9.13,48094734,437305370.9
2021/7/19,9.36,9.4,9.05,9.12,88585599,809198131.7
2021/7/16,9.74,9.92,9.5,9.54,90632896,876712454
2021/7/15,9.9,9.9,9.4,9.66,121162549,1166922015
2021/7/14,10.21,10.8,9.9,10.11,226160555,2326589929
2021/7/13,9.11,9.99,9,9.96,177953564,1713518409
2021/7/12,9.2,9.22,9.07,9.11,54229750,495137482
2021/7/9,8.92,9.22,8.76,9.16,57610586,520641053.8
2021/7/8,9.25,9.37,9.06,9.08,65650370,604064691
2021/7/7,9.19,9.19,8.93,9.04,69137094,625046388.9
2021/7/6,8.88,9.28,8.76,9.25,102437153,935602921.5
2021/7/5,8.69,8.87,8.52,8.82,55710978,483532911.8
2021/7/2,8.66,8.91,8.58,8.68,58988255,514200620.7
2021/7/1,9.19,9.24,8.77,8.82,86219978,770459560
2021/6/30,9.43,9.43,9.06,9.17,76129005,698769561.3
2021/6/29,9.71,9.75,9.3,9.33,89375623,846505948.6
2021/6/28,9.99,10.08,9.86,9.88,52400900,520497362.8
2021/6/25,9.86,10.03,9.69,9.88,70461325,694680588
2021/6/24,10.15,10.2,9.87,9.92,72618197,725353717.8
2021/6/23,10.15,10.49,10.08,10.21,102144646,1049015976
2021/6/22,9.95,10.58,9.7,10.15,123796375,1240227468
2021/6/21,9.6,10.02,9.48,9.93,86048969,845348563
2021/6/18,9.62,9.77,9.3,9.6,76592554,729742734.6
2021/6/17,9.65,9.98,9.48,9.83,62789683,616006285
2021/6/16,10.3,10.31,9.53,9.7,113026975,1110252713
2021/6/15,10.66,10.78,10.3,10.44,91868792,963531405
2021/6/11,10.16,10.94,10.16,10.66,142511782,1517676014
2021/6/10,10.08,10.27,10.04,10.15,72907225,740558697.6
2021/6/9,10.3,10.35,10.07,10.08,87624204,889484582.1
2021/6/8,10.26,10.57,10.15,10.38,109710363,1133876801
2021/6/7,10.46,10.75,10.24,10.3,142360709,1484090901
2021/6/4,11.05,11.21,10.81,10.83,93474755,1024860939
2021/6/3,11.33,11.49,10.9,11.05,136845972,1524600966
2021/6/2,11.36,11.94,11.05,11.5,238121248,2725805106
2021/6/1,11.9,12.11,11.15,11.38,271782312,3141017766
2021/5/31,10.63,11.88,10.51,11.88,260080778,2942304144
2021/5/28,10.92,11.25,10.7,10.8,156809242,1713842903
2021/5/27,10.8,11.38,10.75,10.84,185062542,2038315058
2021/5/26,10.42,11.2,10.08,10.96,220345699,2351355091
2021/5/25,10.54,10.88,10.27,10.4,156083152,1631888420
2021/5/24,11.22,11.73,10.6,10.6,211022914,2339205228
2021/5/21,10.75,11.46,10.6,11.11,219167264,2434772916
2021/5/20,11.34,11.83,10.57,10.98,285443502,3198178653
2021/5/19,10.34,11.37,10.19,11.28,234613065,2551437642
2021/5/18,9.9,10.68,9.5,10.38,192000804,1954725553
2021/5/17,9.82,10.09,9.77,9.89,103560216,1024683060
2021/5/14,9.63,10.11,9.61,9.76,127675695,1258634203
2021/5/13,9.5,10.26,9.45,9.62,125335229,1235449481
2021/5/12,9.7,9.8,9.5,9.69,116503731,1121387356
2021/5/11,9.57,10.43,9.35,9.95,234558793,2328281748
2021/5/10,8.74,9.56,8.52,9.55,177795717,1623270846
2021/5/7,8.7,9.07,8.4,8.82,131812223,1146703874
2021/5/6,8.58,8.94,8.5,8.79,127112422,1111651158
2021/4/30,8.61,8.63,8.36,8.47,87402257,738217271.6
2021/4/29,8.62,8.85,8.51,8.69,87059532,757561824
2021/4/28,8.69,8.87,8.57,8.62,70916345,616495275.2
2021/4/27,8.91,8.91,8.51,8.68,94182081,814638355
2021/4/26,8.91,9.11,8.8,8.91,79180007,709476648.6
2021/4/23,9.29,9.43,8.9,9.04,102125350,926005724
2021/4/22,9.13,9.29,9.08,9.12,70384357,644423011.6
2021/4/21,9.45,9.45,9.1,9.15,124337325,1146818624
2021/4/20,9.4,9.84,9.26,9.68,144696954,1387853668
2021/4/19,9.45,9.73,9.44,9.47,113366812,1084005863
2021/4/16,9.4,9.57,9.27,9.39,89708373,842573857.1
2021/4/15,9.95,10.02,9.26,9.4,127044721,1208040847
2021/4/14,9.65,9.95,9.4,9.82,129225885,1256684835
2021/4/13,10.4,10.48,10,10.01,210279920,2137003033
2021/4/12,10.3,11.39,10.2,11.11,273424567,2990815052
2021/4/9,10.05,10.8,9.88,10.44,191795809,1993106904
2021/4/8,10.87,10.87,9.98,10.14,213316046,2186417698
