交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,10.13,10.18,10.05,10.07,1464450,14781425.12
2021/7/20,10.09,10.18,10.08,10.11,899100,9095335.8
2021/7/19,10.17,10.23,10.06,10.09,1231022,12479617.84
2021/7/16,10.34,10.34,10.13,10.2,1676780,17094054.6
2021/7/15,10.58,10.58,10.23,10.3,1530125,15805178.82
2021/7/14,10.43,10.6,10.43,10.52,2019303,21219571.73
2021/7/13,10.5,10.5,10.35,10.41,1091260,11367085.8
2021/7/12,10.67,10.67,10.41,10.49,1142285,11970159.39
2021/7/9,11.01,11.17,10.25,10.47,3407009,36171226.39
2021/7/8,11.27,11.27,11,11,995900,11053327.6
2021/7/7,11.25,11.33,11.16,11.17,1271240,14268653.21
2021/7/6,11.34,11.37,11.2,11.26,879800,9897793
2021/7/5,11.2,11.38,11.06,11.34,2080760,23313000.72
2021/7/2,11.12,11.18,11.06,11.15,1097700,12213736.6
2021/7/1,11.17,11.26,11.06,11.1,978986,10907999.4
2021/6/30,11.14,11.24,11.05,11.15,1238660,13815688.98
2021/6/29,11.28,11.3,11.12,11.17,1558480,17422617.72
2021/6/28,11.3,11.39,11.16,11.28,1328300,15004881
2021/6/25,11.3,11.44,11.26,11.31,1699000,19288006
2021/6/24,11.6,11.6,11.31,11.33,1871560,21344977.8
2021/6/23,11.5,11.77,11.4,11.56,3045728,35236221.41
2021/6/22,11.29,11.48,11.18,11.4,2327897,26390688.1
2021/6/21,11.44,11.47,11.27,11.33,1306120,14810357.45
2021/6/18,11.3,11.39,11.23,11.38,1549880,17565838.85
2021/6/17,11.12,11.37,11.1,11.28,1901483,21396218.95
2021/6/16,11.19,11.21,11.05,11.12,860258,9567651.22
2021/6/15,11.22,11.29,11.11,11.16,1292754,14485479.84
2021/6/11,11.4,11.49,11.02,11.1,3544283,39791040.18
2021/6/10,11.52,11.63,11.42,11.42,2316113,26576211.97
2021/6/9,11.6,11.66,11.44,11.52,1716800,19787599.01
2021/6/8,11.7,11.76,11.37,11.62,3162929,36713054.35
2021/6/7,11.66,11.95,11.57,11.73,3676129,43167763.28
2021/6/4,11.82,12.4,11.59,11.77,7382280,87725125.01
2021/6/3,13.39,13.4,12.17,12.18,13213509,169762578.4
2021/6/2,11.96,12.28,11.81,12.18,4909140,59605842.4
