交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,13.87,14.33,13.87,14.29,429301,6087045.24
2021/7/20,14.06,14.5,13.5,13.87,135400,1873720
2021/7/19,14.01,14.07,13.81,13.9,208100,2894415
2021/7/16,14.22,14.54,14.06,14.1,191500,2720095
2021/7/15,14.29,14.36,14.1,14.22,334800,4752777
2021/7/14,14.41,14.41,14.2,14.29,223824,3193004.75
2021/7/13,14.61,14.81,14.26,14.28,576800,8300376
2021/7/12,14.7,14.92,14.2,14.84,1034810,15139242.78
2021/7/9,14.39,14.6,13.32,14.06,601110,8499083
2021/7/8,14.88,14.88,14.5,14.55,399324,5848132
2021/7/7,14.86,15.02,14.73,14.82,177500,2630810
2021/7/6,14.78,14.9,14.7,14.87,202600,2992660
2021/7/5,15,15,14.6,14.9,288200,4252012
2021/7/2,14.97,14.98,14.61,14.83,236600,3502204
2021/7/1,15.14,15.14,14.9,14.93,118000,1767970
2021/6/30,14.98,15.16,14.85,14.99,215100,3218655
2021/6/29,15.24,15.24,14.72,14.91,368713,5498174.44
2021/6/28,15.18,15.18,15.09,15.15,220009,3326456.81
2021/6/25,15.33,15.33,15.12,15.17,301801,4574598.12
2021/6/24,15.15,15.28,15.1,15.27,461981,7009380.6
2021/6/23,15.3,15.3,15.15,15.17,229000,3480850
2021/6/22,15.3,15.32,15.16,15.2,339600,5164712.11
2021/6/21,15.36,15.39,15.16,15.3,294800,4494244
2021/6/18,15.3,15.39,15.21,15.37,289600,4439033
2021/6/17,15.28,15.39,15.17,15.3,344973,5254088.95
2021/6/16,16,16.3,15.2,15.45,579832,8994657.86
2021/6/15,15.34,15.62,15.26,15.52,323710,5022948.8
2021/6/11,15.59,15.59,15.38,15.41,163000,2518853
2021/6/10,15.3,15.55,15.27,15.49,281300,4353854
2021/6/9,15.31,15.42,15.28,15.31,200488,3074648.28
2021/6/8,15.27,15.56,15.23,15.31,192400,2943450.9
