交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,4.66,4.69,4.62,4.63,6755677,31391925.04
2021/7/20,4.68,4.7,4.64,4.67,6831466,31850761.9
2021/7/19,4.76,4.77,4.68,4.7,6900100,32492242
2021/7/16,4.79,4.84,4.76,4.77,6678286,31916920.36
2021/7/15,4.79,4.81,4.75,4.78,5551735,26541503.3
2021/7/14,4.87,4.88,4.77,4.8,8720645,41926515.45
2021/7/13,4.82,4.88,4.8,4.86,7564886,36629541.05
2021/7/12,4.84,4.89,4.81,4.83,8281166,40170226.12
2021/7/9,4.76,4.8,4.73,4.8,5457562,26043785.78
2021/7/8,4.86,4.86,4.76,4.77,8908831,42684720.98
2021/7/7,4.89,4.9,4.82,4.86,7684660,37287245.8
2021/7/6,4.91,4.92,4.85,4.88,8544955,41695818.65
2021/7/5,4.91,4.94,4.87,4.9,5121894,25120599.16
2021/7/2,4.99,5.01,4.9,4.93,6618096,32643773.07
2021/7/1,5.02,5.04,4.98,5,5252441,26317006.49
2021/6/30,5.05,5.05,4.99,5.01,4557934,22838203.66
2021/6/29,5.01,5.07,5,5.04,5662467,28536534.81
2021/6/28,5.01,5.07,5,5.02,5538777,27865469.73
2021/6/25,5.04,5.04,5,5.02,6392651,32056660.51
2021/6/24,5.04,5.05,5,5.03,4537644,22819805.13
2021/6/23,5.08,5.09,5.01,5.04,7119100,35840235
2021/6/22,5.24,5.29,5.21,5.25,7834214,41155282.78
2021/6/21,5.2,5.26,5.2,5.24,4955743,25936755.56
2021/6/18,5.19,5.26,5.17,5.24,6787576,35480737.5
2021/6/17,5.16,5.21,5.15,5.18,5404897,28003471.46
2021/6/16,5.16,5.18,5.13,5.15,3752722,19328740.17
2021/6/15,5.17,5.19,5.12,5.15,5154830,26582545.84
2021/6/11,5.2,5.21,5.15,5.17,6380916,32976668.56
2021/6/10,5.2,5.22,5.19,5.2,5396337,28075508.53
2021/6/9,5.21,5.23,5.19,5.22,4310610,22450253
2021/6/8,5.26,5.26,5.19,5.19,6057200,31585058
2021/6/7,5.28,5.29,5.22,5.22,5716240,29941166.42
2021/6/4,5.28,5.31,5.24,5.25,8810159,46349888.12
2021/6/3,5.25,5.35,5.23,5.3,11861742,62738727.16
2021/6/2,5.29,5.29,5.22,5.24,5809343,30539090.16
2021/6/1,5.28,5.29,5.23,5.28,5966462,31401554.72
2021/5/31,5.31,5.31,5.25,5.26,5744741,30262067.66
2021/5/28,5.31,5.33,5.27,5.29,7819412,41445227.65
2021/5/27,5.3,5.33,5.28,5.31,6421780,34106563.62
2021/5/26,5.25,5.33,5.24,5.3,8393041,44441671.63
2021/5/25,5.23,5.27,5.19,5.26,7617867,39853098.73
