交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,18.26,18.44,18.05,18.17,994732,18063201.33
2021/7/20,18.17,18.36,18.14,18.24,633489,11524723.58
2021/7/19,18.53,18.53,18.24,18.33,657340,12056515.4
2021/7/16,18.49,18.5,18.26,18.29,682784,12536118.12
2021/7/15,18.37,18.63,18.2,18.37,897561,16446803.1
2021/7/14,18.66,18.88,18.36,18.37,1104420,20445397.59
2021/7/13,18.95,19.02,18.7,18.77,1348045,25415434.86
2021/7/12,19.18,19.38,18.91,18.95,1663167,31633484.26
2021/7/9,18.19,19.5,18.15,19.29,2959146,55735667.16
2021/7/8,18.33,18.6,18.05,18.19,1290034,23551807.78
2021/7/7,18.49,18.55,18.34,18.38,786100,14484528.29
2021/7/6,18.58,18.8,18.4,18.5,712112,13192968.4
2021/7/5,18.45,18.9,18.3,18.58,1494017,27688495.06
2021/7/2,18.95,18.98,18.34,18.43,1492996,27695868.04
2021/7/1,19.11,19.24,18.81,18.95,934910,17793447.68
2021/6/30,18.8,19.1,18.8,19.03,611204,11582807.1
2021/6/29,19.13,19.13,18.84,18.88,755125,14313984
2021/6/28,19.09,19.37,18.96,19.04,798608,15231378.05
2021/6/25,19.46,19.46,18.7,19.1,1737547,32992212.45
2021/6/24,19.9,19.9,19.16,19.19,1505592,29276361.1
2021/6/23,19.73,19.94,19.7,19.89,1214710,24047936.8
2021/6/22,19.79,19.99,19.74,19.84,1246964,24737868.5
2021/6/21,20.08,20.1,19.79,19.79,1529141,30438646.69
2021/6/18,20.2,20.43,20.08,20.1,1074118,21657897.35
2021/6/17,20.3,20.47,20.1,20.28,892196,18068384.3
2021/6/16,20.49,20.8,20.14,20.34,1534627,31487287.84
2021/6/15,20.04,20.55,19.72,20.5,2080194,41887559.91
2021/6/11,20.19,20.37,19.73,20.15,1806500,36255301.44
2021/6/10,19.92,20.09,19.82,20,1001153,19963565.16
2021/6/9,20.06,20.26,19.9,19.92,1058937,21167815.54
2021/6/8,19.81,20.98,19.75,20.25,2633853,53637178.02
2021/6/7,19.83,20.03,19.67,19.77,1263567,25066917.84
2021/6/4,19.95,20.09,19.8,19.83,891801,17767228.59
