交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,12.22,12.25,11.93,12.03,3573831,43019952.38
2021/7/20,11.78,12.15,11.72,12.12,3730740,44519877
2021/7/19,12,12.05,11.7,11.85,3651044,43246151.86
2021/7/16,12.21,12.29,12.04,12.05,5238597,63533764.91
2021/7/15,12.1,12.36,11.96,12.24,7418534,90855081.9
2021/7/14,11.87,12.3,11.87,12.05,5597580,67920521
2021/7/13,12,12.31,11.99,12.04,9310980,113117847.4
2021/7/12,11.83,11.84,11.63,11.67,3874733,45367728.1
2021/7/9,11.57,11.82,11.36,11.76,4759838,55138296.37
2021/7/8,11.95,11.96,11.52,11.54,8237442,96078718.1
2021/7/7,12.18,12.25,11.9,11.96,4503857,53922875.15
2021/7/6,11.99,12.17,11.96,12.17,3176201,38324409
2021/7/5,11.95,12.02,11.87,11.96,2137087,25535390.78
2021/7/2,12.12,12.12,11.86,11.94,3813121,45630691.98
2021/7/1,12.08,12.35,12.08,12.12,3527936,42994634.99
2021/6/30,12.3,12.42,12.1,12.16,3747900,45668120.96
2021/6/29,12.25,12.65,12.16,12.3,4806505,59394999.49
2021/6/28,12.33,12.39,12.21,12.26,3174330,38960313.55
2021/6/25,12.1,12.46,12.06,12.33,5661016,69459568.85
2021/6/24,12.23,12.23,12.05,12.1,4148800,50258884
2021/6/23,12.28,12.28,12.15,12.23,4531716,55302541.52
2021/6/22,12.18,12.32,12.16,12.26,4424109,54110857.98
2021/6/21,12.4,12.43,12.16,12.18,6111508,74945358.96
2021/6/18,12.55,12.55,12.34,12.49,4473896,55589838.11
2021/6/17,12.46,12.56,12.25,12.51,7503452,93018638.87
2021/6/16,12.75,12.89,12.44,12.46,6898400,87320216.8
2021/6/15,13.2,13.2,12.79,12.82,9285959,119663839.6
2021/6/11,13.39,13.65,13.21,13.3,12436921,167494741.5
2021/6/10,12.98,13.5,12.98,13.4,12482946,165991712.5
2021/6/9,12.92,13.09,12.69,13.04,7487077,96640619.77
2021/6/8,12.78,13.05,12.73,12.93,8129231,104588059.9
2021/6/7,13.12,13.15,12.7,12.78,9952621,127801589.9
2021/6/4,13.3,13.76,13.11,13.17,19069726,254712989.9
2021/6/3,12.46,13.5,12.44,13.18,17108338,223706596.3
2021/6/2,12.86,12.9,12.42,12.52,9161592,115647098.8
2021/6/1,12.91,12.98,12.66,12.97,7232230,92935863.58
2021/5/31,12.93,13.08,12.71,12.85,7916917,101841968.5
2021/5/28,12.99,13.22,12.85,12.97,11032507,143388832.8
2021/5/27,12.68,13.3,12.55,13.14,18713424,243870561.7
2021/5/26,12.19,12.73,12.15,12.72,12051554,150825037.3
2021/5/25,12.03,12.25,11.91,12.2,6065371,73422364.41
2021/5/24,11.9,12.23,11.8,12.08,5586716,67254233.08
2021/5/21,11.9,12.05,11.86,11.93,4594724,54927586.92
2021/5/20,12.3,12.38,11.87,11.91,7822249,93954874.56
2021/5/19,12.53,12.55,12.32,12.36,5849808,72557429.88
2021/5/18,12.39,12.68,12.2,12.59,7416375,92350816.75
2021/5/17,12.52,12.64,12.33,12.43,8964334,111697192.7
2021/5/14,12.3,12.8,12.2,12.66,13104273,164935716.3
2021/5/13,11.9,12.9,11.81,12.44,13966043,173414951
2021/5/12,11.86,12.06,11.8,12.03,5360556,63914114.63
2021/5/11,11.83,12.19,11.52,12.05,8192070,97282072.36
2021/5/10,12,12.09,11.75,11.88,6594633,78405002.45
2021/5/7,12.13,12.26,12.02,12.14,8796771,106499752.8
2021/5/6,11.82,12.87,11.82,12.38,11748600,145382701.4
2021/4/30,12.61,12.61,11.68,11.7,13694262,164030941
2021/4/29,12.86,13.1,12.71,12.9,6081612,78560048.94
2021/4/28,12.77,12.94,12.6,12.87,5816437,74314020.56
2021/4/27,13.1,13.23,12.6,12.79,7339991,93494214.9
2021/4/26,13.15,13.63,13.05,13.09,9774301,129869589.2
2021/4/23,13.55,13.55,13.03,13.05,11180177,147656006.9
2021/4/22,13.33,13.85,13.33,13.59,16029998,218602606.4
2021/4/21,13,14,12.83,13.42,16279086,219685024.2
2021/4/20,12.92,13.29,12.83,13.03,8772504,115280281.1
2021/4/19,12.95,13.13,12.92,13.02,8044032,104721466.6
2021/4/16,12.97,13.24,12.83,13.17,9132484,119300185.4
2021/4/15,12.77,13.06,12.55,12.99,8894584,114223615.4
2021/4/14,12.35,13,12.32,12.84,9642995,122927286.6
2021/4/13,12.6,12.7,12.32,12.4,7145079,89219869.05
2021/4/12,13.15,13.16,12.51,12.65,12369315,157748711.3
2021/4/9,13.23,13.49,13.13,13.15,8409800,111342533.2
2021/4/8,13.8,13.81,13.33,13.36,15579877,209535600
2021/4/7,13.18,14.28,13.11,13.96,25191511,349656973.6
2021/4/6,13.14,13.4,12.88,13.23,9456781,124610861.7
2021/4/2,13.2,13.41,13.1,13.23,9525683,126216696.4
2021/4/1,13.38,13.67,13.11,13.18,12555464,167777804.4
2021/3/31,13.72,13.8,13.25,13.47,11693615,157303497.4
2021/3/30,14.15,14.35,13.45,13.72,16795003,232493085.8
2021/3/29,13.6,14.35,13.35,14.29,20406162,281256672.7
2021/3/26,13.22,13.98,13,13.7,19190087,260125270.6
2021/3/25,13.09,13.96,13.02,13.52,21748888,293931031.4
2021/3/24,13.63,13.88,13.03,13.18,24117566,322672394.2
2021/3/23,15.24,15.45,13.97,13.97,34223867,493219955.3
2021/3/22,15.02,15.66,14.6,15.52,29272614,447133031.6
2021/3/19,15.2,15.92,14.93,15.05,36841824,567289012.3
2021/3/18,16.5,17,15.31,16.25,58843631,949643934.6
2021/3/17,14.88,15.57,14.8,15.57,22815623,350897124.3
2021/3/16,13.47,14.15,13.11,14.15,49106173,675446433.8
2021/3/15,12.28,12.86,12.27,12.86,8330046,106029878.4
2021/3/12,11.5,11.78,11.34,11.69,9896813,114637340.5
2021/3/11,11.18,11.74,11.02,11.55,10252198,118081054
2021/3/10,11.7,11.8,11.11,11.25,10806186,122966879.5
2021/3/9,11.36,11.88,10.86,11.73,16253329,186502197.7
2021/3/8,11.21,11.81,11.21,11.33,10537318,121224791.4
2021/3/5,11.1,11.3,11.07,11.21,5926900,66432243
2021/3/4,11.37,11.52,11.18,11.21,6586799,74473863.86
2021/3/3,11.13,11.65,11.07,11.47,9700815,110646987.6
2021/3/2,11.45,11.74,11.11,11.18,10412000,118416981
2021/3/1,11.02,11.58,11,11.46,10171906,114911564.6
2021/2/26,11.79,11.8,11.1,11.13,15951272,181106959.1
2021/2/25,11.34,12.38,11.19,12.1,24060518,287574255
2021/2/24,11,11.52,10.98,11.33,10473134,118704941.7
2021/2/23,11.32,11.56,11,11,7954343,88820521.4
2021/2/22,10.95,11.76,10.94,11.4,13082194,149391514.3
2021/2/19,10.5,10.91,10.39,10.88,6648624,71338503.16
2021/2/18,10.2,10.63,10.2,10.46,6302500,65846083
2021/2/10,9.93,10.21,9.87,10.06,3748375,37681177.22
2021/2/9,9.76,10,9.62,9.93,4747231,46499094.62
2021/2/8,9.97,10.07,9.8,9.8,3624800,35938880.59
2021/2/5,9.9,10.26,9.86,10,4251146,42821907.08
2021/2/4,10.38,10.38,9.8,9.88,5067610,50627509
2021/2/3,10.6,10.64,10.26,10.33,3723552,38710575.2
2021/2/2,10.5,10.69,10.43,10.64,3334042,35275145.16
2021/2/1,10.15,10.74,10.09,10.56,6529001,68158772.78
2021/1/29,10.88,11.03,10.11,10.22,8258633,86613208.91
2021/1/28,10.78,11.05,10.75,10.85,5068851,55240133.86
2021/1/27,10.66,11.2,10.58,10.9,6445586,70158383.92
2021/1/26,10.75,10.96,10.66,10.74,3751277,40566290.74
2021/1/25,10.77,10.94,10.7,10.75,5553329,59810891.17
2021/1/22,11.39,11.39,10.95,10.97,8260685,91504345.15
2021/1/21,11.56,11.56,11.33,11.42,8493882,97047228.07
2021/1/20,12,12.01,11.43,11.59,14973090,174262718.8
2021/1/19,11.49,12.41,11.31,12.15,21327282,254705912
2021/1/18,11,11.78,11,11.53,10057778,115437889.6
2021/1/15,11.18,11.42,11.01,11.23,8684220,97665382.93
2021/1/14,10.68,11.59,10.61,11.26,12495481,138855683.3
2021/1/13,10.86,10.97,10.58,10.73,5702539,61371081.63
2021/1/12,10.94,11.11,10.75,10.91,5607408,61143019.05
2021/1/11,11.2,11.35,10.92,11.06,6198500,68701608.54
2021/1/8,10.91,11.58,10.57,11.31,9798260,109130187
