交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,17.25,17.36,17.08,17.2,15909275,274072279.4
2021/7/20,16.9,17.22,16.86,17.19,11258205,192486319.6
2021/7/19,17.1,17.18,16.89,17.04,14050588,238758732.8
2021/7/16,17.22,17.4,17.13,17.17,14320359,246729128.6
2021/7/15,17.36,17.47,16.96,17.25,19789988,339549857.2
2021/7/14,17.8,17.9,17.33,17.35,28185092,493569972.6
2021/7/13,18.23,18.41,17.83,17.93,28663827,518142708.2
2021/7/12,17.91,18.31,17.84,18.27,27382502,496701906.5
2021/7/9,18.11,18.13,17.62,17.87,23727550,422992211.4
2021/7/8,17.97,18.44,17.89,18.25,26245094,477654457.1
2021/7/7,18.09,18.1,17.65,18.04,27023697,482473918.6
2021/7/6,18.64,18.64,18.08,18.25,27037742,495470175.7
2021/7/5,18.34,18.71,18.2,18.7,25527289,472099182.8
2021/7/2,18.65,18.99,18.21,18.33,31862529,589328424.6
2021/7/1,19.09,19.48,18.78,18.83,41295123,788069570.6
2021/6/30,18.6,19.39,18.5,19.14,52539403,1001314710
2021/6/29,18.72,18.84,18.39,18.52,37039797,688135921.4
2021/6/28,18.2,19.28,18.18,19.1,56461956,1056127583
2021/6/25,18.01,18.47,17.92,18.19,27031300,492858652.7
2021/6/24,18.54,18.54,17.9,18.01,27570165,500682640.9
2021/6/23,17.83,18.73,17.74,18.55,42777562,784403142.8
2021/6/22,18.05,18.09,17.69,17.8,16875380,300298601.1
2021/6/21,18.18,18.19,17.8,17.97,22881009,410430420.4
2021/6/18,18.31,18.55,18.1,18.18,23897590,436525451.7
2021/6/17,17.28,18.35,17.27,18.3,35324162,635021161.3
2021/6/16,18,18.1,17.3,17.32,18242517,322664939
2021/6/15,18.09,18.23,17.78,17.91,21550728,388489682.9
2021/6/11,18.54,18.55,17.85,18.1,30681205,553713945.9
2021/6/10,17.77,18.5,17.68,18.35,36912336,670518886.6
2021/6/9,17.84,18.07,17.78,17.92,14863853,266283032.7
2021/6/8,17.89,18.08,17.62,18,23409259,418835053.1
2021/6/7,17.62,18.03,17.62,17.88,25388559,453507123
2021/6/4,17.34,17.66,17.22,17.41,13584101,236439723.7
2021/6/3,17.38,17.81,17.1,17.36,16782527,294003698.8
2021/6/2,17.9,17.95,17.25,17.3,22485065,393314789.2
2021/6/1,17.95,18.14,17.65,17.79,20848792,371879668.7
2021/5/31,18.08,18.29,17.75,17.95,19725533,354323579.7
2021/5/28,18.16,18.38,17.85,18.01,21276471,384369210.3
2021/5/27,17.5,18.41,17.45,18.29,31278931,566262965.6
2021/5/26,17.72,17.87,17.5,17.57,14876368,262393634.5
2021/5/25,17.47,17.91,17.28,17.73,19536225,344122281.6
2021/5/24,17,17.43,17,17.37,13025172,224681805.6
2021/5/21,17.47,17.57,17.09,17.1,12838401,221885750
2021/5/20,17.54,17.72,17.11,17.33,17081580,295978221.6
2021/5/19,17.58,17.95,17.5,17.6,17871685,316500999.9
2021/5/18,17,17.78,17,17.56,21617587,378326856.5
2021/5/17,17.29,17.47,17.05,17.13,13688859,236437482.9
2021/5/14,16.91,17.25,16.83,17.14,14750835,251412553.1
