交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,7.43,7.58,7.38,7.57,8453468,63462693.36
2021/7/20,7.37,7.48,7.3,7.43,5082176,37607668.46
2021/7/19,7.33,7.48,7.26,7.41,6854446,50473296.75
2021/7/16,7.31,7.33,7.24,7.27,2953406,21451653.75
2021/7/15,7.24,7.5,7.15,7.32,4145008,30335842.74
2021/7/14,7.34,7.34,7.22,7.24,3505535,25430815.08
2021/7/13,7.33,7.4,7.27,7.33,3958401,29002847.22
2021/7/12,7.26,7.42,7.23,7.36,7572539,55522056.13
2021/7/9,7.15,7.21,7.02,7.19,5378145,38145430.11
2021/7/8,7.31,7.31,7.15,7.15,4531790,32653088.3
2021/7/7,7.37,7.37,7.26,7.3,3993421,29123546.68
2021/7/6,7.22,7.42,7.21,7.37,5409075,39608175.37
2021/7/5,7.29,7.29,7.18,7.25,2922104,21127085.42
2021/7/2,7.35,7.37,7.2,7.23,4104392,29799196.35
2021/7/1,7.32,7.42,7.24,7.36,4104341,30143797.48
2021/6/30,7.32,7.34,7.21,7.28,4059582,29468535.11
2021/6/29,7.49,7.49,7.28,7.3,4883929,35973839.8
2021/6/28,7.42,7.54,7.41,7.48,4243242,31649710.67
2021/6/25,7.4,7.48,7.35,7.42,4521050,33532182.65
2021/6/24,7.65,7.68,7.37,7.4,8917040,66446351.03
2021/6/23,7.75,7.75,7.53,7.63,8916116,67782120.28
2021/6/22,7.62,7.83,7.6,7.77,8339864,64616186.64
2021/6/21,7.73,7.86,7.56,7.6,9791385,75423668.25
2021/6/18,7.87,7.95,7.71,7.93,6727026,52592441.33
2021/6/17,7.7,7.95,7.68,7.86,6965200,54718965.7
2021/6/16,7.89,8.02,7.71,7.74,7973221,62897710.6
2021/6/15,8,8.02,7.82,7.89,7017618,55445167.61
2021/6/11,8.21,8.21,8.02,8.02,9221220,74441976.3
2021/6/10,8.27,8.28,8.08,8.16,11985114,97464586.17
2021/6/9,8.15,8.34,8.07,8.27,13434410,110231608.3
2021/6/8,8.17,8.24,8.02,8.19,15785670,127947580.5
2021/6/7,7.89,8.38,7.8,8.26,27146436,221965321.8
2021/6/4,7.71,8.09,7.64,7.9,15766020,124152655.7
2021/6/3,7.68,7.97,7.68,7.71,12365640,96378705.45
2021/6/2,7.98,8.06,7.78,7.79,18271213,143871022.7
2021/6/1,7.64,8.25,7.62,8.02,27169383,215483154.8
2021/5/31,7.68,7.72,7.48,7.69,19270020,146551831.1
2021/5/28,7.99,8.2,7.7,7.79,38084350,299181318.5
2021/5/27,8,8.59,7.92,8.27,48756179,407212328.6
2021/5/26,7.34,7.9,7.29,7.85,19721443,150597067.4
2021/5/25,7.32,7.38,7.26,7.34,3786978,27692097.14
2021/5/24,7.37,7.46,7.34,7.34,3954265,29159941.65
2021/5/21,7.43,7.44,7.34,7.37,4887154,36187392.91
2021/5/20,7.25,7.36,7.17,7.34,4901770,35704885.98
2021/5/19,7.36,7.41,7.26,7.29,4643252,33864591.45
2021/5/18,7.45,7.45,7.35,7.41,3756742,27758239.08
2021/5/17,7.4,7.45,7.33,7.37,5876522,43342055.86
2021/5/14,7.39,7.5,7.32,7.46,8887325,65986617.4
2021/5/13,7.48,7.61,7.36,7.41,11072552,82724935.76
2021/5/12,7.36,7.97,7.32,7.57,19929894,151866462.7
2021/5/11,7.23,7.44,7.19,7.41,12964673,95117853.76
2021/5/10,7.19,7.29,7.08,7.23,7076532,50853346.44
2021/5/7,7.18,7.23,7.09,7.2,6471042,46429916.71
2021/5/6,6.96,7.26,6.92,7.15,8577573,60864115.97
2021/4/30,7.01,7.05,6.87,6.89,3926650,27235266.72
2021/4/29,7.03,7.05,7,7.01,2500500,17556853.6
2021/4/28,7.1,7.11,6.96,7.01,3627628,25430958.69
2021/4/27,7.12,7.19,7.02,7.11,3477903,24645419.31
2021/4/26,7.06,7.35,7.06,7.1,6292518,45225821.75
2021/4/23,7.17,7.17,7.02,7.03,3796420,26812401.38
2021/4/22,7.18,7.2,7.08,7.12,3178355,22709457.81
2021/4/21,7.14,7.2,7.09,7.18,4634439,33171844.8
2021/4/20,7.16,7.24,7.11,7.13,4496370,32210498.9
2021/4/19,7.23,7.23,7.12,7.16,4908217,35117664.61
2021/4/16,7.05,7.17,7.03,7.15,3867712,27554887.5
2021/4/15,7.02,7.07,6.96,7.06,3559720,25003771.8
2021/4/14,6.97,7,6.87,6.96,3156030,21917197.4
2021/4/13,7.08,7.1,6.82,6.95,6724713,46699416.26
2021/4/12,7.17,7.25,7.11,7.11,4776870,34265395.3
2021/4/9,7.15,7.26,7.12,7.17,4989801,35801113.06
2021/4/8,7.22,7.68,7.15,7.23,9725159,71336968.87
2021/4/7,7.14,7.24,7.08,7.23,5624937,40296582.9
2021/4/6,7.13,7.17,7.03,7.13,4144690,29534239.48
2021/4/2,7.3,7.34,7.11,7.12,9671644,69406249.62
2021/4/1,7.35,7.45,7.27,7.37,6323329,46340164.66
2021/3/31,7.39,7.52,7.25,7.33,8849452,65131165.66
2021/3/30,7.7,7.71,7.35,7.4,11877326,88320038.22
2021/3/29,7.58,7.81,7.5,7.73,12180312,93410073.46
2021/3/26,7.53,7.7,7.48,7.62,12091385,91888214.53
2021/3/25,7.68,8.02,7.58,7.65,19646525,152765993.8
2021/3/24,7.45,8.01,7.35,7.83,34806216,269186483.3
2021/3/23,7.4,7.88,7.32,7.64,35784648,275973451.6
2021/3/22,7.04,7.2,7.03,7.16,4364834,31173501.03
2021/3/19,7.18,7.24,7.05,7.12,4638187,33139238.88
2021/3/18,7.37,7.39,7.18,7.2,8297454,60261728.62
2021/3/17,7.12,7.71,7.06,7.37,17307574,128743034.2
2021/3/16,7.1,7.15,6.98,7.12,6965630,49293007.75
2021/3/15,6.86,7.14,6.86,7.09,7085304,49729976.56
2021/3/12,6.91,7.09,6.8,6.94,6910068,47880266.76
2021/3/11,6.88,6.98,6.77,6.97,6131752,42335799.83
2021/3/10,7.1,7.1,6.84,6.86,7773895,53786493.23
2021/3/9,7.32,7.37,6.82,7.01,13278037,94309627.71
2021/3/8,7.75,7.75,7.34,7.4,24817112,186429102.3
2021/3/5,6.96,7.76,6.82,7.76,30796216,233886723
2021/3/4,7.02,7.2,7,7.05,9365939,66406701.98
2021/3/3,6.9,7.4,6.9,7.17,14801646,106547338.7
2021/3/2,6.75,6.83,6.64,6.74,4271910,28707939.3
2021/3/1,6.62,6.7,6.57,6.69,2814226,18745260.28
2021/2/26,6.67,6.67,6.56,6.62,3189941,21084607.79
2021/2/25,6.68,6.81,6.63,6.69,4382575,29337287.46
2021/2/24,6.73,6.82,6.62,6.68,4409045,29581037.19
2021/2/23,6.82,6.86,6.63,6.73,6069750,40821776.3
2021/2/22,6.8,7.05,6.8,6.82,9830098,67845876.26
2021/2/19,6.46,6.72,6.4,6.7,6995273,46215516.93
2021/2/18,6.31,6.44,6.3,6.42,4972082,31724736.03
2021/2/10,6.07,6.27,6.07,6.26,3091990,19197246.9
2021/2/9,6.03,6.14,6.02,6.11,2488665,15166693.55
2021/2/8,6.03,6.06,5.95,6.03,2432060,14633424
2021/2/5,5.96,6.22,5.96,6.02,3561805,21658141.98
2021/2/4,6.11,6.18,5.85,5.97,4140820,24859806.74
2021/2/3,6.29,6.3,6.13,6.13,3174530,19669371
2021/2/2,6.27,6.3,6.18,6.29,2667150,16693870.4
2021/2/1,6.23,6.32,6.16,6.27,3800459,23710811.69
2021/1/29,6.35,6.41,6.15,6.26,4363228,27327480.4
2021/1/28,6.5,6.55,6.35,6.35,4131437,26558595.47
2021/1/27,6.64,6.64,6.43,6.5,4584463,29743843.45
2021/1/26,6.72,6.74,6.58,6.61,4335028,28870297.6
2021/1/25,6.88,6.88,6.68,6.73,3723513,25079209.84
2021/1/22,6.95,6.95,6.77,6.81,3717860,25361154
2021/1/21,6.9,7,6.87,6.94,3262122,22612680.63
2021/1/20,6.96,7.06,6.9,6.91,2948199,20435497.79
2021/1/19,7,7.07,6.92,7.02,4130820,28899625.76
2021/1/18,6.85,7.02,6.84,7,3819835,26646823.43
2021/1/15,6.81,6.97,6.79,6.9,3418700,23624352.81
