交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,15.06,15.07,14.84,14.95,3572493,53353286.05
2021/7/20,14.73,15.1,14.64,15.01,4773142,71364835.09
2021/7/19,14.95,14.96,14.67,14.78,3459779,51027537.87
2021/7/16,14.45,15.2,14.42,14.91,5860715,87167820.26
2021/7/15,14.65,14.66,14.4,14.51,1878486,27170355.91
2021/7/14,14.64,14.73,14.55,14.59,1992254,29084568.58
2021/7/13,14.66,14.87,14.63,14.72,2416132,35601014.34
2021/7/12,14.6,14.71,14.5,14.63,2240999,32856552.49
2021/7/9,14.57,14.62,14.36,14.59,2600535,37711705.32
2021/7/8,14.82,14.91,14.62,14.62,2187885,32239876.55
2021/7/7,14.81,14.98,14.74,14.85,1651405,24471121.18
2021/7/6,14.56,15.04,14.56,14.81,2476513,36728502.87
2021/7/5,14.56,14.68,14.51,14.65,1456343,21242874.39
2021/7/2,14.78,14.91,14.5,14.56,2193665,32104044.67
2021/7/1,14.88,14.99,14.74,14.79,2378884,35383223.92
2021/6/30,15.15,15.21,14.85,14.88,2740776,41005975.14
2021/6/29,14.97,15.05,14.84,15.05,2602220,38867929.25
2021/6/28,14.78,15.1,14.77,14.98,2803632,41886785.68
2021/6/25,14.8,14.87,14.58,14.85,2387530,35184731.6
2021/6/24,15.06,15.09,14.81,14.81,2189528,32625009.4
2021/6/23,14.88,15.1,14.87,15.04,2840012,42587417.67
2021/6/22,14.94,15.05,14.81,14.88,2562299,38143777.08
2021/6/21,14.83,15.14,14.77,14.93,2295015,34379284.36
2021/6/18,14.69,14.95,14.47,14.91,3213195,47548025.11
2021/6/17,14.45,14.71,14.45,14.63,1517758,22155725.44
2021/6/16,14.7,14.7,14.39,14.51,1957660,28476840.32
2021/6/15,14.87,14.87,14.55,14.63,2258936,33134688.1
2021/6/11,15.12,15.2,14.83,14.88,3116422,46760719.13
2021/6/10,15.15,15.23,15.05,15.11,3111239,47007663.84
2021/6/9,14.9,15.38,14.9,15.23,4958650,75272177.76
2021/6/8,15.09,15.09,14.87,14.94,2048497,30594150.93
2021/6/7,15.03,15.1,14.83,15.03,2300588,34357720.72
2021/6/4,14.88,15.24,14.8,14.94,3773625,56746171.4
2021/6/3,14.77,15.1,14.75,14.92,3428652,51168427.9
2021/6/2,15.13,15.17,14.8,14.83,3113664,46395305.7
2021/6/1,14.73,15.09,14.67,15.06,5126148,76695605.25
2021/5/31,14.58,14.72,14.54,14.7,1530935,22413461.43
2021/5/28,14.81,14.85,14.58,14.6,2409350,35301676.7
2021/5/27,14.72,14.87,14.69,14.81,2892311,42707513.84
2021/5/26,14.67,14.79,14.65,14.73,2301743,33880637.07
2021/5/25,14.6,14.69,14.5,14.65,2290277,33494888.73
