交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,17.91,18.27,17.9,18.02,11106043,200830561.5
2021/7/20,17.83,18.1,17.69,17.89,9256974,165186810.9
2021/7/19,17.76,18.14,17.21,18.14,15313256,270543178.1
2021/7/16,18,18.22,17.8,17.83,18037973,324194948.5
2021/7/15,19.34,19.48,18,18.02,47392447,865406510.9
2021/7/14,21,21,19.93,20,28748907,581044986.4
2021/7/13,22.04,22.66,20.85,21.09,31104343,669009598.3
2021/7/12,21.77,22.16,21.3,21.99,22818354,497084150.1
2021/7/9,21.84,22.1,21.33,21.55,19596447,425365826.5
2021/7/8,21.62,22.37,21,22.2,30781767,670710999
2021/7/7,21.7,22.01,21.14,21.83,22456072,486594709.9
2021/7/6,22.88,22.88,21.83,22.07,33376735,740212023.6
2021/7/5,22.44,23.08,21.78,23.03,61422129,1378903704
2021/7/2,20.69,22.42,19.81,22.42,54518602,1167188249
2021/7/1,22.37,22.37,20.3,20.38,37713371,795470615.5
2021/6/30,20.76,22.54,20.69,21.85,54490835,1186062035
2021/6/29,19.61,21.57,19.55,20.84,60398501,1267105819
2021/6/28,19.9,19.9,19.37,19.61,19558682,382751040.3
2021/6/25,18.74,20.09,18.74,19.98,29881737,588037709.6
2021/6/24,19.19,19.2,18.8,18.87,10835286,205452331.4
2021/6/23,19.13,19.46,18.74,19.33,14443682,276636214.1
2021/6/22,19.59,19.64,18.93,19.13,12968166,248762649.9
2021/6/21,19.01,19.65,19,19.37,14096561,271762449.4
2021/6/18,19.27,19.73,18.92,19.37,18631118,360394719.8
2021/6/17,18.96,19.47,18.74,19.4,19693767,376929447.8
2021/6/16,19.55,19.57,18.72,18.81,21621780,411773301.5
2021/6/15,19.8,19.88,19.08,19.6,24802976,483595960.7
2021/6/11,19.58,20.25,19.4,20.03,51412330,1021046326
2021/6/10,17.77,19.56,17.72,19.56,40348424,771096295.6
2021/6/9,17.9,18.13,17.66,17.78,9241000,165021081.1
2021/6/8,18.14,18.42,17.88,18.05,13000298,235836199.2
2021/6/7,17.8,18.19,17.73,17.99,10290879,184886399
2021/6/4,17.99,18.25,17.77,17.84,11300193,202408481.5
2021/6/3,17.7,18.99,17.62,18.14,19596238,360939613.3
2021/6/2,18.09,18.14,17.5,17.58,8051032,142615443.3
2021/6/1,18.08,18.18,17.88,18.06,7685500,138554477.5
2021/5/31,18.23,18.34,17.9,18.06,10215298,185077998.1
2021/5/28,17.84,18.13,17.61,18.13,12166568,218008589.7
2021/5/27,17.6,17.94,17.58,17.82,7588191,135428082.5
2021/5/26,17.84,18.14,17.65,17.69,11046517,197032589.7
2021/5/25,17.59,17.89,17.47,17.76,12690402,224387811.5
2021/5/24,16.86,17.64,16.79,17.6,13425845,233558543.5
2021/5/21,16.97,17.09,16.85,16.86,3180682,53836506.18
2021/5/20,17,17.16,16.83,16.92,5078400,86099273.42
2021/5/19,17.05,17.34,16.95,17.1,4938915,84565660.68
2021/5/18,17.16,17.24,17.04,17.14,4023228,68904220.67
2021/5/17,17.4,17.4,17.12,17.15,7703428,133025740.8
2021/5/14,16.87,17.7,16.79,17.5,11150383,192910942.5
2021/5/13,16.88,17.18,16.79,16.87,4900923,83174029.14
2021/5/12,16.6,17.15,16.5,17.02,5611106,95040036.25
2021/5/11,16.47,16.85,16.34,16.74,4952849,81987804.71
2021/5/10,16.65,16.76,16.44,16.55,4189234,69414099.66
2021/5/7,16.4,16.77,16.32,16.59,5992121,99464472.83
2021/5/6,16.9,17.09,16.78,16.9,3835696,64782032.8
2021/4/30,17.15,17.23,16.81,16.9,5056441,85896397.32
2021/4/29,17.29,17.45,17.15,17.27,4082148,70629800.87
2021/4/28,17.39,17.65,17.27,17.42,5502482,95918174.08
2021/4/27,17.2,17.24,16.88,17.13,5724807,97545827.54
2021/4/26,17.4,17.46,17.22,17.25,6178010,107082719.3
2021/4/23,17.97,17.97,17.23,17.34,11159083,194822320.5
2021/4/22,17.75,18.15,17.65,17.99,9142243,163725476.4
2021/4/21,17.61,17.68,17.45,17.54,4870340,85457896.77
2021/4/20,18.03,18.13,17.71,17.75,7304018,130932690.6
2021/4/19,17.84,18.15,17.81,18.15,8147670,146806623.1
2021/4/16,17.32,17.86,17.24,17.77,6510024,114736742.1
2021/4/15,17.49,17.56,17.21,17.39,5510322,95493478.07
2021/4/14,17.61,17.7,16.95,17.56,7725165,134089352
2021/4/13,17.89,18.36,17.54,17.71,10315346,185259922.9
2021/4/12,17.67,18.05,17.47,17.73,7117473,126289507.4
2021/4/9,17.9,17.96,17.65,17.7,6209151,110184418.4
2021/4/8,18.08,18.12,17.8,17.91,6020804,108114082.6
2021/4/7,18.2,18.24,17.95,18.07,7766956,140098647
2021/4/6,18.28,18.5,18.13,18.21,8101893,148305163.2
2021/4/2,18.33,18.6,17.95,18,11543088,210284494.5
2021/4/1,18.9,18.9,18.2,18.28,18786290,346636185.9
2021/3/31,17.1,18.51,17.08,18.51,21933502,395456361.3
2021/3/30,17.2,17.22,16.69,16.83,7932437,133945402.6
2021/3/29,17.29,17.62,17.22,17.23,5023507,87455933.78
2021/3/26,17.2,17.3,17.05,17.25,5044300,86663907.25
2021/3/25,17.32,17.39,17.02,17.2,5321272,91404387.77
2021/3/24,17.1,17.45,17.03,17.32,6350659,109624360.5
2021/3/23,17,17.38,16.96,17.22,6433486,110494161.5
2021/3/22,16.82,17.12,16.75,17.03,4154343,70385602.58
2021/3/19,16.81,17.03,16.68,16.83,4274512,72062111.81
2021/3/18,17.06,17.12,16.89,16.91,4336647,73528590.04
2021/3/17,16.99,17.2,16.75,17.01,5432532,92333993.39
2021/3/16,16.71,16.99,16.62,16.96,6415072,108047286.4
2021/3/15,16.85,16.9,16.53,16.61,5714348,95363496.56
2021/3/12,17.16,17.17,16.66,16.82,6788311,114297464.8
2021/3/11,16.85,17.15,16.69,17,9178865,155205711
2021/3/10,17.74,17.88,16.81,16.88,10886424,186476002.7
2021/3/9,18.46,18.46,17.29,17.62,10601718,189268905.2
2021/3/8,18.86,19.06,18.44,18.48,9918575,185890784.6
2021/3/5,18.49,18.85,18.37,18.72,8037618,150113163.2
2021/3/4,18.4,18.85,18.3,18.62,10664713,198474543
2021/3/3,18.51,18.6,18.28,18.46,7124030,131309404
2021/3/2,18.65,18.76,18.26,18.4,6492359,119452348
2021/3/1,18.01,18.68,17.9,18.49,9049178,166451841.2
2021/2/26,17.61,18.15,17.52,17.73,5762134,102730985.7
2021/2/25,18.37,18.54,17.83,17.97,8016837,144562813.5
2021/2/24,18.24,18.86,18.1,18.39,8991731,166418308
2021/2/23,18.48,18.63,18.05,18.18,7337933,133953436.6
2021/2/22,18.76,19.15,18.52,18.53,12188437,230053593.2
2021/2/19,18.67,18.82,18.2,18.77,10767506,199401649.9
2021/2/18,17.57,18.91,17.57,18.61,15516740,285443570.3
2021/2/10,16.9,17.48,16.74,17.36,9875779,170188653.6
2021/2/9,16.76,17,16.46,16.93,8194361,137484705.5
2021/2/8,16.54,17.08,16.38,16.84,6540834,109671998.3
2021/2/5,16.97,17.45,16.54,16.62,7491913,127354775.6
2021/2/4,17.54,17.6,16.68,17.01,10111322,172238805.6
2021/2/3,18,18.08,17.55,17.6,7102774,126076374.5
2021/2/2,17.83,18.13,17.63,18.05,6889518,123671796.3
