交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,2.17,2.19,2.16,2.17,10662700,23200386
2021/7/20,2.16,2.19,2.16,2.18,8467874,18371936.38
2021/7/19,2.16,2.17,2.15,2.17,9417912,20354937.92
2021/7/16,2.19,2.19,2.17,2.17,8050300,17538302
2021/7/15,2.18,2.18,2.15,2.17,10112469,21902478.73
2021/7/14,2.19,2.2,2.18,2.18,8498154,18565341.72
2021/7/13,2.19,2.2,2.17,2.2,9268558,20254494.3
2021/7/12,2.19,2.22,2.18,2.19,15439080,33877511.4
2021/7/9,2.16,2.19,2.15,2.18,11743581,25468389.15
2021/7/8,2.18,2.19,2.15,2.16,12987048,28139778.68
2021/7/7,2.18,2.19,2.17,2.19,7556535,16502202.3
2021/7/6,2.19,2.19,2.17,2.19,10541320,22984705.29
2021/7/5,2.18,2.2,2.18,2.19,9173152,20035631.36
2021/7/2,2.2,2.2,2.18,2.18,8632731,18881189.58
2021/7/1,2.22,2.22,2.2,2.2,8506500,18751871
2021/6/30,2.23,2.23,2.21,2.22,9762871,21682842.62
2021/6/29,2.2,2.24,2.19,2.23,20298410,45148692.3
2021/6/28,2.21,2.22,2.2,2.2,7324897,16146129.4
2021/6/25,2.21,2.22,2.2,2.21,10934805,24154554.05
2021/6/24,2.21,2.22,2.2,2.21,11227384,24837873.64
2021/6/23,2.21,2.22,2.2,2.21,9149376,20194389.2
2021/6/22,2.2,2.22,2.19,2.22,10700022,23610990.62
2021/6/21,2.19,2.22,2.18,2.19,13920700,30638285
2021/6/18,2.19,2.2,2.18,2.2,11397035,24935266.65
2021/6/17,2.19,2.2,2.18,2.19,8468030,18549435.7
2021/6/16,2.19,2.21,2.18,2.19,11493076,25247044.14
2021/6/15,2.22,2.23,2.18,2.19,20759002,45568001.45
2021/6/11,2.25,2.26,2.21,2.23,29014593,64808676.49
2021/6/10,2.25,2.26,2.24,2.25,13310792,29952652
2021/6/9,2.26,2.27,2.25,2.26,16575957,37354377.6
2021/6/8,2.27,2.28,2.26,2.27,10062362,22789995.12
2021/6/7,2.26,2.28,2.26,2.27,9569200,21706180
2021/6/4,2.29,2.3,2.26,2.27,13093972,29793048.92
2021/6/3,2.28,2.3,2.28,2.29,17907914,41010925.04
2021/6/2,2.27,2.29,2.27,2.28,12680700,28933202
2021/6/1,2.26,2.28,2.25,2.28,15383618,34876868.86
2021/5/31,2.28,2.28,2.26,2.26,11920100,26990004
2021/5/28,2.27,2.29,2.27,2.28,10396979,23704378.33
2021/5/27,2.29,2.29,2.27,2.27,13280821,30249552.67
2021/5/26,2.28,2.3,2.26,2.29,18109483,41364549.94
2021/5/25,2.27,2.28,2.26,2.28,9519340,21631053.79
2021/5/24,2.26,2.28,2.25,2.27,8402428,19030464.28
2021/5/21,2.25,2.27,2.24,2.26,9260808,20892510.48
2021/5/20,2.26,2.27,2.24,2.25,11737916,26412500
2021/5/19,2.27,2.27,2.24,2.26,11416500,25762921
2021/5/18,2.27,2.28,2.26,2.27,6361250,14439981.5
2021/5/17,2.29,2.3,2.26,2.27,11450020,26095508.6
2021/5/14,2.29,2.3,2.28,2.3,13279192,30425064.25
2021/5/13,2.28,2.31,2.27,2.3,16043599,36777231.72
2021/5/12,2.29,2.29,2.27,2.29,9136299,20818593.73
2021/5/11,2.27,2.3,2.25,2.29,12301851,27944507.75
