交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,3.82,3.84,3.8,3.84,3650510,13933953.1
2021/7/20,3.85,3.85,3.81,3.82,3362000,12842344
2021/7/19,3.86,3.88,3.8,3.85,4296619,16437398.41
2021/7/16,3.9,3.91,3.87,3.88,2963818,11514333.84
2021/7/15,3.89,3.9,3.86,3.89,3690110,14329101.9
2021/7/14,3.9,3.91,3.86,3.87,7476792,29059982.76
2021/7/13,3.91,3.91,3.88,3.89,5001401,19469583.89
2021/7/12,3.91,3.94,3.9,3.91,4518702,17680582.8
2021/7/9,3.89,3.92,3.88,3.91,3259700,12710013
2021/7/8,3.93,3.93,3.89,3.89,3070800,11992886
2021/7/7,3.92,3.94,3.9,3.92,2627955,10284103.05
2021/7/6,3.93,3.95,3.91,3.92,3133000,12288940
2021/7/5,3.93,3.95,3.9,3.93,3039500,11922065
2021/7/2,3.96,3.96,3.9,3.91,3745900,14687290
2021/7/1,4.03,4.04,3.95,3.96,4663500,18504519
2021/6/30,4.1,4.1,3.99,4,5232700,21051872
2021/6/29,3.95,4.06,3.93,4.05,9925411,39764476.28
2021/6/28,3.94,3.96,3.93,3.94,3643720,14359763.61
2021/6/25,3.94,3.95,3.89,3.93,3329800,13056492.99
2021/6/24,3.93,3.96,3.93,3.94,3312800,13053447
2021/6/23,3.95,3.96,3.92,3.93,3994814,15730374.88
2021/6/22,3.95,3.97,3.92,3.97,4278237,16882428.65
2021/6/21,3.95,4,3.93,3.93,3414800,13522818
2021/6/18,3.92,3.97,3.89,3.96,3388313,13332189.96
2021/6/17,3.9,4.01,3.88,3.94,5854500,23190166
2021/6/16,3.89,3.93,3.87,3.9,3380400,13165156
2021/6/15,3.97,3.97,3.87,3.89,5293810,20649511.9
2021/6/11,3.95,4.01,3.94,3.97,4812200,19146677
2021/6/10,3.98,3.99,3.92,3.93,5416800,21368770
2021/6/9,4.01,4.01,3.97,3.97,4930800,19656165
2021/6/8,3.97,4.02,3.96,4.02,5014301,20008184
2021/6/7,3.97,4,3.96,3.99,4276200,17010017
2021/6/4,4.07,4.07,3.96,3.97,8124700,32462089
2021/6/3,4.04,4.12,4.03,4.06,8804900,35811491
2021/6/2,4.01,4.05,4,4.02,4592500,18472845
2021/6/1,4.05,4.05,4,4.03,5660910,22713494.2
2021/5/31,4.02,4.06,4,4.05,4645400,18739303
2021/5/28,4.08,4.11,4.01,4.02,8288800,33543024
2021/5/27,4.09,4.14,4.07,4.08,6486400,26550662
2021/5/26,4.08,4.15,4.06,4.1,7765100,31866016
2021/5/25,4.12,4.14,4.06,4.1,8017600,32783753
2021/5/24,4.13,4.2,4.09,4.13,11638055,48343181.25
2021/5/21,4.02,4.33,4.01,4.12,14562456,60480663.98
2021/5/20,4,4.1,3.97,4.03,7521440,30319636.2
