交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/7/21,13.74,13.89,13.5,13.54,3468007,47250339.5
2021/7/20,13.59,13.8,13.48,13.74,2949061,40197483.65
2021/7/19,14.07,14.14,13.59,13.83,3301164,45611931.52
2021/7/16,14.54,14.54,14.06,14.07,4021324,57007869.84
2021/7/15,14.37,14.5,14,14.42,4688180,66753056.79
2021/7/14,14.22,14.57,14.17,14.26,4141406,59408834.33
2021/7/13,14.63,14.69,14.13,14.28,7529134,107758401.1
2021/7/12,14.47,14.74,14.4,14.61,5457390,79726279.64
2021/7/9,14.51,14.64,14.34,14.4,5974413,86475383.88
2021/7/8,14.56,15.09,14.45,14.6,8102663,119561959.4
2021/7/7,14.12,14.71,14.05,14.52,7071130,102572250.7
2021/7/6,14.11,14.49,13.98,14.1,6866891,96734767.1
2021/7/5,14,14.11,13.42,14.02,10041078,138911285.7
2021/7/2,13.79,13.8,13.31,13.66,5210181,70598120.87
2021/7/1,13.88,14.08,13.59,13.67,4820601,66804871.19
2021/6/30,13.58,14.13,13.43,13.92,6939237,96036982.69
2021/6/29,13.66,13.75,13.56,13.62,4000616,54579546.28
2021/6/28,13.4,13.75,13.4,13.66,4766780,64902732.06
2021/6/25,13.27,13.52,13.19,13.41,4075414,54552297.46
2021/6/24,13.66,13.66,13.24,13.29,4245527,56637706.43
2021/6/23,13.46,13.72,13.2,13.65,5812832,78630922.19
2021/6/22,13.74,13.77,13.24,13.47,7599386,102530553.6
2021/6/21,13.75,13.85,13.45,13.74,5147280,70052708.95
2021/6/18,14.09,14.09,13.5,13.75,4181948,57896893.04
2021/6/17,14.08,14.22,13.92,14.13,2818896,39660344.95
2021/6/16,14.21,14.37,13.86,13.98,3551480,49830294
2021/6/15,14.76,14.79,14.19,14.22,3827288,54860218.45
2021/6/11,15.1,15.14,14.64,14.81,3902021,57678014.34
2021/6/10,15.44,15.45,14.95,15.06,3608722,54366200.89
2021/6/9,15.23,15.4,14.83,15.27,6964974,105688623.4
2021/6/8,14.49,15.4,14.41,15.34,12297474,186170267.1
2021/6/7,14.19,14.6,13.95,14.46,5711727,81805073.27
2021/6/4,13.91,14.46,13.91,14,7856032,111019544.2
2021/6/3,14.39,14.51,13.95,13.98,6267990,89241002.32
2021/6/2,14.61,15.06,14.11,14.43,11940410,174486220.2
2021/6/1,14.58,14.63,14.21,14.5,7546306,109390782.2
2021/5/31,14.83,14.96,14.42,14.86,8008367,117948000.9
2021/5/28,14.87,15.1,14.72,14.79,5543334,82364207.58
2021/5/27,14.87,15,14.76,14.86,4616137,68595516.66
2021/5/26,15.06,15.22,14.84,14.91,5243899,78697860.5
2021/5/25,14.86,15.1,14.8,14.99,6655072,99612916.28
2021/5/24,14.98,15.45,14.82,15,7975816,120253155.9
2021/5/21,14.98,15.08,14.51,14.73,5470652,80677990.04
2021/5/20,14.88,15.14,14.64,14.87,3907283,58056829.53
2021/5/19,15.46,15.52,14.99,15.02,6522426,98880872.12
2021/5/18,15.49,15.99,15.42,15.49,5943400,93023584
2021/5/17,16,16.36,15.4,15.49,8753001,137763544.8
2021/5/14,16.22,16.42,16.03,16.09,4016071,65101769.54
2021/5/13,16.6,16.85,16,16.28,5139092,84246495.3
2021/5/12,15.67,16.79,15.67,16.74,5945609,97172692.81
2021/5/11,16.19,16.29,15.48,15.8,4653652,73595396.89
2021/5/10,16.36,16.51,16,16.24,4460777,72559013.17
2021/5/7,16.49,16.96,16.3,16.35,7293668,121399764.9
2021/5/6,16.5,16.8,16.14,16.48,5682025,93314115.24
2021/4/30,16.27,16.73,16.14,16.66,5124517,84515829.11
2021/4/29,16.81,16.93,16.35,16.52,5202288,86273259.37
2021/4/28,16.03,16.88,16,16.8,6439551,106942531.3
2021/4/27,16.1,16.23,15.8,15.99,4564750,73049803.92
2021/4/26,16.69,16.69,15.97,16.06,5968878,97248002.16
2021/4/23,16.61,16.76,16.45,16.49,5419098,89816160.59
2021/4/22,16.8,16.83,16.4,16.63,4842695,80549520.44
2021/4/21,16.59,16.77,16.31,16.65,4975455,82334298.25
2021/4/20,16.2,16.83,15.99,16.63,9517235,157541734.7
2021/4/19,16.02,16.25,15.63,16.11,7963300,127862353.5
2021/4/16,15.4,16.2,15.18,16.02,8832909,139814123
2021/4/15,15.35,15.58,15.16,15.45,7883995,121376887.9
2021/4/14,14.32,15.31,14.32,15.27,10849241,162776648.7
