交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2020-07-22,17.8300,17.8300,17.4400,17.5300,14455713,254555521.2800
2020-07-23,17.4000,17.6800,16.8000,17.4900,14400995,248411391.6500
2020-07-24,17.4500,17.6200,16.0000,16.0900,18456879,308396502.6200
2020-07-27,16.1500,16.4000,15.8000,16.2600,10067830,162665359.0300
2020-07-28,16.3500,16.4900,16.1300,16.3400,8386049,136394466.9400
2020-07-29,16.3300,16.8500,16.2000,16.8000,10982313,182689370.6400
2020-07-30,16.9000,17.3500,16.8200,17.0300,14691420,250917699.7700
2020-07-31,17.0000,17.3700,16.7900,17.3000,13929750,239040238.3200
2020-08-03,17.5900,17.7400,17.2300,17.5000,17978928,314413342.7100
2020-08-04,17.5300,17.6900,17.2000,17.2500,16079692,280400659.8800
2020-08-05,17.2000,17.8400,16.7100,17.7900,18115870,313030669.6000
2020-08-06,17.8300,17.9600,17.0400,17.2600,14621530,255007991.6800
2020-08-07,17.2100,17.5100,16.5400,16.7600,11947573,201928898.6000
2020-08-10,16.6600,16.8000,16.3800,16.4400,14226157,234642936.2300
2020-08-11,16.4500,16.6500,16.0700,16.1400,13559542,222084848.3500
2020-08-12,16.0400,16.1200,15.3900,15.7400,12711602,199322630.8200
2020-08-13,15.7500,15.9300,15.6500,15.8300,5931658,93820358.3800
2020-08-14,15.8500,16.1300,15.6600,16.0500,6136029,97781426.6900
2020-08-17,16.1800,16.1900,16.0100,16.1400,8695922,140225973.8600
2020-08-18,16.1500,16.3400,16.1000,16.1800,6810904,110288832.7000
2020-08-19,16.1800,16.2000,15.6500,15.7000,10087148,159159985.7100
2020-08-20,15.5600,15.7700,15.4000,15.6600,4926895,77042108.6900
2020-08-21,15.7100,15.9300,15.6000,15.6700,4835281,75961841.4400
2020-08-24,15.7700,15.9700,15.5000,15.5900,7751286,121092298.4200
2020-08-25,15.6200,15.7400,15.1900,15.2400,9608417,148053805.1700
2020-08-26,15.2400,15.5100,14.9500,14.9700,9248311,140881007.7300
2020-08-27,14.9900,15.0500,14.5000,14.8400,10035616,147406831.6000
2020-08-28,14.7900,15.4200,14.7800,15.3100,9342718,140853493.1400
2020-08-31,15.4200,15.6300,15.3000,15.3000,7355587,113651564.5000
2020-09-01,15.1900,15.3700,14.9500,15.0700,6786402,102283239.5800
2020-09-02,15.1300,15.2200,14.9000,15.0300,5583662,84179885.7800
2020-09-03,15.0400,15.3700,14.9400,15.1500,7213336,109780650.5300
2020-09-04,14.9000,15.0600,14.6600,14.9400,6070031,90244971.8200
2020-09-07,14.8300,14.9500,14.2200,14.2800,11228189,163704354.4200
2020-09-08,14.2900,14.4400,14.0000,14.2100,6641128,94280552.4600
2020-09-09,14.1400,14.1600,13.5400,13.7100,7792695,107685622.0800
2020-09-10,13.9100,13.9700,13.2900,13.3100,5891342,80282203.9300
2020-09-11,13.3100,13.5800,13.2100,13.5600,4605737,61942948.5500
2020-09-14,13.7000,13.7900,13.4800,13.6000,3725064,50795446.2800
2020-09-15,13.7400,13.8200,13.5000,13.7000,3758052,51237225.3400
2020-09-16,13.6800,13.7600,13.4200,13.4600,3496823,47330030.7500
2020-09-17,13.4400,13.7200,13.1500,13.6500,5649674,75781136.7800
2020-09-18,13.5800,13.8300,13.4500,13.8000,4448549,60775795.6700
2020-09-21,13.7900,14.0400,13.7800,13.8300,4581900,63607926.4400
2020-09-22,13.8200,14.1300,13.7100,13.9800,6602913,92459371.4300
2020-09-23,13.9400,14.1400,13.7300,13.9900,4698432,65676764.1200
2020-09-24,13.9100,13.9600,13.6700,13.6700,4124400,56767662.9100
2020-09-25,13.7000,13.9200,13.6900,13.7200,3165472,43696762.5200
2020-09-28,13.7100,13.7900,13.3000,13.3100,3752947,50483241.7800
2020-09-29,13.3500,13.7300,13.1700,13.6200,4481316,60320209.8700
2020-09-30,13.5900,13.7900,13.5700,13.6400,2780022,38011098.3300
2020-10-09,13.8400,14.0300,13.8000,13.9900,4185992,58386824.8400
2020-10-12,14.0300,14.3100,14.0200,14.2600,4824007,68461680.8400
2020-10-13,14.2700,14.4400,14.1100,14.3300,6130112,87732221.8800
2020-10-14,14.3400,14.4600,14.1800,14.2300,4758113,68148744.1200
2020-10-15,14.3400,14.3400,14.0200,14.1300,3443746,48663754.0100
2020-10-16,14.0100,14.2300,13.9800,14.1700,3418460,48269749.6800
2020-10-19,14.2000,14.2800,13.8900,13.9000,3699244,51987612.8800
2020-10-20,13.8300,13.9800,13.7600,13.9400,2920035,40494885.1200
2020-10-21,14.0300,14.3000,13.9400,14.1300,5331087,75326051.9100
2020-10-22,14.1500,14.1600,13.5400,13.6000,6269916,85544158.4200
2020-10-23,13.5900,13.6300,13.1000,13.2100,4766198,63770151.7600
2020-10-26,13.0100,13.2800,12.8900,13.1800,4220585,55199618.7000
2020-10-27,13.1700,13.3000,13.0800,13.2100,2216175,29266294.3900
2020-10-28,13.2200,13.4100,12.9800,13.1700,3459172,45441976.8000
2020-10-29,13.0100,13.4000,13.0100,13.3700,3750257,49827365.0100
2020-10-30,13.2000,13.2000,12.0300,12.1500,14793628,185234698.0800
2020-11-02,12.1200,12.1200,11.6100,11.8000,7680326,90750672.5800
2020-11-03,11.8300,12.1500,11.7300,12.1000,3857782,46215142.4500
2020-11-04,12.1100,12.2000,11.8600,11.9800,4027425,48199610.5500
2020-11-05,12.0500,12.2400,12.0500,12.1300,4358545,52844266.0000
2020-11-06,12.2500,12.2700,11.7500,11.8300,5958000,70707364.8800
2020-11-09,11.8700,12.1600,11.8000,12.1000,6970421,83979510.1600
2020-11-10,12.1500,12.2400,11.8300,11.8600,5168967,61802484.2900
2020-11-11,11.9200,11.9200,11.5200,11.5500,5008728,58442904.8300
2020-11-12,11.6100,11.7500,11.5100,11.5800,3829662,44505092.3400
2020-11-13,11.5500,11.7300,11.4200,11.5200,3635246,41802498.7900
2020-11-16,11.6700,11.7300,11.5300,11.6800,3387785,39494499.2600
2020-11-17,11.6900,11.7100,11.4700,11.5800,3037113,35013799.9700
2020-11-18,11.5700,11.6200,11.4600,11.5000,3478216,40059285.1200
2020-11-19,11.4400,11.5300,11.2800,11.4100,4477919,50991240.3400
2020-11-20,11.4000,11.5400,11.3700,11.5100,4060262,46589900.4800
2020-11-23,11.5200,11.6200,11.4700,11.5600,4694849,54210412.3700
2020-11-24,11.5100,11.6200,11.5100,11.5500,3613540,41724778.5600
2020-11-25,11.6100,11.6100,11.1400,11.1800,7859981,88918842.4700
2020-11-26,11.1800,11.2500,11.0600,11.0900,4195418,46646087.7800
2020-11-27,11.1000,11.1600,10.9000,10.9500,4172723,45871922.0600
2020-11-30,10.9500,11.1300,10.8500,11.0500,4226744,46545680.2800
2020-12-01,11.0600,11.2400,11.0500,11.1500,4465031,49865771.0400
2020-12-02,11.2000,11.2400,11.0800,11.2000,3670126,40941387.1200
2020-12-03,11.2000,11.3800,11.1500,11.3400,5392372,61008555.0000
2020-12-04,11.3500,11.4200,11.2700,11.3500,3651786,41448238.3200
2020-12-07,11.3500,11.3700,11.2000,11.2100,3077148,34676754.0400
2020-12-08,11.2200,11.3900,11.2100,11.3100,3431152,38908860.7800
2020-12-09,11.3100,11.3200,10.9600,10.9700,4669021,51783777.3800
2020-12-10,10.9200,11.1500,10.8100,11.0600,2861948,31628698.8000
2020-12-11,11.0500,11.1100,10.5500,10.6000,5231100,56390625.0000
2020-12-14,10.6000,10.7900,10.4100,10.7200,3056656,32499878.6900
2020-12-15,10.7200,10.9500,10.6600,10.7700,3173243,34300219.5000
2020-12-16,10.7500,10.8300,10.5500,10.5900,3156204,33555094.0400
2020-12-17,10.5800,10.7800,10.5100,10.7500,3720317,39667772.2400
2020-12-18,10.7100,10.7800,10.6000,10.6600,3041003,32497170.8000
