交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2020-07-22,3.7600,4.0000,3.7300,3.8800,34617342,133518886.9700
2020-07-23,3.8100,3.8500,3.7100,3.7900,25704069,97122383.5000
2020-07-24,3.7600,3.7800,3.6500,3.6800,16513278,61235867.6800
2020-07-27,3.6600,3.7000,3.6400,3.6800,6193852,22694101.5700
2020-07-28,3.6800,3.7200,3.6600,3.7000,5235561,19345457.8600
2020-07-29,3.7000,3.7300,3.6700,3.7300,7352356,27266658.2500
2020-07-30,3.7300,3.7500,3.6800,3.6900,10168288,37681880.5200
2020-07-31,3.6900,3.7300,3.6600,3.7200,10221059,37827406.2000
2020-08-03,3.7300,3.7800,3.7100,3.7800,14345113,53750470.8300
2020-08-04,3.7800,3.7900,3.7400,3.7800,11267260,42394321.8400
2020-08-05,3.7800,3.7800,3.7300,3.7500,8570563,32131923.0500
2020-08-06,3.7600,3.7700,3.7200,3.7500,7515076,28093190.4300
2020-08-07,3.7400,3.7400,3.6800,3.7000,8973963,33263438.8700
2020-08-10,3.7000,3.7600,3.6900,3.7300,8830227,32974395.6600
2020-08-11,3.7300,3.7500,3.6700,3.6900,9316426,34635108.8400
2020-08-12,3.6900,3.7100,3.6500,3.7000,8836729,32513773.6900
2020-08-13,3.7000,3.7500,3.6900,3.7300,8311138,30988479.2900
2020-08-14,3.7100,3.7500,3.7000,3.7400,5739853,21389529.6900
2020-08-17,3.7400,3.8100,3.7300,3.7900,16377394,61831185.4700
2020-08-18,3.7800,3.7900,3.7400,3.7600,10878738,40958827.1500
2020-08-19,3.7600,3.8000,3.7300,3.7400,10950982,41218980.5000
2020-08-20,3.7500,3.7600,3.7100,3.7200,8157969,30435683.8800
2020-08-21,3.7300,3.7600,3.7200,3.7400,6814901,25461114.9700
2020-08-24,3.7500,3.7500,3.7000,3.7100,9502394,35290763.2000
2020-08-25,3.7200,3.7300,3.6800,3.6900,8768619,32427829.7300
2020-08-26,3.6900,3.7000,3.6500,3.6600,8135846,29895343.7000
2020-08-27,3.6600,3.6800,3.6500,3.6700,6982888,25577181.8600
2020-08-28,3.6700,3.7000,3.6500,3.7000,5799958,21318538.7700
2020-08-31,3.6900,3.7000,3.6500,3.6500,9303201,34139151.6900
2020-09-01,3.6500,3.6600,3.6300,3.6400,5316126,19347464.3900
2020-09-02,3.6500,3.6500,3.6100,3.6300,5947794,21576786.0500
2020-09-03,3.6300,3.6400,3.6000,3.6000,6368900,23006463.0000
2020-09-04,3.5800,3.5900,3.5600,3.5800,6650313,23764866.4500
2020-09-07,3.5700,3.6000,3.5600,3.5700,6860445,24537834.9100
2020-09-08,3.5700,3.6200,3.5600,3.6200,5516213,19827059.6000
2020-09-09,3.6100,3.6600,3.6000,3.6300,11257399,40881805.6800
2020-09-10,3.6400,3.6600,3.5500,3.5600,10045092,36164373.2000
2020-09-11,3.5600,3.5900,3.5300,3.5800,4764457,16944980.6800
2020-09-14,3.5800,3.5900,3.5600,3.5700,3599066,12870704.6200
2020-09-15,3.5700,3.5800,3.5300,3.5600,5541759,19670408.9000
2020-09-16,3.5600,3.5700,3.5400,3.5600,3458606,12289918.8600
2020-09-17,3.5600,3.5800,3.5300,3.5600,4952654,17603381.9800
2020-09-18,3.5600,3.6200,3.5500,3.6100,7887923,28357406.3500
2020-09-21,3.6100,3.6300,3.5800,3.5900,4025046,14491607.9800
2020-09-22,3.5700,3.6000,3.5500,3.5600,4284085,15272907.3700
2020-09-23,3.5500,3.5600,3.5400,3.5500,3420704,12148930.1300
