交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2020-07-22,3474.8129,3544.8809,3471.2371,3493.6609,39293281300,540358135549.0000
2020-07-23,3465.3128,3496.9764,3414.7081,3485.2455,40668337900,546687252476.0000
2020-07-24,3470.0671,3478.9798,3338.2694,3350.6424,42665383400,584096348176.0000
2020-07-27,3364.9422,3377.0894,3327.4597,3359.5413,29907557600,402077210684.0000
2020-07-28,3381.4893,3401.5566,3362.9491,3383.3696,28917989000,389758573434.0000
2020-07-29,3377.1060,3453.2065,3364.5037,3453.2065,32461543500,452941564207.0000
2020-07-30,3458.4734,3471.9839,3440.1966,3445.0894,34040949800,476810229857.0000
2020-07-31,3438.7691,3494.3776,3418.6309,3469.4268,35348365600,495634957996.0000
2020-08-03,3492.7140,3530.3255,3487.9718,3530.1766,40704765300,572220674391.0000
2020-08-04,3539.0752,3554.4628,3513.9427,3534.1212,44196166100,604756707668.0000
2020-08-05,3525.3395,3546.6489,3494.4269,3540.2560,38550557400,526300776884.0000
2020-08-06,3543.6231,3556.1487,3494.9054,3549.6117,41499829900,570317427566.0000
2020-08-07,3532.9411,3536.6723,3467.0161,3515.5845,40364588000,561270728085.0000
2020-08-10,3502.4451,3563.7798,3495.6578,3542.0655,38116405800,526953085858.0000
2020-08-11,3542.3126,3573.3622,3496.8633,3501.2795,40017552400,513872120706.0000
2020-08-12,3487.8473,3496.4860,3420.4909,3479.2114,37801731300,480555261567.0000
2020-08-13,3488.5484,3498.9950,3468.8918,3480.7022,32409336900,387028510578.0000
2020-08-14,3475.3892,3524.0259,3461.8127,3521.9954,30584102800,367369056653.0000
2020-08-17,3536.4811,3617.2478,3531.7166,3604.5405,43416374400,537236361498.0000
2020-08-18,3607.8295,3623.3269,3598.0564,3617.4158,38044599100,492900722729.0000
2020-08-19,3610.5682,3620.9261,3570.2340,3572.3118,40525069100,498041205618.0000
2020-08-20,3549.0395,3558.0597,3514.2193,3525.8999,33526145600,401678635123.0000
2020-08-21,3543.0446,3557.3792,3519.6702,3543.4731,28721021900,361153607687.0000
2020-08-24,3554.3275,3559.9917,3530.0633,3548.4700,26575463900,345369941913.0000
2020-08-25,3555.9712,3572.7540,3525.8273,3535.7205,27666970400,355780968122.0000
2020-08-26,3533.7602,3545.1924,3479.8185,3489.8794,29379684400,381368323984.0000
2020-08-27,3493.7903,3512.9971,3472.2622,3511.2000,23673348800,316880794637.0000
2020-08-28,3507.1988,3569.7689,3500.2298,3567.5837,27080068500,378990750892.0000
2020-08-31,3580.9679,3608.3707,3558.7763,3558.9839,32296256500,436626864141.0000
2020-09-01,3552.7598,3574.6392,3544.3032,3574.6392,24661012200,326634477705.0000
2020-09-02,3584.9927,3585.9612,3539.5672,3568.4788,26115181800,345428322442.0000
2020-09-03,3567.6614,3590.3178,3536.4416,3547.6875,25491900300,350507548899.0000
2020-09-04,3496.7263,3521.6248,3488.5228,3516.6399,22120733700,307940657981.0000
2020-09-07,3510.9135,3530.0956,3443.3988,3450.7095,26022911700,357507981346.0000
2020-09-08,3459.7698,3484.1427,3433.8560,3475.7867,27051141400,319943629360.0000
2020-09-09,3438.6397,3447.6965,3394.1922,3411.0456,35097764000,340758334683.0000
2020-09-10,3440.0222,3443.3943,3382.7666,3390.3019,31211893100,309515067523.0000
2020-09-11,3380.8221,3419.2890,3375.3028,3417.0182,22148056000,254705695824.0000
2020-09-14,3433.3752,3441.3374,3417.8530,3436.4021,21371089500,269091841200.0000
2020-09-15,3434.6320,3456.2385,3420.5911,3454.1212,19747961500,251664364556.0000
2020-09-16,3451.4861,3461.2214,3428.3066,3441.7666,20018964700,242144160554.0000
2020-09-17,3434.8367,3448.5268,3404.5575,3427.5543,20265415400,279134785014.0000
2020-09-18,3428.0592,3498.7906,3425.5566,3498.5492,25589292200,336833850663.0000
2020-09-21,3509.9056,3511.6637,3472.3027,3476.3486,21623571100,287551910170.0000
2020-09-22,3448.7772,3479.8382,3422.6228,3431.6460,21382585500,269015602512.0000
2020-09-23,3436.4047,3447.8488,3421.7477,3437.2956,16904912100,240674626673.0000
2020-09-24,3419.6369,3422.2464,3375.9888,3378.0220,20654604200,258152398172.0000
2020-09-25,3389.7754,3395.1071,3362.1241,3374.0544,16468785000,220583001117.0000
2020-09-28,3379.8971,3393.7315,3365.1263,3372.1322,15570991100,209547285335.0000
2020-09-29,3387.1648,3398.5923,3374.4845,3379.2184,15119087900,207205293135.0000
2020-09-30,3387.9845,3400.7738,3356.0934,3372.6032,15335430400,205661113894.0000
2020-10-09,3419.3707,3438.1164,3416.7947,3429.2510,18811308700,264008796004.0000
2020-10-12,3445.2662,3520.5657,3443.9814,3519.8422,25924171000,355446317598.0000
2020-10-13,3514.2258,3523.3807,3494.7090,3521.1902,20471906700,288332323191.0000
2020-10-14,3514.7613,3514.7613,3493.1236,3501.3595,19834973700,280891243110.0000
2020-10-15,3503.6180,3515.8554,3490.0659,3492.3370,19084492900,263701798459.0000
2020-10-16,3494.7237,3509.9275,3478.6075,3496.7097,19410863000,253300498940.0000
2020-10-19,3512.1842,3533.1539,3466.7970,3471.8818,21216385100,283765474146.0000
2020-10-20,3466.0900,3488.0337,3452.0482,3488.0337,16493584700,227691553460.0000
2020-10-21,3492.2809,3492.2809,3462.9457,3484.8481,17747750600,246738903075.0000
2020-10-22,3475.1899,3480.4917,3439.0399,3471.6829,16583848200,236337735898.0000
2020-10-23,3467.1258,3485.9165,3434.1306,3435.5731,17400160400,249706186733.0000
2020-10-26,3415.3139,3421.3388,3381.6513,3407.4056,16754856700,235316320419.0000
2020-10-27,3396.5179,3414.9580,3391.0468,3410.7204,14897748000,217379213356.0000
2020-10-28,3412.7259,3433.3284,3394.0101,3426.3633,17302640800,256089093440.0000
2020-10-29,3391.2323,3447.9344,3386.3825,3430.0403,18417082600,276918202441.0000
2020-10-30,3436.2355,3437.5486,3374.1820,3379.5329,22960087700,327256494687.0000
2020-11-02,3383.9321,3398.7077,3364.2327,3380.2107,22620938100,323722958013.0000
2020-11-03,3395.6319,3436.0629,3393.5682,3428.3864,21482876200,302172399220.0000
2020-11-04,3430.8625,3444.7246,3410.5930,3435.0843,18810516600,269429659591.0000
2020-11-05,3464.6175,3480.1177,3449.8962,3479.8121,22627711000,314366019289.0000
2020-11-06,3486.4568,3486.4568,3450.4510,3471.4335,23449529300,323929304809.0000
2020-11-09,3489.5513,3543.3900,3489.5513,3535.9487,30968722700,428242706580.0000
2020-11-10,3550.5004,3550.5004,3507.0451,3521.7032,27831706600,388754677079.0000
2020-11-11,3515.2750,3527.6750,3499.5723,3502.8844,27071094700,354175432763.0000
2020-11-12,3505.2441,3511.3508,3489.5577,3499.2319,21605834800,285582657910.0000
2020-11-13,3487.2045,3487.2045,3449.8718,3469.2321,22761270400,300503006599.0000
2020-11-16,3485.5209,3507.8403,3472.9238,3507.8403,27913764600,332377821696.0000
2020-11-17,3508.0348,3508.6200,3483.7247,3500.4627,28327816000,352299722288.0000
2020-11-18,3497.7672,3520.4124,3494.2787,3508.2370,28717543000,357377574629.0000
2020-11-19,3499.6098,3529.2535,3490.5447,3524.7901,25293354200,318585333553.0000
2020-11-20,3521.1267,3542.6942,3517.6751,3540.1441,26084269700,311114482604.0000
2020-11-23,3546.8414,3596.7081,3540.4256,3578.7105,37338626600,430193689009.0000
2020-11-24,3571.2806,3578.1255,3559.6439,3566.5448,30062345700,358361294737.0000
2020-11-25,3581.9755,3588.2317,3524.1134,3524.1134,32175589600,382464916841.0000
2020-11-26,3521.7277,3533.6897,3505.1869,3531.9138,25552570700,316356026191.0000
2020-11-27,3536.2357,3572.4430,3526.4743,3572.4430,28018024700,325269064082.0000
2020-11-30,3582.7823,3623.2946,3555.2254,3555.2254,38380911100,453217916195.0000
2020-12-01,3552.3237,3624.3866,3550.2062,3618.4074,31551040400,384410057898.0000
2020-12-02,3620.0661,3632.7935,3601.4817,3615.6344,31241070200,382563063695.0000
2020-12-03,3614.7521,3618.5371,3594.0371,3608.0267,29815775500,351664131418.0000
2020-12-04,3602.3509,3614.6046,3581.6939,3610.5867,25601499700,328677832099.0000
2020-12-07,3612.7568,3615.8247,3578.8236,3581.2166,25422277400,336034307914.0000
2020-12-08,3582.3626,3593.8744,3566.9889,3574.5173,22665372500,304007252156.0000
2020-12-09,3580.7109,3587.4873,3534.3862,3534.4351,26050977300,338869401409.0000
2020-12-10,3527.8957,3547.9876,3519.5164,3535.8049,24712384600,321162435944.0000
2020-12-11,3543.9230,3546.1963,3485.3778,3508.4690,29829565000,379286211992.0000
2020-12-14,3510.9426,3533.6238,3499.5031,3531.5134,23956107700,315739712166.0000
2020-12-15,3528.8577,3536.1724,3509.7818,3529.5344,22543701700,314802644088.0000
2020-12-16,3533.7660,3541.5356,3521.0769,3529.2750,22060609800,308243548844.0000
2020-12-17,3529.5784,3570.3293,3515.6642,3568.9588,27517517000,364119037204.0000
2020-12-18,3564.3429,3578.3398,3545.7418,3558.5120,28060426400,353321646455.0000
2020-12-21,3557.9676,3588.6113,3544.0327,3585.3954,28342076800,383297411960.0000
2020-12-22,3575.3156,3580.3532,3515.4352,3518.4981,32270013700,431351301901.0000
2020-12-23,3524.4800,3557.7779,3522.0793,3545.2981,29927509500,412548946122.0000
2020-12-24,3545.1589,3557.6249,3515.6161,3525.1504,27479641100,362673768252.0000
2020-12-25,3513.2669,3560.7035,3509.6498,3560.2363,29423310000,358416027000.0000
2020-12-28,3560.0236,3577.0075,3546.7175,3561.0291,31590117700,397404840463.0000
2020-12-29,3563.1285,3571.2957,3538.7500,3541.8364,31145928200,381498198267.0000
2020-12-30,3537.6064,3578.9827,3536.9830,3578.9815,29075789600,376895429283.0000
2020-12-31,3584.5172,3642.4009,3584.5172,3640.4637,33536056400,449802682857.0000
2021-01-04,3642.1472,3680.8910,3623.7886,3671.7570,38025279000,522590350913.0000
2021-01-05,3660.4446,3698.7561,3652.5976,3698.7561,40748556700,567263691373.0000
2021-01-06,3701.1059,3728.2946,3682.4539,3722.0759,36984296700,521156485827.0000
2021-01-07,3724.2084,3748.6745,3696.6472,3748.6745,40499312100,545143158882.0000
2021-01-08,3750.2378,3761.1314,3715.7747,3742.2304,34517665300,501669595270.0000
2021-01-11,3743.5038,3771.2099,3686.5144,3701.7188,36217297900,526459536728.0000
2021-01-12,3687.5603,3782.3620,3687.0063,3782.3620,32312833700,485240756006.0000
2021-01-13,3787.5492,3797.0633,3747.9670,3772.1627,38777339100,554266590966.0000
2021-01-14,3757.7601,3772.5552,3731.1388,3737.7618,34732230000,510707992602.0000
2021-01-15,3738.1653,3762.2861,3704.0681,3738.2548,32435894300,479760709742.0000
2021-01-18,3726.0980,3782.7491,3715.0501,3769.5856,30137834000,451208207941.0000
2021-01-19,3769.7246,3776.8522,3724.2573,3738.2728,32318894700,467008064966.0000
2021-01-20,3735.8973,3763.0001,3727.8374,3755.8079,27194512300,396564099757.0000
2021-01-21,3764.0277,3811.5883,3758.6441,3795.8640,32717467200,469182237951.0000
2021-01-22,3790.9030,3790.9030,3757.8614,3780.6646,32412544600,484709873874.0000
2021-01-25,3779.2030,3812.5276,3764.1795,3799.0718,32680578100,526532194257.0000
2021-01-26,3785.1430,3785.1430,3736.6551,3741.5713,27776740200,435683933279.0000
2021-01-27,3739.6048,3751.3715,3717.4761,3745.6382,26375906200,395598295998.0000
2021-01-28,3705.0471,3720.6572,3665.4080,3674.1187,27052097000,390954052494.0000
2021-01-29,3691.4834,3701.8378,3612.6251,3650.9488,29339041500,416037953060.0000
2021-02-01,3644.8239,3675.5349,3637.1880,3674.3672,27715633000,370777594466.0000
2021-02-02,3680.2010,3706.1123,3664.1896,3704.1993,26420022800,383580293786.0000
2021-02-03,3701.5509,3715.0324,3677.7842,3687.0081,29696665000,413320535323.0000
2021-02-04,3672.8112,3694.8200,3632.9958,3670.8241,29857266600,418315139174.0000
2021-02-05,3678.8310,3707.2251,3661.4998,3665.0411,28985216700,396901806914.0000
2021-02-08,3673.6895,3713.1439,3660.6169,3702.8884,24955538600,358831349075.0000
2021-02-09,3710.5820,3777.9377,3698.9251,3777.3891,25349218500,371111470554.0000
2021-02-10,3786.9670,3839.6054,3786.8498,3831.5437,25767688200,392236045656.0000
2021-02-18,3900.8111,3911.9239,3840.5225,3852.8011,33999255000,483138732129.0000
2021-02-19,3838.5527,3878.2477,3809.4218,3874.5814,36059659900,484380225787.0000
2021-02-22,3886.1498,3896.6455,3818.1324,3818.1324,48799041800,598538953539.0000
2021-02-23,3792.1576,3849.3207,3792.1576,3811.7854,39849687500,479224216698.0000
2021-02-24,3814.4944,3821.4950,3701.8726,3735.9539,36172465200,483863338201.0000
2021-02-25,3768.9652,3782.5904,3740.5462,3757.9648,36572248000,444152835533.0000
2021-02-26,3684.0038,3721.6438,3669.5195,3678.2736,33283115800,424091884663.0000
2021-03-01,3701.7825,3723.8603,3681.2886,3722.6378,31514936500,402103903406.0000
2021-03-02,3738.8563,3738.8563,3653.3358,3677.7050,33958468200,427347886743.0000
2021-03-03,3668.8741,3750.1003,3667.3457,3749.3427,34733341900,415181741512.0000
2021-03-04,3717.5710,3723.4337,3655.4401,3672.3457,39328152400,461923395385.0000
2021-03-05,3630.1737,3693.4396,3623.2167,3670.7904,35617116800,408613495413.0000
2021-03-08,3694.9244,3713.0945,3586.0816,3586.2903,38670235100,453487513791.0000
2021-03-09,3579.9278,3594.3861,3488.6240,3521.0866,40733290600,455860426493.0000
2021-03-10,3553.1440,3560.6671,3516.3824,3519.4304,29954813600,339330092215.0000
2021-03-11,3532.1984,3602.3834,3532.1984,3602.3834,32188982900,369559593913.0000
2021-03-12,3613.2698,3620.9165,3581.8164,3619.4262,35777276000,381714293284.0000
2021-03-15,3607.6724,3624.0706,3555.8866,3584.6637,36758665200,381398557440.0000
2021-03-16,3589.6111,3615.0329,3570.2121,3612.7697,31643711700,332191319170.0000
2021-03-17,3601.2200,3620.4618,3574.5162,3611.5511,27976607400,306382853127.0000
2021-03-18,3615.8401,3645.7723,3615.5588,3629.9417,28420107300,316370948993.0000
2021-03-19,3588.7952,3605.2385,3552.5341,3568.6769,30885947300,339740721979.0000
2021-03-22,3570.2010,3609.5957,3568.2157,3609.3554,31227660900,332275877231.0000
2021-03-23,3611.3519,3611.4308,3553.3490,3575.8745,32614259300,343243387425.0000
2021-03-24,3557.6378,3579.8457,3524.1162,3529.2287,31719592200,344614875790.0000
2021-03-25,3516.6426,3545.1126,3506.0301,3525.5589,27048898200,290071965742.0000
2021-03-26,3535.7696,3588.1333,3535.7696,3582.9947,27445241900,322199071559.0000
2021-03-29,3594.8633,3616.0434,3574.1316,3600.7726,28462673600,327724583992.0000
2021-03-30,3597.8677,3624.2238,3588.2044,3623.2062,28517877400,331419912071.0000
2021-03-31,3618.5156,3618.5156,3585.6018,3607.7155,28278467800,313930707579.0000
2021-04-01,3610.7568,3637.2294,3604.4755,3633.3340,27508241700,292500474815.0000
2021-04-02,3639.9429,3655.6474,3629.6721,3652.2918,26250712600,317711821774.0000
2021-04-06,3659.8935,3661.6191,3639.0263,3650.7895,23459066200,286111585476.0000
2021-04-07,3651.2638,3651.2638,3619.5454,3647.2667,29555011400,323430902529.0000
2021-04-08,3634.5293,3664.3366,3625.9572,3650.3168,33149427700,347807252995.0000
2021-04-09,3642.8501,3642.8562,3607.8949,3616.8641,27987421600,306169398209.0000
2021-04-12,3611.9174,3622.6230,3567.8173,3577.3172,30937943800,338674483578.0000
2021-04-13,3575.5583,3590.3817,3551.0390,3560.0182,27045264500,290372044887.0000
2021-04-14,3560.6053,3584.7307,3556.3431,3581.2513,23305760100,268871660297.0000
2021-04-15,3573.7822,3573.7822,3535.4678,3562.6317,23382439300,272415108250.0000
2021-04-16,3571.2363,3597.9222,3557.5276,3591.6027,25834748900,295695574432.0000
2021-04-19,3592.5705,3646.5334,3578.7302,3644.9915,30236479300,368163675988.0000
2021-04-20,3634.0729,3662.5569,3630.2041,3640.1647,28499468300,358734744800.0000
2021-04-21,3622.7003,3648.8772,3616.2137,3640.1396,25358449700,323683356750.0000
2021-04-22,3650.5359,3653.1791,3622.6862,3631.9188,25086700900,316810000975.0000
2021-04-23,3628.7401,3650.0451,3622.7066,3641.4691,24911900800,322825409295.0000
2021-04-26,3651.9161,3665.5410,3604.1269,3606.8479,27674458800,387900616520.0000
2021-04-27,3605.7215,3609.6762,3581.7785,3608.3721,25285757400,326861225414.0000
2021-04-28,3597.3994,3623.5172,3588.1244,3623.5172,24710393300,349442939887.0000
2021-04-29,3624.5802,3645.7262,3613.5601,3642.2317,27637668600,371362119280.0000
2021-04-30,3635.2977,3636.1320,3591.8690,3612.8110,31228183000,400999139038.0000
2021-05-06,3611.9853,3638.3918,3591.8289,3606.9748,31003159300,400225166628.0000
2021-05-07,3612.3459,3624.3909,3581.2527,3583.4594,35343197000,410728812725.0000
2021-05-10,3588.3915,3594.8533,3565.6856,3593.0026,37379680800,399423274585.0000
2021-05-11,3570.5548,3614.0960,3547.6019,3607.5308,35062788600,390095409330.0000
2021-05-12,3594.8329,3633.2589,3593.4049,3629.4518,31120762500,343676291507.0000
2021-05-13,3597.3148,3614.0160,3582.9325,3594.6645,31897968700,356075942872.0000
2021-05-14,3601.5462,3658.7621,3587.3566,3658.4770,33661579000,410854250279.0000
2021-05-17,3658.5060,3700.5725,3658.2380,3687.0508,32186260000,424235777968.0000
2021-05-18,3690.2385,3699.0044,3679.9582,3699.0044,27107284900,335851637553.0000
2021-05-19,3690.7022,3690.7022,3672.5776,3680.0751,27813925100,349772742623.0000
2021-05-20,3669.5541,3687.2858,3654.0404,3675.9582,32572375100,390132134641.0000
2021-05-21,3680.0516,3687.9535,3647.3325,3654.5399,28355939500,355839840953.0000
2021-05-24,3654.2399,3666.8615,3637.0251,3665.7814,28924741500,366968478453.0000
2021-05-25,3671.3028,3757.3961,3671.1992,3753.9932,34096889200,471995238720.0000
2021-05-26,3759.7658,3777.2143,3758.2178,3766.5787,34169545900,455640855069.0000
2021-05-27,3758.5749,3801.2224,3751.7835,3782.8716,30913893700,428662207997.0000
2021-05-28,3784.8826,3796.8417,3755.0634,3774.3905,34870467000,452169669702.0000
2021-05-31,3773.6454,3789.9789,3753.2684,3789.7905,33109832300,449413539337.0000
2021-06-01,3782.5651,3800.9002,3754.5684,3799.4661,35245679000,471242012385.0000
2021-06-02,3801.1579,3804.2611,3757.3273,3770.4868,34808073000,454223565058.0000
2021-06-03,3768.6908,3792.8112,3756.8300,3756.8371,35355168000,443087722443.0000
2021-06-04,3737.1693,3793.1642,3733.4215,3764.8994,33038714700,434904770765.0000
2021-06-07,3770.4867,3773.8825,3754.4782,3773.0008,30340118800,431887615770.0000
2021-06-08,3772.1612,3796.0467,3734.8917,3752.5732,30409359100,442797626416.0000
2021-06-09,3749.1287,3772.0975,3744.7643,3764.4020,29798244700,402919356451.0000
2021-06-10,3760.3426,3798.9581,3756.7809,3784.7947,31791203600,441857988159.0000
2021-06-11,3788.2080,3788.5133,3759.9243,3762.6536,36028771800,495107500510.0000
2021-06-15,3760.2571,3766.0167,3718.0187,3727.8612,34894063300,444463492262.0000
2021-06-16,3728.0280,3732.6228,3682.7450,3687.7643,31235652300,410388071999.0000
2021-06-17,3677.2950,3704.4632,3676.3036,3695.4314,27700514000,388520738085.0000
2021-06-18,3690.0710,3705.9444,3671.9015,3694.9082,29637350200,446005150476.0000
2021-06-21,3684.8302,3710.8854,3672.7806,3699.2061,28061170800,426325969212.0000
2021-06-22,3710.3447,3731.7663,3707.2222,3728.8437,30718941400,436853704808.0000
2021-06-23,3730.9236,3749.8829,3720.8997,3738.0669,31037211500,470019205013.0000
2021-06-24,3740.5373,3742.5029,3719.7795,3738.4784,33516980000,461013430942.0000
2021-06-25,3739.2418,3788.4632,3736.2324,3781.3954,34571437200,483596141151.0000
2021-06-28,3786.3151,3788.5452,3767.4118,3780.1596,32088951900,455609624384.0000
2021-06-29,3775.2355,3775.3828,3742.5304,3745.3145,30572602200,440591860634.0000
2021-06-30,3744.7317,3767.2644,3741.4569,3764.2029,26791899900,414444231791.0000
