交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2020-07-22,5.1000,5.1400,5.0700,5.0900,292661104,1493366737.4100
2020-07-23,5.0700,5.0800,5.0200,5.0300,375136560,1890158446.4300
2020-07-24,5.0300,5.0300,4.9600,4.9800,363761008,1817042791.3900
2020-07-27,4.9800,5.0000,4.9500,4.9700,217634490,1082016313.9100
2020-07-28,4.9900,5.0000,4.9600,4.9800,174844591,870345478.1200
2020-07-29,4.9700,5.0200,4.9300,5.0200,275856672,1375574099.2300
2020-07-30,5.0200,5.0200,4.9800,4.9800,153782861,768439793.2700
2020-07-31,4.9800,5.0100,4.9500,4.9600,254967287,1268345180.2000
2020-08-03,4.9800,5.0000,4.9600,4.9800,244686781,1217707579.5000
2020-08-04,4.9900,5.0700,4.9700,5.0500,401220464,2015491477.6400
2020-08-05,5.0200,5.0300,4.9900,5.0000,205232006,1027991586.4000
2020-08-06,5.0100,5.0300,4.9800,5.0200,209927052,1049299499.2500
2020-08-07,5.0100,5.0100,4.9700,4.9800,192143281,957716707.8600
2020-08-10,4.9700,5.0000,4.9600,4.9900,200986917,1001722874.7500
2020-08-11,4.9800,5.0200,4.9700,4.9800,276724560,1383596404.4800
2020-08-12,4.9700,4.9900,4.9600,4.9900,225612404,1121910726.6900
2020-08-13,4.9800,5.0000,4.9700,4.9800,116382932,580121566.5700
2020-08-14,4.9800,5.0200,4.9700,5.0200,208584453,1042149479.8500
2020-08-17,5.0200,5.1100,5.0200,5.0900,548693328,2783708791.1600
2020-08-18,5.0900,5.0900,5.0400,5.0500,237195504,1199875631.3700
2020-08-19,5.0600,5.0700,5.0300,5.0300,163005140,821836841.4300
2020-08-20,5.0200,5.0300,4.9900,5.0000,164245323,821731215.3500
2020-08-21,5.0100,5.0200,4.9900,5.0100,130184483,651086296.0300
2020-08-24,5.0100,5.0200,4.9900,4.9900,120078607,600551218.0400
2020-08-25,5.0000,5.0100,4.9800,5.0000,154898745,773465195.4900
2020-08-26,5.0000,5.0000,4.9700,4.9800,151462246,754742688.5400
2020-08-27,4.9800,4.9800,4.9600,4.9700,141665658,703831744.5900
2020-08-28,4.9700,5.0100,4.9600,5.0000,210367849,1048187711.3300
2020-08-31,4.9900,5.0100,4.9600,4.9600,263148438,1312043185.8700
2020-09-01,4.9600,4.9700,4.9400,4.9600,156648375,776360132.3600
2020-09-02,4.9600,4.9600,4.9200,4.9200,272900848,1345657209.6900
2020-09-03,4.9200,4.9400,4.8900,4.9100,183967179,903223967.5100
2020-09-04,4.8900,4.9100,4.8800,4.9000,140939398,689451433.4300
