交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
2021/8/13,27.5,27.68,27.15,27.63,24138130,661466221
2021/8/12,27.87,28,27.5,27.58,21092707,585092033
2021/8/11,27.6,28.59,27.48,27.86,46137900,1299748507
2021/8/10,27.15,27.9,26.56,27.8,49634371,1351574858
2021/8/9,26.76,27.63,26.56,27.28,49581233,1354566006
2021/8/6,27.03,27.07,26.4,26.76,20318724,542098343
2021/8/5,26.6,27.34,26.38,27.03,31616752,853112298
2021/8/4,26.9,27.48,26.62,26.8,43340311,1170448672
2021/8/3,25.8,27.41,25.66,27.05,61201989,1628977467
2021/8/2,24.6,26.1,24.33,25.9,59473451,1514439710
2021/7/30,24.38,25.33,24.22,24.98,69057399,1716629772
2021/7/29,24.69,24.82,23.46,23.7,60383018,1436659753
2021/7/28,24.23,24.58,23.82,24.45,39995632,971072202
2021/7/27,26.06,26.12,24.21,24.45,79764002,1978974950
2021/7/26,26.25,26.34,25.7,25.97,33943647,882240205
2021/7/23,26.8,27.1,26.03,26.24,38732270,1023890383
2021/7/22,27.34,27.76,26.9,26.93,31610207,862345689
2021/7/21,27,27.88,26.93,27.58,41861981,1155270402
2021/7/20,27.08,27.47,26.4,26.93,34202053,917054368
2021/7/19,26.89,27.35,26.4,27.25,30255763,817069294
2021/7/16,27.07,27.31,26.5,26.76,25738593,689771424
2021/7/15,27.2,27.79,26.79,27.25,29093799,791487270
2021/7/14,27.63,28.82,27.15,27.27,62057539,1725292847
2021/7/13,25.8,28,25.78,27.58,66111584,1794515710
2021/7/12,25.66,26.17,25.25,25.8,36919343,952875403
2021/7/9,25.18,25.7,25,25.66,33655873,856214867
2021/7/8,25.7,25.7,25.03,25.12,39332452,994733671
2021/7/7,25.34,26.06,25.16,25.45,33608145,862806387
2021/7/6,24.8,25.5,24.75,25.24,28619202,719770459
2021/7/5,25.5,25.54,24.75,25.07,43685488,1093541755
2021/7/2,26.45,26.6,25.61,25.7,52087528,1348233346
2021/7/1,26.01,27.2,25.6,26.93,44861878,1190639139
2021/6/30,25.89,26.06,25.4,25.91,29716956,764960955
2021/6/29,26.55,26.57,25.61,25.86,46501487,1202949264
2021/6/28,26.65,26.77,26.26,26.48,31093046,824875020
2021/6/25,26.1,26.63,25.63,26.56,32970612,868706464
2021/6/24,26.72,26.75,26.08,26.19,30617311,804065016
2021/6/23,26.02,26.78,26.02,26.52,44596998,1183419206
2021/6/22,25.98,26.77,25.74,25.87,63664190,1666074672
2021/6/21,26.13,26.13,25.36,25.51,56444620,1443366268
2021/6/18,26.73,26.8,25.6,26.31,75847295,1975469438
2021/6/17,27,27.03,26.4,26.55,54941946,1460265561
2021/6/16,26.87,27.5,26.39,27.1,47097958,1275628006
2021/6/15,27.72,27.74,26.33,26.87,69559019,1874887088
2021/6/11,28.35,28.37,27.5,27.84,46686941,1296486833
2021/6/10,28.55,28.94,28.1,28.25,34107787,967213143
2021/6/9,28.75,29,28.35,28.53,24595419,704651850
2021/6/8,29.03,29.26,28.21,28.74,38750019,1110845730
2021/6/7,29.55,29.58,29.06,29.12,23370185,682304304
2021/6/4,29.45,29.8,29.2,29.54,29261915,859677982
2021/6/3,30.3,30.36,29.58,29.61,23113969,690778397
2021/6/2,30.11,30.38,29.4,30.3,32000473,960674418
2021/6/1,29.52,30.04,29.2,29.95,49667473,1473648214
2021/5/31,30.68,30.68,29.55,30.17,43140185,1287451374
2021/5/28,31.15,31.15,30.39,30.68,32605605,999709028
2021/5/27,31.62,31.79,30.92,31.18,27211677,851731624
2021/5/26,30.15,31.28,30.09,31.17,38264727,1182860685
2021/5/25,30.05,30.28,29.83,30.07,35772398,1075216441
2021/5/24,30.18,30.34,29.54,30.08,22407756,671542902
2021/5/21,30.07,30.86,29.86,30.11,31815781,961628912
2021/5/20,29.27,30.08,29.2,29.71,42202003,1256515630
2021/5/19,29.85,29.85,28.51,29,37374136,1081038294
2021/5/18,29.43,29.97,29.3,29.85,26843480,798482096
2021/5/17,29.2,29.67,28.71,29.43,47191041,1383724606
2021/5/14,28.74,29.08,28.08,28.8,44395825,1269307271
2021/5/13,29.23,29.38,28.17,28.5,73531945,2102113023
2021/5/12,30.3,30.56,29.1,29.76,49311094,1457862595
2021/5/11,30.69,30.77,29.88,30.3,33364969,1007983758
2021/5/10,31.1,31.1,30.05,30.79,49451349,1512940924
2021/5/7,33.1,33.2,30.7,31,58093378,1832226827
2021/5/6,32.28,33.9,32.26,32.95,47085094,1552980578
2021/4/30,33.58,33.7,32.5,33.13,37955880,1259129485
2021/4/29,33.3,33.34,32.22,32.98,27357216,895220916
2021/4/28,32.54,33.19,32.36,33.1,21299911,702056178
2021/4/27,32.5,32.85,32.05,32.5,22422162,727288600
2021/4/26,32.57,33.47,32.36,32.47,31354288,1033123790
2021/4/23,32.38,32.79,32.13,32.47,17450395,566739807
2021/4/22,33.02,33.28,31.98,32.39,25193198,818034928
2021/4/21,32.44,33.01,32.3,32.9,26686662,875421241
2021/4/20,31.97,32.91,31.78,32.63,27917619,906210452
2021/4/19,31.69,32.24,31.35,31.99,24639592,787353029
2021/4/16,31.66,31.78,31.11,31.47,16128207,506224250
2021/4/15,31.7,31.85,31.18,31.49,15179735,477953596
2021/4/14,31.53,32.09,31.46,31.8,18894635,601436428
2021/4/13,31.51,31.97,31,31.28,30227400,949808127
2021/4/12,31.86,32.43,31.45,31.71,30961131,986845579
2021/4/9,32.53,32.56,31.77,32.02,21135544,677192528
2021/4/8,32.03,32.72,31.58,32.37,20463778,661872787
2021/4/7,31.7,32.25,31.35,32.2,31199785,994036556
2021/4/6,32.25,32.42,31.6,31.85,20908013,666497102
2021/4/2,32.5,32.65,31.75,32.13,30362275,977666833
2021/4/1,31.5,32.9,31.5,32.36,49345972,1599147407
2021/3/31,30.5,32,30.4,31.18,77424027,2422279702
2021/3/30,30.5,30.61,29.52,29.99,37160861,1115841573
2021/3/29,29.78,30.49,29.6,30.29,31107495,939178838
2021/3/26,29.15,29.88,28.5,29.68,30653381,899630303
2021/3/25,28.8,29.2,28.4,28.9,30654813,881452820
2021/3/24,29.7,29.98,29.07,29.2,22459494,660402019
2021/3/23,29.97,30.48,29.26,29.6,27868745,827956015
2021/3/22,29.73,30.53,29.5,29.97,19689259,592394409
2021/3/19,30.26,30.26,29.49,29.67,22875380,681369866
2021/3/18,30.28,31,30.2,30.57,23244838,712476372
2021/3/17,29.59,30.57,29.02,30.4,32661159,983948400
2021/3/16,29.09,29.96,29.01,29.49,31800020,939372682
2021/3/15,30.1,30.34,28.7,28.97,38611858,1131998381
