交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元),TCL科技收盘价,飞科电器收盘价,格力电器收盘价,长虹美菱收盘价
2021/7/21,27,27.88,26.93,27.58,41861981,1155270402,8.03,37.8,49.95,3.34
2021/7/20,27.08,27.47,26.4,26.93,34202053,917054368,8.2,38.1,51.2,3.29
2021/7/19,26.89,27.35,26.4,27.25,30255763,817069294,8.25,38.71,51.48,3.28
2021/7/16,27.07,27.31,26.5,26.76,25738593,689771424,8.37,38.45,49.99,3.32
2021/7/15,27.2,27.79,26.79,27.25,29093799,791487270,8.02,39.39,49.5,3.35
2021/7/14,27.63,28.82,27.15,27.27,62057539,1725292847,8.18,39.29,49.6,3.32
2021/7/13,25.8,28,25.78,27.58,66111584,1794515710,8.03,39.67,49.4,3.35
2021/7/12,25.66,26.17,25.25,25.8,36919343,952875403,8.01,38.96,48.92,3.34
2021/7/9,25.18,25.7,25,25.66,33655873,856214867,8.06,39.31,49.3,3.29
2021/7/8,25.7,25.7,25.03,25.12,39332452,994733671,8.1,40.25,49.2,3.27
2021/7/7,25.34,26.06,25.16,25.45,33608145,862806387,7.97,40.88,50.19,3.35
2021/7/6,24.8,25.5,24.75,25.24,28619202,719770459,7.9,41,50.11,3.36
2021/7/5,25.5,25.54,24.75,25.07,43685488,1093541755,7.46,41.05,49.89,3.36
2021/7/2,26.45,26.6,25.61,25.7,52087528,1348233346,7.41,41.49,50.99,3.32
2021/7/1,26.01,27.2,25.6,26.93,44861878,1190639139,7.37,41.87,51.86,3.36
2021/6/30,25.89,26.06,25.4,25.91,29716956,764960955,7.65,42.06,52.1,3.4
2021/6/29,26.55,26.57,25.61,25.86,46501487,1202949264,7.63,42.52,51.17,3.4
2021/6/28,26.65,26.77,26.26,26.48,31093046,824875020,7.81,41.96,52.66,3.47
2021/6/25,26.1,26.63,25.63,26.56,32970612,868706464,7.77,42,52.23,3.51
2021/6/24,26.72,26.75,26.08,26.19,30617311,804065016,7.82,42.26,51.45,3.52
2021/6/23,26.02,26.78,26.02,26.52,44596998,1183419206,7.72,42.72,51.72,3.53
2021/6/22,25.98,26.77,25.74,25.87,63664190,1666074672,7.75,42.73,49.82,3.57
2021/6/21,26.13,26.13,25.36,25.51,56444620,1443366268,7.54,43.9,51.11,3.55
2021/6/18,26.73,26.8,25.6,26.31,75847295,1975469438,7.6,41.3,53.68,3.51
2021/6/17,27,27.03,26.4,26.55,54941946,1460265561,7.17,42.64,54.7,3.49
2021/6/16,26.87,27.5,26.39,27.1,47097958,1275628006,7.28,42.59,55.18,3.52
2021/6/15,27.72,27.74,26.33,26.87,69559019,1874887088,7.55,43.42,55.37,3.58
2021/6/11,28.35,28.37,27.5,27.84,46686941,1296486833,7.65,44.12,54.62,3.66
2021/6/10,28.55,28.94,28.1,28.25,34107787,967213143,7.5,45.41,55.01,3.78
2021/6/9,28.75,29,28.35,28.53,24595419,704651850,7.54,45.41,55.23,3.68
2021/6/8,29.03,29.26,28.21,28.74,38750019,1110845730,7.67,45.83,55.23,3.68
2021/6/7,29.55,29.58,29.06,29.12,23370185,682304304,7.85,47.5,55.36,3.68
2021/6/4,29.45,29.8,29.2,29.54,29261915,859677982,7.7,47.69,55.98,3.73
2021/6/3,30.3,30.36,29.58,29.61,23113969,690778397,7.91,47.17,55.98,3.66
2021/6/2,30.11,30.38,29.4,30.3,32000473,960674418,8.01,47.16,56.05,3.64
2021/6/1,29.52,30.04,29.2,29.95,49667473,1473648214,8.16,48.1,56.3,3.73
2021/5/31,30.68,30.68,29.55,30.17,43140185,1287451374,8.08,47.6,56.3,3.72
2021/5/28,31.15,31.15,30.39,30.68,32605605,999709028,8.12,47.77,56.99,3.77
2021/5/27,31.62,31.79,30.92,31.18,27211677,851731624,8.36,48.32,58.04,3.87
2021/5/26,30.15,31.28,30.09,31.17,38264727,1182860685,8.22,50.03,56.19,3.79
2021/5/25,30.05,30.28,29.83,30.07,35772398,1075216441,8.31,50.2,55.89,3.78
2021/5/24,30.18,30.34,29.54,30.08,22407756,671542902,8.29,50.23,56.8,3.77
2021/5/21,30.07,30.86,29.86,30.11,31815781,961628912,8.49,48.45,57.5,3.76
2021/5/20,29.27,30.08,29.2,29.71,42202003,1256515630,8.43,48.94,58,3.76
2021/5/19,29.85,29.85,28.51,29,37374136,1081038294,8.58,46.09,57.41,3.78
2021/5/18,29.43,29.97,29.3,29.85,26843480,798482096,8.75,47.06,57.93,3.84
2021/5/17,29.2,29.67,28.71,29.43,47191041,1383724606,8.57,46.7,58.29,3.86
2021/5/14,28.74,29.08,28.08,28.8,44395825,1269307271,8.54,46.56,57.74,3.96
2021/5/13,29.23,29.38,28.17,28.5,73531945,2102113023,8.23,46.66,57.38,3.8
2021/5/12,30.3,30.56,29.1,29.76,49311094,1457862595,8.54,46.81,59.08,3.88
2021/5/11,30.69,30.77,29.88,30.3,33364969,1007983758,8.62,45.3,59.9,3.92
2021/5/10,31.1,31.1,30.05,30.79,49451349,1512940924,8.54,44.94,59.84,3.84
2021/5/7,33.1,33.2,30.7,31,58093378,1832226827,8.5,43.6,59.56,3.83
2021/5/6,32.28,33.9,32.26,32.95,47085094,1552980578,8.91,44.12,59.96,3.94
2021/4/30,33.58,33.7,32.5,33.13,37955880,1259129485,9,45,59.91,3.81
2021/4/29,33.3,33.34,32.22,32.98,27357216,895220916,9.03,44.37,59.51,3.76
2021/4/28,32.54,33.19,32.36,33.1,21299911,702056178,9.07,46.66,58.06,3.73
2021/4/27,32.5,32.85,32.05,32.5,22422162,727288600,9.32,45.48,57.98,3.68
2021/4/26,32.57,33.47,32.36,32.47,31354288,1033123790,9.23,46.69,58.5,3.8
2021/4/23,32.38,32.79,32.13,32.47,17450395,566739807,9.14,45.8,59.81,3.71
2021/4/22,33.02,33.28,31.98,32.39,25193198,818034928,8.99,44.87,59.11,3.8
